collect_name,collect_id,acquisition_key,datetime_utc,station_id,station_km,roi_m,duration_s,T_resolvable_max_s,phase_at_Tmax_deg,min_complex_GB,incidence_deg,view_azimuth_deg,local_range_axis_deg,roi_lat,roi_lon,sicd_bytes,cphd_bytes
2025-01-25-18-40-18_UMBRA-10,513b62e2-00c3-46b6-ad1d-1fd6c1bc5b2b,collect:513b62e2-00c3-46b6-ad1d-1fd6c1bc5b2b,2025-01-25T18:40:18.500000Z,46256,4.812402773457296,1500.0,9.0,9.803366202643659,214.82416921568003,6.81251915,31.491423155981686,87.00977716785111,267.0097771678511,33.73780583920064,-118.22632688036163,6812519150.0,31512105216.0
2025-07-04-05-03-21_UMBRA-05,77582059-5835-467f-9318-2763cc9daa2b,collect:77582059-5835-467f-9318-2763cc9daa2b,2025-07-04T05:03:21.400001Z,46256,5.3573785032555055,1500.0,6.800002,9.803366202643659,162.31164225721807,6.842931942,26.435142891978707,246.61404860595664,66.61404860595664,33.74348106363134,-118.22595184249948,6842931942.0,27280972672.0
2025-05-15-04-59-49_UMBRA-05,6d2da00c-c6fc-4b81-915d-14297b92b649,collect:6d2da00c-c6fc-4b81-915d-14297b92b649,2025-05-15T04:59:49.500000Z,46256,4.514452921828344,1500.0,7.0,9.803366202643659,167.0854649455289,6.84293195,27.22619075746342,246.66783180268013,66.66783180268013,33.73583025759008,-118.2239531379633,6842931950.0,27573156072.0
2025-02-07-06-01-25_UMBRA-07,94f62c69-c5b8-4731-bd5e-b313e9d4a811,collect:94f62c69-c5b8-4731-bd5e-b313e9d4a811,2025-02-07T06:01:31.200000Z,46256,5.495693351208395,1500.0,10.4,9.803366202643659,248.2412622047858,6.85142072,43.991496206895455,242.03795729883856,62.03795729883856,33.7457057644411,-118.22361185414789,6851420720.0,
2025-05-31-03-03-10_UMBRA-08,d3a492a6-5aa1-4f8b-8de0-c7eb47581e1e,collect:d3a492a6-5aa1-4f8b-8de0-c7eb47581e1e,2025-05-31T03:03:10.400000Z,44063,7.136241004538794,1500.0,8.8,9.803366202643659,210.05029878866495,6.944571067,22.735621370907992,61.69223907622645,241.69223907622646,38.991994020759,-76.37435016484395,6944571067.0,
2024-06-11-02-38-40_UMBRA-04,0eb10d79-fb03-4175-bc10-38011f41f856,collect:0eb10d79-fb03-4175-bc10-38011f41f856,2024-06-11T02:38:40.600000Z,41118,1.9556632885187883,1500.0,7.199999,9.803366202643659,171.85931150319192,7.007154535,33.907837135011285,93.59425244247878,273.59425244247876,28.625183045576286,-80.59784578000878,7007154535.0,
2024-11-06-16-14-55_UMBRA-08,04b820d6-7f3d-4c70-8c60-69e393c2ea9f,collect:04b820d6-7f3d-4c70-8c60-69e393c2ea9f,2024-11-06T16:14:55.900000Z,41118,2.8028619510406005,1000.0,7.8,8.004414986040972,228.02415956481462,7.025408739,37.18575252897112,301.40849411141295,121.40849411141295,28.59796333667812,-80.61581238934795,7025408739.0,
2025-03-23-18-39-32_UMBRA-10,80ca31d4-c358-47fb-ac0e-8f1551bf15d7,collect:80ca31d4-c358-47fb-ac0e-8f1551bf15d7,2025-03-23T18:39:32.800000Z,46256,4.654093445816125,1500.0,9.6,9.803366202643659,229.1457804967254,7.15314251,38.01468750416983,79.9908722566961,259.9908722566961,33.7366252737418,-118.22535691517345,7153142510.0,29528718976.0
2025-06-16-05-07-53_UMBRA-05,05cab33c-e94e-414a-9a2a-ea0ba81735d2,collect:05cab33c-e94e-414a-9a2a-ea0ba81735d2,2025-06-16T05:07:53.400000Z,46256,5.646708773404386,1500.0,8.800001,9.803366202643659,210.05032265801705,7.302145311,43.00726566317695,234.9605287917522,54.96052879175221,33.745912329211684,-118.22708958307878,7302145311.0,24250231872.0
2025-06-11-01-55-01_UMBRA-05,917f74af-a6e0-4f88-a839-c8de95b1ed21,collect:917f74af-a6e0-4f88-a839-c8de95b1ed21,2025-06-11T01:55:01.299998Z,44063,7.114556169885046,1500.0,8.599997,9.803366202643659,205.2763567535934,7.575891022,18.085541923758527,56.446299683939095,236.4462996839391,38.99199598973859,-76.3746327524114,7575891022.0,
2025-06-14-14-36-45_UMBRA-05,d262a35a-32c6-4dd0-a82c-88d41284e6c7,collect:d262a35a-32c6-4dd0-a82c-88d41284e6c7,2025-06-14T14:36:45.100000Z,44063,7.1368218868738955,1500.0,10.199999,9.803366202643659,243.4673679084186,7.748069179,37.08978711512735,129.51679517777396,309.51679517777393,38.99199796369378,-76.37434519889884,7748069179.0,
2025-11-11-05-25-51_UMBRA-07,9f67bcbb-8308-41b7-be6a-fdc96daa2168,collect:9f67bcbb-8308-41b7-be6a-fdc96daa2168,2025-11-11T05:25:51.800000Z,46256,5.540685199375454,1500.0,11.600001,9.803366202643659,276.88450863622865,7.75985792,43.0895752592204,229.01038521414915,49.01038521414915,33.74502148067344,-118.22667269956752,7759857920.0,31550886592.0
