transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi,implied_eta_wr17,implied_eta_awac,z_p95,z_p5,z_p50,survey_points
0,400.0,393.2405418491452,3914.8438111299574,87.48622415019622,92.5460834811657,70.01689347809987,False,6.745106720325028,10.048262322224097,5.485997321346107,8.235721722321008,10.048262322224097,6.745106720325028,,,,,,
0,450.0,443.2042374728731,3917.47948920283,95.07601314665045,94.5124279085618,68.19859051364803,False,7.056930461681646,10.557469309773165,5.733323494425555,8.630693692282753,10.557469309773165,7.056930461681646,,,,,,
0,500.0,493.1680428014765,3920.1148712596505,95.07601314665045,95.2262246481786,68.19859051364803,False,7.172271511093709,10.747130399788519,5.824656652965273,8.777170386186636,10.747130399788519,7.172271511093709,,,,,,
0,550.0,543.1319578300706,3922.7499572937245,100.4114611907501,96.74418244746944,78.69006752597954,False,7.4214109663834735,11.159289248742922,6.0216588219921015,9.094276283681545,11.159289248742922,7.4214109663834735,,,,,,
0,600.0,593.0959825528142,3925.3847473036476,98.08141160664577,96.74418244746944,73.30075576600615,False,7.4214109663834735,11.159289248742922,6.0216588219921015,9.094276283681545,11.159289248742922,7.4214109663834735,,,,,,
0,650.0,643.0601169684792,3928.0192412856736,95.07601314665045,94.43845698587066,68.19859051364803,False,7.0450434461329134,10.53796361800344,5.7239060841290605,8.615609597148168,10.53796361800344,7.0450434461329134,,,,,,
0,700.0,693.0243610702416,3930.653439235401,95.07601314665045,90.11001090156678,68.19859051364803,False,6.3706292310706925,9.443341203173011,5.188196211429334,7.7633289361345925,9.443341203173011,6.3706292310706925,,,,,,
0,750.0,742.9887148561509,3933.2873411509813,83.54738583865658,86.24757473408378,67.61986494804033,False,5.803047087129434,8.53950449164307,4.735225248623111,7.0512452687156975,8.53950449164307,5.803047087129434,,,,,,
0,800.0,792.9531783220574,3935.9209470279648,78.76923076923069,85.32645407248518,67.38013505195947,False,5.672323895366675,8.333462194351783,4.630627719976447,6.8878894388891085,8.333462194351783,5.672323895366675,,,,,,
0,850.0,842.9177514628442,3938.554256863052,78.76923076923069,82.88906430394387,67.38013505195947,False,5.334845862107272,7.805065375747525,4.36013168363494,6.4672589372736295,7.805065375747525,5.334845862107272,,,,,,
0,900.0,892.8824342748536,3941.187270653293,90.47040983865749,90.62388795627699,76.3730051401083,False,6.448546756778196,9.568629103616365,5.250229450590103,7.861448080219741,9.568629103616365,6.448546756778196,,,,,,
0,1000.0,992.8121288947448,3946.4524100859853,114.4866804479891,106.99688841182171,63.434948822921854,False,9.24779316589105,14.295658072654781,7.453916325979721,11.450497565106566,14.295658072654781,9.24779316589105,,,,,,
0,1050.0,1042.7771406962809,3949.0845357213893,114.4866804479891,110.38704767293544,63.434948822921854,False,9.909999638982542,15.489821671852834,7.967906136548706,12.319630575900744,15.489821671852834,9.909999638982542,,,,,,
0,1100.0,1092.7422621519672,3951.7163652968,108.54378291265117,109.11584751497082,57.99461679191643,False,9.658129120371578,15.031637641503162,7.7727501937940575,11.988066604687992,15.031637641503162,9.658129120371578,,,,,,
0,1150.0,1142.7074932586381,3954.3478988107668,104.03104688311235,107.01280088730951,61.69924423399351,False,9.250830944000304,14.3010605419748,7.456280749880257,11.454465651530471,14.3010605419748,9.250830944000304,,,,,,
0,1200.0,1192.6728340126358,3956.9791362603382,104.03104688311235,104.90975425964817,61.69924423399351,False,8.85497891099542,13.602629849694049,7.147668171777065,10.938812561576649,13.602629849694049,8.85497891099542,,,,,,
0,1250.0,1242.6382844098118,3959.6100776410676,103.97144730968249,103.68099767711792,66.03751102542165,False,8.628876170423373,13.208580493451695,6.970940628595005,10.645550325450872,13.208580493451695,8.628876170423373,,,,,,
0,1300.0,1292.6038444450485,3962.2407229496534,103.97144730968249,105.90040178644828,66.03751102542165,False,9.040038872189019,13.927763340681528,7.292070360689725,11.17952331708261,13.927763340681528,9.040038872189019,,,,,,
0,1350.0,1342.5695141159028,3964.8710721827474,102.39999999999988,109.06421935559334,89.99999999999969,False,9.647990878745158,15.013299409405258,7.764886037372031,11.974746264808452,15.013299409405258,9.647990878745158,,,,,,
0,1400.0,1392.535293416043,3967.5011253374487,115.12806742976424,115.16148734332796,77.00538320808323,False,10.895544559892796,17.333968904418757,8.727455880894462,13.629248177593853,17.333968904418757,10.895544559892796,,,,,,
0,1450.0,1442.5011823442408,3970.1308824100092,119.85013472883753,121.25875533106259,69.44395478041629,False,12.25014360999148,20.023317862272688,9.76058390725138,15.463649621365798,20.023317862272688,12.25014360999148,,,,,,
0,1500.0,1492.467180893918,3972.7603433967774,134.45778724835563,127.67031278073375,66.80140948635159,False,13.800917566315853,23.38187419908975,10.92736867780256,17.61879011929717,23.38187419908975,13.800917566315853,,,,,,
0,1550.0,1542.433289061172,3975.3895082940558,134.45778724835563,130.0687521926456,66.80140948635159,False,14.41702089159996,24.821260533670294,11.386040825240055,18.493248216838204,24.821260533670294,14.41702089159996,,,,,,
0,1600.0,1592.3995068455115,3978.0183771003444,134.45778724835563,128.9960613364759,66.80140948635159,False,14.138944267209483,24.16313210977739,11.179369338152453,18.09719814517804,24.16313210977739,14.138944267209483,,,,,,
0,1650.0,1642.3658342381616,3980.6469498093934,127.12026448932349,125.00183997640258,65.55604521958325,False,13.138945659935187,21.906079409625526,10.431434199945642,16.691124366743832,21.906079409625526,13.138945659935187,,,,,,
0,1700.0,1692.3322712386307,3983.275226419704,114.4866804479891,122.08030947249897,63.434948822921854,False,12.441363847419774,20.419685596595983,9.905389421243324,15.726059811748614,20.419685596595983,12.441363847419774,,,,,,
0,1750.0,1742.2988178405867,3985.903206928374,114.4866804479891,120.61280492069254,63.434948822921854,False,12.10128597559093,19.71784279944764,9.647679261844537,15.259987918113707,19.71784279944764,12.10128597559093,,,,,,
0,1800.0,1792.2654740398807,3988.5308913309545,119.85013472883753,118.9859400285348,69.44395478041629,False,11.732101937643069,18.97136380167047,9.366990372321611,14.757154850869364,18.97136380167047,11.732101937643069,,,,,,
0,1850.0,1842.232239835285,3991.1582796237,127.12026448932349,120.48569322205003,65.55604521958325,False,12.072146633496569,19.658353524280027,9.625559538450966,15.220182757811092,19.658353524280027,12.072146633496569,,,,,,
1,400.0,405.1824208585453,3686.462762399239,87.48622415019622,92.5460834811657,70.01689347809987,False,6.745106720325028,10.048262322224097,5.485997321346107,8.235721722321008,10.048262322224097,6.745106720325028,,,,,,
1,450.0,455.14837708976995,3689.0350679372827,95.07601314665045,94.5124279085618,68.19859051364803,False,7.056930461681646,10.557469309773165,5.733323494425555,8.630693692282753,10.557469309773165,7.056930461681646,,,,,,
1,500.0,505.1144424247546,3691.607077406568,95.07601314665045,95.2262246481786,68.19859051364803,False,7.172271511093709,10.747130399788519,5.824656652965273,8.777170386186636,10.747130399788519,7.172271511093709,,,,,,
1,550.0,555.0806168537546,3694.17879080199,100.4114611907501,96.74418244746944,78.69006752597954,False,7.4214109663834735,11.159289248742922,6.0216588219921015,9.094276283681545,11.159289248742922,7.4214109663834735,,,,,,
1,600.0,605.0469003772475,3696.7502081209027,98.08141160664577,96.74418244746944,73.30075576600615,False,7.4214109663834735,11.159289248742922,6.0216588219921015,9.094276283681545,11.159289248742922,7.4214109663834735,,,,,,
1,650.0,655.0132929889016,3699.3213293604053,95.07601314665045,97.16122477267419,68.19859051364803,False,7.4907860716592225,11.274675334787618,6.076447501307406,9.182752705211527,11.274675334787618,7.4907860716592225,,,,,,
1,700.0,704.9797946845679,3701.8921545160474,95.07601314665045,96.07781263331556,68.19859051364803,False,7.311391704465584,10.976857280858372,5.93471048673787,8.954122290242319,10.976857280858372,7.311391704465584,,,,,,
1,850.0,854.8799542385889,3709.6028534529673,102.39999999999988,114.72592592592581,89.99999999999969,False,10.802980999133624,17.157063600513247,8.65639724661565,13.50538953668044,17.157063600513247,10.802980999133624,,,,,,
1,900.0,904.8468922322703,3712.1724942433234,113.77777777777767,117.08900444909494,89.99999999999966,False,11.311766806950615,18.139696504819806,9.046254473991166,14.188482750229591,18.139696504819806,11.311766806950615,,,,,,
1,950.0,954.8139392899711,3714.7418389339714,127.99999999999986,116.56853964887378,89.99999999999962,False,11.198309771932182,17.918363698272106,8.959471841858278,14.035666356235518,17.918363698272106,11.198309771932182,,,,,,
1,1000.0,1004.7810954087579,3717.3108875200646,124.17824001860234,118.98587573847162,75.96375653207325,False,11.732087508386623,18.971334926421555,9.366979383182246,14.757135260312634,18.971334926421555,11.732087508386623,,,,,,
1,1050.0,1054.7483605827886,3719.8796400001984,114.4866804479891,117.93907676544632,63.434948822921854,False,11.498799308796194,18.507444368287103,9.189120581981314,14.441025053501699,18.507444368287103,11.498799308796194,,,,,,
