path,look,time_s,coefficient_real,coefficient_imag,amplitude,phase_rad,fit_residual_rad
SICD,1,3.242899386518952,-646.3739397737627,710.1062612610723,960.2344361148657,1.691604088952022e-18,0.09263378612494755
SICD,2,9.03646263403653,1166.2981215508873,-368.59331025841817,1223.156709788401,-2.615349314835652,-0.18523190823133584
SICD,3,14.832257263168495,-958.3138641363859,-938.4666028804086,1341.2997528210858,-4.675903183053471,0.09259812210638696
BP12,1,3.233516233949308,-18.699856578804045,22.289481366095337,29.09476955807267,9.434824462052422e-18,0.16735826592910708
BP12,2,9.038342815408349,39.23456073941596,-25.514064819240385,46.8008361038061,-2.845425788961833,-0.3347462898835163
BP12,3,14.8421374223437,-43.965723522162754,-38.89191559592625,58.698943291578146,-4.686196115670479,0.167388023954409
