bin,partition,fold,gain,M0_s,M0_a,M0_c,M0_offset_ratio,M0_test_nmse,M0_ambiguous,M0_boundary,M1_s,M1_a,M1_c,M1_offset_ratio,M1_test_nmse,M1_ambiguous,M1_boundary
"129,62",alternative,4,-1.060575833470235,0.5462681325908769,"[485.5885059764062, 96.85257810594281]","[0.0, 0.0]",0.0,0.12393100329683558,False,False,0.5519107721469731,"[463.6008506651814, 65.54457760334596]","[-0.7015722228072434, -150.38888207159783]",0.3212022264331004,0.2553692304111794,False,False
"129,62",alternative,5,-1.2145527902701168,0.542050200071178,"[496.07978376982413, 72.27858918523008]","[0.0, 0.0]",0.0,0.17352996277849259,False,False,0.5369419806970412,"[464.7483233753556, 70.31719218055754]","[95.56944262652485, -129.36667480792997]",0.34218360447847956,0.3842912632665803,False,False
"129,62",alternative,6,0.11116713707055159,0.5403755434236183,"[501.8101452962006, 65.50594987046168]","[0.0, 0.0]",0.0,0.1650267094679114,False,False,0.5379708300284691,"[497.29082639558123, 81.53172317098358]","[81.53242599516155, -44.505525176858725]",0.18432818016976973,0.14668116263619,False,False
"129,62",alternative,7,0.3276647956283777,0.5556263543055734,"[531.1848671943231, 96.49311655718542]","[0.0, 0.0]",0.0,0.12840526331272348,False,False,0.5478685814454587,"[546.698656285765, 101.45887342473846]","[56.987689642436585, -65.60462581813752]",0.15628505057440362,0.08633137895175193,False,False
"129,63",primary,0,-0.3419769289381309,0.5381173919201472,"[-308.4585706448268, -675.359183733872]","[0.0, 0.0]",0.0,2.7734776276935094,False,False,0.5371180710871603,"[-325.2131814174564, -686.9692199099192]","[45.4645353288177, -86.23690660511637]",0.1282631018796957,3.7219429892907487,False,False
"129,63",primary,1,-0.06621037950666064,0.5360396093041302,"[-233.43869952406405, -529.724855952025]","[0.0, 0.0]",0.0,0.13254941756509747,False,False,0.5335019731611179,"[-224.7417522075838, -529.7209979490003]","[13.062229686821638, -18.551176872073587]",0.03942916071581927,0.1413255648054694,False,False
"129,63",primary,2,-0.499382997631463,0.5359686233078511,"[-199.69598525743652, -489.8600689096373]","[0.0, 0.0]",0.0,0.2622433178735171,False,False,0.5443494412817893,"[-186.14448054490072, -464.0981274629861]","[-97.79800466611741, 83.44009659295432]",0.25709348066505955,0.3932031720620147,False,False
"129,63",primary,3,-0.5813717513074006,0.5245243409390559,"[-273.95867456617344, -586.0942002609378]","[0.0, 0.0]",0.0,0.24929910562136098,False,False,0.5220453376166985,"[-264.39370690189, -611.3789444938853]","[-113.6294603308727, -60.76609286766898]",0.19345040967608665,0.3942345632558203,False,False
"129,63",alternative,0,-0.4089997513764503,0.5349839231568824,"[-286.4561240532797, -649.5431598841674]","[0.0, 0.0]",0.0,6.5142385998684675,False,False,0.5308796317263812,"[-297.8144209525149, -663.0833608554494]","[15.51417199066212, -97.03293614842511]",0.13518550741727708,9.178560567621545,False,False
"129,63",alternative,1,-0.36011100917524996,0.5408237283905477,"[-308.5205876401804, -648.5872423093307]","[0.0, 0.0]",0.0,1.1734032583546379,False,False,0.5466549996072688,"[-327.10059104205027, -649.8891805790154]","[55.23622095011591, -14.763203230694188]",0.0785841904086533,1.5959586898902531,False,False
"129,63",alternative,2,-0.03934801683204037,0.5399244254956772,"[-270.1496563979422, -573.0263167854707]","[0.0, 0.0]",0.0,0.10352060203346225,False,False,0.5401854988855761,"[-270.39442647115095, -571.1983733013901]","[6.813020782204579, -5.0203915140667235]",0.013391474737090592,0.10759393242473787,False,False
"129,63",alternative,3,-0.15452288174344386,0.5342491169435463,"[-214.44423145522214, -477.44468988465974]","[0.0, 0.0]",0.0,0.19541485641888584,False,False,0.543216216806203,"[-230.8400154551444, -461.274809823234]","[6.737229714271372, 49.91399962755402]",0.09764541197587949,0.2256109231682134,False,False
"129,63",alternative,4,-0.693679882645905,0.5380814813243221,"[-173.09081850211146, -477.3516160472253]","[0.0, 0.0]",0.0,0.32728070176959817,False,False,0.5546730117774402,"[-165.9772721184021, -439.73290151933014]","[-56.09633491280415, 148.91639124370627]",0.33856770476590475,0.5543087405654024,False,False
"129,63",alternative,5,-0.3591416273814778,0.5344287467148919,"[-204.59179901335446, -513.1074170329415]","[0.0, 0.0]",0.0,0.1805741934883191,False,False,0.5261364799596655,"[-207.5508905720616, -495.13367670963476]","[-81.77479595177644, -34.066410535329275]",0.16500469997188216,0.2454259032008119,False,False
"129,63",alternative,6,-0.50673713807044,0.5325312585715263,"[-257.9036317409443, -558.2665988958063]","[0.0, 0.0]",0.0,0.13964478451315585,False,False,0.5232620270778684,"[-245.09271518947764, -553.3863331597119]","[-63.670041332437464, -88.82195696256503]",0.18056687301576982,0.21040798296381572,False,False
"129,63",alternative,7,-0.9762239868485474,0.5312684262111494,"[-267.28184414266275, -606.7122932361137]","[0.0, 0.0]",0.0,0.6234876930054175,False,False,0.5249727017231187,"[-271.61834940570066, -631.1216629135656]","[-115.55953765599378, -36.09048011666816]",0.17619869006373542,1.2321513344221693,False,False
"130,63",primary,0,-0.12879908247592375,0.4752571527633532,"[235.9396316413682, -454.61957752456954]","[0.0, 0.0]",0.0,0.6511435453757515,False,False,0.47975540968383923,"[225.98906036576793, -473.48979041447103]","[77.964552669436, -48.58321496736696]",0.1750918500560386,0.7350102365802682,False,False
"130,63",primary,1,-0.01810500845237306,0.49996487141816337,"[142.69999125064282, -399.4474941031941]","[0.0, 0.0]",0.0,0.18772259837012104,False,False,0.4927216004386049,"[160.8743809563866, -387.03062605377056]","[53.769939392474285, -11.045910254360262]",0.130967177670013,0.19112131760031348,False,False
"130,63",primary,2,-0.2747864418578232,0.4977102402031917,"[190.06271176653513, -369.7907778685386]","[0.0, 0.0]",0.0,0.1936702347184927,False,False,0.49376894019893275,"[169.21770710264505, -368.3300480606829]","[-46.431568601402276, -44.30514220207591]",0.15833112172841382,0.2468881894105568,False,False
"130,63",primary,3,-0.05887348653454749,0.4792424160426067,"[187.23556061839295, -458.02242705792025]","[0.0, 0.0]",0.0,0.3954529393803103,False,False,0.4814124770831922,"[205.38785249517144, -459.4376196539024]","[7.317221920520151, -84.36878758672495]",0.1682750292869093,0.41873463268196415,False,False
"130,63",alternative,0,-0.35038204946981066,0.4800301516015681,"[225.2709289197682, -456.66009432233164]","[0.0, 0.0]",0.0,2.8515233944626055,False,False,0.4808240300579746,"[225.17032297868445, -476.55960849072613]","[78.0406751307423, -46.13339054588453]",0.17199878534850999,3.8506460055255247,False,False
