row,col,offset_row,offset_col,distance_bins,window_overlap_to_peak,amplitude_correlation_to_peak,residual_correlation_to_peak,peak_relative_phase_resultant,signed_slope_rad_s,slope_difference_to_peak,endpoint_msc,min_adjacent_msc
127,59,-6,-6,8.48528137423857,0.0026507485593162527,0.11712029307232809,0.141617706510559,0.16234042521775097,0.7142145916079322,0.3021489424048132,0.25712304141046166,0.06874578278033773
127,60,-6,-5,7.810249675906654,0.002973954376657605,0.3400047883166118,0.3395498734311015,0.3425284292139719,0.4116379892182249,-0.00042765998489407986,0.3916973653836118,0.08120431481523745
127,61,-6,-4,7.211102550927978,0.0032572610490744468,0.3653393998319208,-0.3367557920138919,0.24538657540400055,0.6192246476491949,0.20715899844607594,0.06984809046806649,0.054344754125104415
127,62,-6,-3,6.708203932499369,0.003489927979623903,0.5965482059191013,-0.2189050801209384,0.35351547955405094,0.519331245122073,0.10726559591895396,0.05331314212440818,0.5001903260945827
127,63,-6,-2,6.324555320336759,0.0036629670460073074,0.7546788542178197,-0.30204650720243564,0.561420514589466,0.4952590841343447,0.08319343493122572,0.008523180517731141,0.36056315935041716
127,64,-6,-1,6.082762530298219,0.0037696031495978144,0.24708763904161213,-0.3057423729662186,0.7944752099119317,0.7813670445154879,0.3693013953123689,0.025236662436993886,0.3104648772199847
127,65,-6,0,6.0,0.05079140553482756,0.7885400714273831,0.05947713687316426,0.8019147893934753,0.48201947617138524,0.06995382696826624,0.03965616512126895,0.3420364522415067
127,66,-6,1,6.082762530298219,0.003769603149597811,0.7126019258972388,0.13578338482905097,0.5937327760543605,0.46638266232350845,0.054317013120389446,0.06967795490398457,0.011677920308825918
127,67,-6,2,6.324555320336759,0.0036629670460073074,0.4142302793007556,-0.15169488522732644,0.4441889762395307,0.6670281598716202,0.25496251066850123,0.04174155551004461,0.03549523401106815
127,68,-6,3,6.708203932499369,0.0034899279796239044,0.3591558407925833,-0.1698215035308458,0.19711025232561744,0.31387900972216265,-0.09818663948095635,0.13252395488914848,0.022986958216445297
127,69,-6,4,7.211102550927978,0.0032572610490744554,0.044877020935321914,0.5205692624149,0.4610787097265635,-0.03983834619331659,-0.4519039953964356,0.1566638304689293,0.005984671923782467
127,70,-6,5,7.810249675906654,0.0029739543766576127,0.5765930279553085,-0.819338258730681,0.16169657753719957,0.32945319513423543,-0.08261245406888357,0.13471648451063847,0.006054835006398263
127,71,-6,6,8.48528137423857,0.0026507485593162557,0.31866104600824813,0.49109160158796783,0.1222249952749607,-0.40775829532812774,-0.8198239445312467,0.12962524015771634,0.01215475541066527
128,59,-5,-6,7.810249675906654,0.002939036283821575,0.6399294169990017,0.30372029007103535,0.21879698745436885,0.737107911266455,0.32504226206333603,0.18732879338435068,0.0035165127527986995
128,60,-5,-5,7.0710678118654755,0.0032973930283607534,0.22627443412924336,0.44955334319591034,0.4142556678130204,-0.3980416382107327,-0.8101072874138517,0.35835552356639316,0.015507182316642287
128,61,-5,-4,6.4031242374328485,0.003611511312705547,0.098059703488037,-0.032641833161439114,0.09213728514966958,0.6526421557064997,0.24057650650338075,0.02052044933079935,0.12816491910957756
128,62,-5,-3,5.830951894845301,0.0038694824237439428,0.29761955371492915,-0.40959071003168496,0.6285084240061009,0.5067022134408049,0.0946365642376859,0.003960169012644179,0.3453482663029209
128,63,-5,-2,5.385164807134504,0.004061340717067173,0.558452518923675,0.31721606936160607,0.840808869485546,0.46110541307067193,0.04903976386755293,0.011214062389724914,0.5711115080104653
128,64,-5,-1,5.0990195135927845,0.004179574253973709,0.22548717468891358,0.38721130040654744,0.3134670379960533,0.18248033259903346,-0.22958531660408554,0.035595847585971896,0.6074506628713242
128,65,-5,0,5.0,0.05631533147438922,0.7055983691571126,0.16411391426038557,0.5295811389131531,0.35701378123639604,-0.055051867966722956,0.0711222898014495,0.6233052607310182
128,66,-5,1,5.0990195135927845,0.004179574253973705,0.27745021535123215,0.5162201840757992,0.3183543023135045,0.29454250342038973,-0.11752314578272927,0.20504498120546447,0.14677674540212762
128,67,-5,2,5.385164807134504,0.004061340717067172,-0.02165002238928419,-0.2710431276931067,0.3597769093435464,0.0434989939478126,-0.3685666552553064,0.34092758811404333,0.1501408104669268
