scenario,look,time_s,H_real,H_imag,H_abs,H_phase_rad,Tt_real,Tt_imag,Tvb_real,Tvb_imag,cancellation_ratio,relative_abs,transfer_slope_rad_s,phase_curvature_rms_rad,synthetic_imposed_s_wave,synthetic_recovered_variable_s,synthetic_recovered_constant_s
T13_depth5,0,0.35534731021679394,-0.5708499177109164,1.0575323455110468,1.2017671531343566,2.065770306144975,0.0,0.040280929186975026,-0.5708499177109164,1.0172514163240718,0.9958637866482046,1.0970933753995844,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,1,1.0594467117244886,-0.5710210089111987,1.0495780324401478,1.1948552375911048,2.069058514049007,0.0,0.039966430787566495,-0.5710210089111987,1.0096116016525813,0.9958190441370507,1.09078348688745,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,2,1.764063059292087,-0.5711879275738196,1.0416124747353002,1.1879445256956536,2.072386421146442,0.0,0.039651964195094896,-0.5711879275738196,1.0019605105402052,0.9957736673323583,1.0844746971855341,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,3,2.4684216667974654,-0.571350485152924,1.0336443788994139,1.1810427930074492,2.075751044266571,0.0,0.03933786658998942,-0.571350485152924,0.9943065123094244,0.9957276978488244,1.0781741046029698,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,4,3.172825122794375,-0.5715087507555717,1.0256703154760372,1.1741472855817143,2.0791544643002973,0.0,0.039023995731609966,-0.5715087507555717,0.9866463197444272,0.9956811085091264,1.071879195063246,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,5,3.8772216143410563,-0.5716627095193744,1.0176909054073024,1.1672587683987503,2.0825970814967,0.0,0.03871036922537184,-0.5716627095193744,0.9789805361819306,0.9956338952756391,1.0655906669169695,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,6,4.58166149264895,-0.5718123695415159,1.0097055449028467,1.1603769531355912,2.086079834327398,0.0,0.03839695658036653,-0.5718123695415159,0.9713085883224801,0.9955860469597396,1.0593082569540706,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,7,5.28587569742117,-0.5719576726170175,1.0017172872089215,1.1535047042637825,2.0896020656788745,0.0,0.03808387064540895,-0.5719576726170175,0.9636334165635126,0.9955375745764155,1.0530345801509606,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,8,5.981358516737583,-0.5720969452197892,0.9938223960133956,1.1467248447415888,2.0931212916611726,0.0,0.037774869541792766,-0.5720969452197892,0.9560475264716028,0.9954890664698475,1.0468452455959774,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,9,6.673092111757245,-0.5722313013812574,0.9859637894875787,1.139988270317372,2.096662626871714,0.0,0.037467701655228156,-0.5722313013812574,0.9484960878323505,0.995440180874287,1.0406954260120267,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,10,7.454959389028037,-0.5723781660901726,0.9770729496192846,1.13238169973489,2.1007159439070784,0.0,0.03712067494213264,-0.5723781660901726,0.9399522746771519,0.9953841447499522,1.0337513868329016,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,11,8.103828571296766,-0.5724959417813222,0.9696974724346509,1.1260838296513425,2.1041168167839923,0.0,0.03683317687205694,-0.5724959417813222,0.932864295562594,0.9953370661623534,1.0280020604931304,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,12,8.80783016797774,-0.5726196181085856,0.9616844820057519,1.1192543365890943,2.1078516949113175,0.0,0.03652121989162627,-0.5726196181085856,0.9251632621141256,0.9952853032413383,1.0217674154735954,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,13,9.512258919147031,-0.5727390433806205,0.9536611866924108,1.112429625107191,2.111633871777774,0.0,0.03620925981241428,-0.5727390433806205,0.9174519268799965,0.9952328265150038,1.0155371355593195,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,14,10.216818173596257,-0.5728541593273393,0.9456309699274867,1.1056128703776165,2.115462596525893,0.0,0.03589742190739231,-0.5728541593273393,0.9097335480200944,0.9951796506861814,1.0093141193651798,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,15,10.921192327154113,-0.572964911919811,0.937597454734921,1.0988074341833873,2.1193369461101113,0.0,0.03558584007422367,-0.572964911919811,0.9020116146606972,0.9951257933697883,1.0031014358632881,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,16,11.625467205567109,-0.5730713148199952,0.9295596297997664,1.09201274590684,2.123258206908317,0.0,0.035274468137111104,-0.5730713148199952,0.8942851616626553,0.9950712419594404,0.9968985641367117,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,17,12.330642284515337,-0.5731735080313065,0.9215061845691371,1.0852195715651662,2.127232817021556,0.0,0.03496286181399217,-0.5731735080313065,0.8865433227551449,0.9950159125768795,0.9906970744814594,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,18,13.034391449393064,-0.573271157747568,0.9134635360518585,1.078450486578592,2.131248545757329,0.0,0.034652036155898874,-0.573271157747568,0.8788114998959596,0.9949599817747667,0.9845175760013098,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,19,13.738752659938966,-0.573364550508073,0.9054085321617256,1.0716862963995457,2.1353177493919935,0.0,0.034341089027067395,-0.573364550508073,0.8710674431346581,0.9949032843268991,0.9783425459915281,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,20,14.443135563070491,-0.5734535995372303,0.8973478999774296,1.0649329952706457,2.1394379864274793,0.0,0.0340302738886837,-0.5734535995372303,0.8633176260887458,0.9948458616282935,0.9721774565969052,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,21,15.147523617335109,-0.5735382998215187,0.8892818130863881,1.0581910623551742,2.143610082504816,0.0,0.03371959075306246,-0.5735382998215187,0.8555622223333257,0.9947877102056033,0.9660227452456578,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,22,15.851900022832066,-0.5736186464439881,0.8812104924870642,1.051461023346813,2.1478348525488324,0.0,0.033409041419903786,-0.5736186464439881,0.8478014510671604,0.9947288274003006,0.9598788918436102,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,23,16.55631466498908,-0.5736946420758016,0.8731333588543484,1.044742745699035,2.15211355086065,0.0,0.03309859692380097,-0.5736946420758016,0.8400347619305474,0.9946692051346218,0.9537457753890214,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,24,17.260750170310974,-0.5737662814654545,0.8650506245249558,1.0380367665635506,2.1564470386526846,0.0,0.032788258766854074,-0.5737662814654545,0.8322623657581018,0.9946088415634395,0.947623886247752,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,25,17.965121558686505,-0.573833553528144,0.8569632590636089,1.0313442560753705,2.1608357774900497,0.0,0.032478057459980746,-0.573833553528144,0.8244852016036281,0.9945477411995937,0.94151429263619,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,26,18.669477690902887,-0.5738964608506091,0.8488707343195222,1.0246651508473485,2.165281050654187,0.0,0.03216796598961474,-0.5738964608506091,0.8167027683299075,0.9944858979587187,0.9354169366882026,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,27,19.373934429971335,-0.573955010153594,0.8407717056215165,1.0179987301829636,2.1697846316598817,0.0,0.0318579262044005,-0.573955010153594,0.808913779417116,0.9944232998531057,0.9293311604798509,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,28,20.078338171839263,-0.5740091853907004,0.8326679396294882,1.0113468458445463,2.174346589097688,0.0,0.031547999078432525,-0.5740091853907004,0.8011199405510556,0.99435995955897,0.9232586544851842,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,29,20.782669142875097,-0.5740589834740004,0.8245596885031957,1.0047101056581893,2.1789678316532988,0.0,0.031238187479572514,-0.5740589834740004,0.7933215010236232,0.994295879066179,0.9171999735887141,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,30,21.487042001798237,-0.5741044099881694,0.8164456324572076,0.9980878439928591,2.183650193607229,0.0,0.030928434275715316,-0.5741044099881694,0.7855171981814922,0.9942310486176759,0.9111545101357914,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth5,31,22.191503827842293,-0.5741454639657352,0.8083252330231665,0.9914800533214906,2.188395108834317,0.0,0.03061871229900279,-0.5741454639657352,0.7777065207241637,0.994165465199541,0.9051222572549583,0.005598246477820717,0.0018361962235569906,0.4,0.4055982464778208,0.4
T13_depth10,0,0.35534731021679394,-0.5708499177109164,0.5771102299603943,0.8117424752195115,2.3507411212726192,0.0,0.040280929186975026,-0.5708499177109164,0.5368293007734193,0.9852466184854963,1.058732364210028,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,1,1.0594467117244886,-0.5710210089111987,0.5727640081322241,0.8087790808556151,2.3546706042821093,0.0,0.039966430787566495,-0.5710210089111987,0.5327975773446576,0.9851723513921742,1.0548672941702641,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,2,1.764063059292087,-0.5711879275738196,0.5684118672479311,0.8058211336483766,2.3586304811844503,0.0,0.039651964195094896,-0.5711879275738196,0.5287599030528363,0.9850982444646206,1.0510093287002653,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,3,2.4684216667974654,-0.571350485152924,0.5640585611910949,0.8028719931206031,2.3626166899573398,0.0,0.03933786658998942,-0.571350485152924,0.5247206946011055,0.9850244029926647,1.0471628495290075,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,4,3.172825122794375,-0.5715087507555717,0.5597022129741516,0.7999305091058577,2.366631189872882,0.0,0.039023995731609966,-0.5715087507555717,0.5206782172425416,0.9849508200475154,1.0433263565274862,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,5,3.8772216143410563,-0.5716627095193744,0.5553431585985613,0.7969970371696871,2.370673927149699,0.0,0.03871036922537184,-0.5716627095193744,0.5166327893731895,0.9848775272218608,1.0395003134496172,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,6,4.58166149264895,-0.5718123695415159,0.5509810650287935,0.7940714829163347,2.3747454668875942,0.0,0.03839695658036653,-0.5718123695415159,0.512584108448427,0.9848045457039858,1.0356845971777309,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,7,5.28587569742117,-0.5719576726170175,0.5466175968357591,0.7911550900019387,2.378844501307088,0.0,0.03808387064540895,-0.5719576726170175,0.5085337261903501,0.9847319308547179,1.0318808297767594,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,8,5.981358516737583,-0.5720969452197892,0.5423053296678897,0.7882829348121225,2.3829213932416375,0.0,0.037774869541792766,-0.5720969452197892,0.5045304601260969,0.9846605781266616,1.028134760367653,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,9,6.673092111757245,-0.5722313013812574,0.5380130766199869,0.7854341047437343,2.3870051810474306,0.0,0.037467701655228156,-0.5722313013812574,0.5005453749647587,0.9845899888060003,1.0244191132435798,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,10,7.454959389028037,-0.5723781660901726,0.5331572636142972,0.7822233905742236,2.3916564566580267,0.0,0.03712067494213264,-0.5723781660901726,0.4960365886721645,0.9845106865398636,1.020231471094425,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,11,8.103828571296766,-0.5724959417813222,0.5291292596959086,0.7795699948192102,2.395540268778535,0.0,0.03683317687205694,-0.5724959417813222,0.4922960828238517,0.9844453803587325,1.0167707233244743,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,12,8.80783016797774,-0.5726196181085856,0.5247532725897563,0.7766976400997248,2.399785892326096,0.0,0.03652121989162627,-0.5726196181085856,0.48823205269813,0.9843749517032937,1.0130243936745587,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,13,9.512258919147031,-0.5727390433806205,0.5203718458719762,0.7738325851169334,2.4040644652310488,0.0,0.03620925981241428,-0.5727390433806205,0.4841625860595619,0.9843050095867186,1.0092875848612683,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,14,10.216818173596257,-0.5728541593273393,0.5159868242289178,0.770976193300725,2.4083744822300397,0.0,0.03589742190739231,-0.5728541593273393,0.4800894023215256,0.9842356187759902,1.0055620751669938,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,15,10.921192327154113,-0.572964911919811,0.5116001828584289,0.7681298961712496,2.4127142625334965,0.0,0.03558584007422367,-0.572964911919811,0.47601434278420524,0.9841668461848916,1.001849731682296,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,16,11.625467205567109,-0.5730713148199952,0.507211366256372,0.7652934743803671,2.4170846028890507,0.0,0.035274468137111104,-0.5730713148199952,0.47193689811926093,0.9840987195489312,0.9981502683177039,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,17,12.330642284515337,-0.5731735080313065,0.5028141957347413,0.7624631045114831,2.4214919700675823,0.0,0.03496286181399217,-0.5731735080313065,0.4678513339207491,0.9840311821831762,0.9944586983009177,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,18,13.034391449393064,-0.573271157747568,0.4984230916001634,0.7596482070968784,2.4259221428783633,0.0,0.034652036155898874,-0.573271157747568,0.46377105544426456,0.9839644939009999,0.9907873085612501,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,19,13.738752659938966,-0.573364550508073,0.4940254098552804,0.7568408111102376,2.43038809421064,0.0,0.034341089027067395,-0.573364550508073,0.459684320828213,0.9838985017357857,0.9871257027183302,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,20,14.443135563070491,-0.5734535995372303,0.4896248202529664,0.7540434307319146,2.4348864022827352,0.0,0.0340302738886837,-0.5734535995372303,0.4555945463642827,0.9838333034116602,0.9834771599452843,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,21,15.147523617335109,-0.5735382998215187,0.4852214144055084,0.7512562827423411,2.439417241304407,0.0,0.03371959075306246,-0.5735382998215187,0.45150182365244595,0.9837689431949335,0.9798419629825945,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,22,15.851900022832066,-0.5736186464439881,0.4808153097893373,0.7484796013760492,2.4439807564119764,0.0,0.033409041419903786,-0.5736186464439881,0.4474062683694335,0.9837054669410101,0.9762204173356238,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,23,16.55631466498908,-0.5736946420758016,0.4764061870003115,0.7457133479820902,2.448577546331851,0.0,0.03309859692380097,-0.5736946420758016,0.44330759007651055,0.9836429155669594,0.9726124725930525,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,24,17.260750170310974,-0.5737662814654545,0.4719941588032903,0.7429577590220865,2.453207763582487,0.0,0.032788258766854074,-0.5737662814654545,0.4392059000364362,0.9835813376131147,0.9690184371649732,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,25,17.965121558686505,-0.573833553528144,0.46757975127163437,0.7402133280034755,2.4578711191652265,0.0,0.032478057459980746,-0.573833553528144,0.43510169381165364,0.9835207885129948,0.9654389547189428,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,26,18.669477690902887,-0.5738964608506091,0.46316267292899227,0.7374800399818177,2.4625681815410774,0.0,0.03216796598961474,-0.5738964608506091,0.4309947069393775,0.983461313673792,0.9618740057633591,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,27,19.373934429971335,-0.573955010153594,0.45874218669495864,0.7347576114162305,2.46730000506491,0.0,0.0318579262044005,-0.573955010153594,0.42688426049055817,0.9834029543921975,0.9583232204840036,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,28,20.078338171839263,-0.5740091853907004,0.454319253677166,0.7320468080489613,2.4720658286764574,0.0,0.031547999078432525,-0.5740091853907004,0.4227712545987335,0.9833457759606642,0.9547875976164661,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
T13_depth10,29,20.782669142875097,-0.5740589834740004,0.4498940083011151,0.7293478835318894,2.476865763066562,0.0,0.031238187479572514,-0.5740589834740004,0.41865582082154257,0.9832898337594491,0.9512674679915982,0.006214978832261645,0.00119206350499881,0.4,0.40621497883226176,0.4
