row,col,fixed_peak,wavelength_m,kx,ky,endpoint_MSC,A_s_phi,category,training_relative_gain,predictive_gain,improved_folds,slope_span,offset_ratio_cv,complex_offset_dispersion,stability_flags,M0_s,M0_a_real,M0_a_imag,M0_c_real,M0_c_imag,M0_offset_ratio,M0_train_SSE,M0_predictive_NMSE,M0_ambiguous,M0_boundary,M0_profile_width,M0_fold0_test_NMSE,M0_fold1_test_NMSE,M0_fold2_test_NMSE,M0_fold3_test_NMSE,M1_s,M1_a_real,M1_a_imag,M1_c_real,M1_c_imag,M1_offset_ratio,M1_train_SSE,M1_predictive_NMSE,M1_ambiguous,M1_boundary,M1_profile_width,M1_fold0_test_NMSE,M1_fold1_test_NMSE,M1_fold2_test_NMSE,M1_fold3_test_NMSE,fold0_gain,fold1_gain,fold2_gain,fold3_gain
133,65,True,130.9090909090909,-0.04799655442984407,0.0,0.4168818419203573,0.412065649203119,repeated_predictive_stable,0.6208080402742844,0.35877732963155806,4,0.017957238730326508,0.09820110045260286,0.07727888589536147,,0.40607603779434764,-261.2926673993991,1189.1514421491886,0.0,0.0,0.0,7676090.138107916,0.22609083467751004,False,False,0.03535896200707134,0.6056453205846578,0.15171519121294164,0.14887423047903703,0.3525746735329238,0.4043688125428739,-309.41482909287885,1260.437197138216,-219.32820519757365,329.1241814297611,0.3047396546500733,2910711.66250038,0.14497456875774292,False,False,0.0321445109155194,0.40902231631351155,0.11740319474391354,0.08429803021621037,0.19095580000910245,0.3246504143404211,0.2261605854674703,0.43376345291618235,0.45839615167006376
129,62,False,87.77039784500279,-0.06544984694978737,-0.02899931680236732,0.13285181937720209,0.5540466577464761,no_predictive_advantage,0.10418510020884697,-0.23981917327006608,2,0.02445529250097278,0.5370386725340154,0.11589744764079565,offset_ratio_unstable,0.5464276562953283,555.5425965728479,89.73749495817528,0.0,0.0,0.0,2460710.2145114313,0.28538308393173645,False,False,0.03857341309862328,3.330177650747397,0.16824643775367842,0.14875180975573798,0.12252278546442678,0.5432081170008248,556.0012050372865,91.27016612964853,43.930387831678836,-78.63650529152551,0.15986615879461877,2204340.8742276244,0.35382341918550736,False,False,0.03857341309862328,3.1970435741178918,0.24017837339702033,0.31783812284876883,0.09590649040288562,0.039978070419043665,-0.4275391301220537,-1.1367008802829606,0.2172354714321193
129,63,False,92.06744928345562,-0.06544984694978737,-0.01933287786824488,0.1712627449038,0.5365979172092461,no_predictive_advantage,0.020801609579628733,-0.40022023822775465,0,0.022304103665090835,0.5526265212761234,0.1355574534481344,offset_ratio_unstable,0.5345546602398265,-250.66749519993522,-571.540903488857,0.0,0.0,0.0,3764793.774343682,0.3262083855164154,False,False,0.04178786419017522,2.7734776276935094,0.13254941756509747,0.2622433178735171,0.24929910562136098,0.5295513204692303,-249.64997291654402,-574.2453288680057,-42.99237540168355,-29.391160817277395,0.08317077145018244,3686480.004101968,0.4567635832796864,False,False,0.04500231528172716,3.7219429892907487,0.1413255648054694,0.3932031720620147,0.3942345632558203,-0.3419769289381309,-0.06621037950666064,-0.499382997631463,-0.5813717513074006
130,63,False,98.06322518938761,-0.061086523819801536,-0.01933287786824488,0.28885907505595804,0.4977617592818526,no_predictive_advantage,0.07608879771809718,-0.12457606199190763,0,0.01401353051509352,0.10591867983604826,0.10662069314829162,,0.49031040892431993,188.43577832029942,-420.331066416004,0.0,0.0,0.0,1650983.0761311844,0.27718656824011595,False,False,0.03535896200707134,0.6511435453757515,0.18772259837012104,0.1936702347184927,0.3954529393803103,0.4822133325655643,193.37191811071386,-427.6950733970477,29.33507667193782,-59.69113502717017,0.1416981120558419,1525361.7588154369,0.3117173793485208,False,False,0.03857341309862328,0.7350102365802682,0.19112131760031348,0.2468881894105568,0.41873463268196415,-0.12879908247592375,-0.01810500845237306,-0.2747864418578232,-0.05887348653454749
131,60,False,84.31320510311491,-0.05672320068981571,-0.04833219467061221,0.18922399334892578,0.6052730066227132,no_predictive_advantage,0.04923734622594811,-0.3673790572996396,1,0.02155697672333512,0.36286094061456775,0.11951990786211122,,0.6069965335533547,-610.4509738744616,-332.2788826626388,0.0,0.0,0.0,3513432.4419654617,0.27662566614918443,False,False,0.03857341309862283,2.351921085609462,0.11739876338479266,0.22023790806201543,0.12006788452491705,0.6024582880568453,-604.1116073853295,-332.5888760809746,-50.917027374964206,-56.019912629761954,0.10977442326881813,3340440.35237893,0.3782521426039567,False,False,0.04178786419017522,3.815205854785212,0.12764550673190203,0.2943677199813985,0.08979903987792896,-0.6221657597820989,-0.0872815270934677,-0.33658970234365526,0.2520977592530712
131,64,False,109.19501202511091,-0.05672320068981571,-0.00966643893412244,0.1285519216523667,0.45451002929624285,no_predictive_advantage,0.2799927737248752,-0.09068567457718824,2,0.029929132624950283,0.21770713957870752,0.08552803202750832,,0.4506044061427581,766.9614292774327,-497.7864809838068,0.0,0.0,0.0,4025852.1552269096,0.1992912561722357,False,False,0.03535896200707134,0.534411838953577,0.16987433044110337,0.10831412658942371,0.23042485224914772,0.4432058651259985,797.4029979339745,-518.357752107516,156.82393243335383,-115.94609621790893,0.20506385374575942,2898642.6436786605,0.2173641181755501,False,False,0.0321445109155194,0.3805219870164681,0.10679359679382817,0.1349286868017914,0.5691347857022196,0.2879611578935789,0.3713376440306013,-0.24571642730641252,-1.4699366415860413
132,65,False,120.0,-0.05235987755982988,0.0,0.47622860873450074,0.40427595424960533,no_predictive_advantage,0.18557483135748143,-0.5086130074877957,1,0.042416791688410505,0.2639861010607243,0.09601501548674912,,0.4045479339250423,962.8474782696933,515.6148254988085,0.0,0.0,0.0,6362445.773945296,0.21281038775292516,False,False,0.03535896200707134,1.3407679432871884,0.13056885115899647,0.16641586544849243,0.08709624709394534,0.4027363068681561,975.8052968850021,558.7514875138589,67.07347790681096,185.35587085798997,0.1753012384835165,5181735.972424277,0.3210485190925844,False,False,0.0321445109155194,2.7211125658139523,0.2327115086608747,0.13349937046169805,0.12539804379275468,-1.0295179187701526,-0.7822896241730499,0.1977966157137968,-0.4397640309058961
133,64,False,128.33229231848006,-0.04799655442984407,-0.00966643893412244,0.3094901700364652,0.339595312742826,descriptive_or_unstable,0.46973663896798457,0.3031519988209104,3,0.03252355109224597,0.10059310950900406,0.0593077720883842,,0.3394591396566675,559.8934878833917,-119.07129082351828,0.0,0.0,0.0,2780761.273126182,0.30095816314400065,False,False,0.03535896200707134,1.604872784320437,0.19756638759243839,0.25074677118016875,0.1981128111418536,0.3539141948048234,595.3776860313641,-124.58856630595143,209.93002966548534,20.858891173243727,0.3468237483677395,1474535.8189155557,0.20972209442542725,False,False,0.0321445109155194,1.2680186252846326,0.18798970573938445,0.09584517108414055,0.2131869241397205,0.2098946173970051,0.048473234590945546,0.6177610956542565,-0.07608853213976885
133,66,False,128.33229231848006,-0.04799655442984407,0.00966643893412244,0.5048733461544547,0.40049393807264905,descriptive_or_unstable,0.5032866783160637,0.20945060186102793,3,0.04280575428135858,0.12819957059162562,0.07458203047586075,,0.39963330191554935,448.74466195818167,-584.5631287837272,0.0,0.0,0.0,3003969.4883857183,0.2740876657120724,False,False,0.03535896200707134,0.4651505635184555,0.1035873695543463,0.230765071912548,0.6041755813101509,0.399515496529861,467.5148335504645,-629.2376267245029,85.9933411194831,-205.42493934295612,0.28408689021173916,1492111.6628132649,0.2166798391659946,False,False,0.028930059823967458,0.9842870713105168,0.10139373276622578,0.10354536033311687,0.15908671108690411,-1.1160612251337492,0.021176682037182704,0.5512953521304256,0.7366879496487997
134,62,False,119.92866326759804,-0.043633231299858244,-0.02899931680236732,0.19904260548427485,0.43389656218957107,no_predictive_advantage,0.06420903244149334,-0.41078168478967103,1,0.04911321409794539,0.5207037330202281,0.13679185881720254,offset_ratio_unstable,0.43972915640289767,-347.32534751946514,-437.8458108497376,0.0,0.0,0.0,2064126.2894424289,0.31848193996817875,False,False,0.03535896200707134,1.8005327140295617,0.21106709661702294,0.2340085752630585,0.22088352470363362,0.44371462649868515,-344.4022240265346,-424.01310926512093,28.324712672270046,60.583524038757176,0.12242868200653931,1931590.7375602806,0.44930848784339,False,False,0.03857341309862328,2.4916471288501927,0.2811303804477495,0.43169966224737316,0.2099561703736933,-0.3838388547097977,-0.33194792060770606,-0.8448027460621139,0.049471115351866546
