transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
1,5000.0,435542.45489756373,4011356.482326662,True,19.836708068847656,19.019039154052734,20.745803833007812,0.300119549036026,0.0,1.0,2001.0,511.99999999999943,False,90.0,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.03413107253045555,0.03381907643800424,"[0.033364082136512735, 0.03413107253045555]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",148.1535374967931,133.47165305059258,165.4174656456845,133.47165305059258
1,5100.0,435640.0732717047,4011378.1768658385,True,20.05268096923828,19.182323455810547,21.013233184814453,0.300119549036026,0.0,1.0,2001.0,511.99999999999943,False,90.0,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04670654888130511,0.046751550830787435,"[0.046402918833540696, 0.047169909227483514]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",148.77426925843318,133.9991762300427,166.14569366645907,133.9991762300427
1,5200.0,435737.6916458457,4011399.8714050143,True,20.286914825439453,19.374279022216797,21.305988311767578,0.300119549036026,0.0,1.0,2001.0,137.76338821044462,True,50.19442890773481,0.04661807996274684,0.04836765304139952,"[0.04601942363656929, 0.05215534678811186]",0.04682382227684059,0.04681837196359306,"[0.046402918833540696, 0.047169909227483514]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",149.6145694872675,134.7133257044002,167.13148410069022,134.7133257044002
1,5300.0,435835.3100199867,4011421.5659441906,True,20.52130889892578,19.563095092773438,21.519039154052734,0.300119549036026,0.0,1.0,2001.0,131.10976505128534,True,50.19442890773481,0.04590935624460921,0.04593133346266621,"[0.033747577333484144, 0.05829126993965443]",0.046651822297502754,0.04648091785665353,"[0.04563592843959788, 0.047169909227483514]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",150.05787715229172,135.08909469276648,167.65267207541558,135.08909469276648
1,5400.0,435932.92839412775,4011443.260483367,True,20.779464721679688,19.769004821777344,21.769336700439453,0.300119549036026,0.0,1.0,2001.0,183.17868871678252,False,50.19442890773481,0.043027139274087786,0.0473403930750203,"[0.033747577333484144, 0.064427193091197]",0.046124900167521826,0.04629527105895223,"[0.04563592843959788, 0.047169909227483514]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",150.9983607656081,135.88688537783253,168.75769888287616,135.88688537783253
1,5500.0,436030.54676826874,4011464.955022543,True,21.019527435302734,19.97072982788086,22.04532241821289,0.300119549036026,0.0,1.0,2001.0,178.79815571701178,True,80.53767779197439,0.03654347119204602,0.04113379677301624,"[0.033747577333484144, 0.05215534678811186]",0.04610472009582521,0.04604390205339726,"[0.04563592843959788, 0.046402918833540696]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",151.52969354640888,136.33598570321658,169.38384158692412,136.33598570321658
1,5600.0,436128.16514240974,4011486.649561719,True,21.250308990478516,20.168697357177734,22.277637481689453,0.300119549036026,0.0,1.0,2001.0,174.02236463599075,True,71.56505117707799,0.03760867062253265,0.04415207365657958,"[0.033747577333484144, 0.05829126993965443]",0.04583295671773678,0.0459066309315777,"[0.04563592843959788, 0.046402918833540696]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",152.14580669967606,136.85741102631692,170.10912639016547,136.85741102631692
1,5700.0,436225.7835165507,4011508.3441008953,True,21.510408401489258,20.455333709716797,22.52093505859375,0.300119549036026,0.0,1.0,2001.0,168.34456300068567,True,80.53767779197439,0.03607790835460163,0.041674547510362946,"[0.033747577333484144, 0.05215534678811186]",0.046082666714064566,0.04564915241190724,"[0.04486893804565506, 0.046402918833540696]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",152.8112781362415,137.41807740588632,170.8954171579348,137.41807740588632
1,5800.0,436323.4018906918,4011530.0386400716,True,21.74164581298828,20.728153228759766,22.68380355834961,0.300119549036026,0.0,1.0,2001.0,168.34456300068567,True,90.0,0.03607266323620267,0.041124089216759786,"[0.033747577333484144, 0.05215534678811186]",0.045500912942916236,0.045332328075328845,"[0.04486893804565506, 0.04563592843959788]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",153.50656851732873,138.0064436704611,171.71398643152196,138.0064436704611
1,5900.0,436421.02026483277,4011551.733179248,True,21.967700958251953,20.999576568603516,22.835567474365234,0.300119549036026,0.0,1.0,2001.0,170.07714274045927,True,90.0,0.03594270955535894,0.041199751399448065,"[0.033747577333484144, 0.05215534678811186]",0.04532670059232058,0.0452749917836248,"[0.04486893804565506, 0.04563592843959788]",0.15761652595524983,0.15761652595524983,"[0.15761652595524983, 0.15761652595524983]",154.0221129810817,138.44053335863603,172.3234302086618,138.44053335863603
