transect,distance_m,E,N,lon,lat,status,wavelength_smoothed_m,swath,burst,sample,line,n_samples,n_lines,ground_spacing_sample_m,ground_spacing_line_m,bright_fraction,affine_residual_max_m,spectrum_method,incidence_deg,n_spectra_averaged,peak_status,n_blobs,argmax_wavelength_m,argmax_axial_bearing_deg,wavelength_m,k_rad_m,axial_bearing_deg,blob_area_px,lobe_to_annulus,identifiable,depth_T11.765_m,depth_T11.765_U-0.5_m,depth_T11.765_U+0.5_m
0,250.0,431628.1099621567,4007701.8793188287,-75.76064367560389,36.211738399388835,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,300.0,431674.87392542063,4007719.574847638,-75.76012500632315,36.21190122695541,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,350.0,431721.6378886846,4007737.2703764476,-75.75960633485843,36.21206405229503,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,400.0,431768.4018519485,4007754.9659052575,-75.75908766120978,36.21222687540767,ok,67.7926854410306,IW3,0,14167.102754163083,1071.1881073439922,153,37,3.343686004377347,13.899669466821745,0.0,0.007648654396556597,affine_dtft,44.12964390150615,1,identified,1,70.5723752139041,69.9675498901809,68.88169410522232,0.09121705539909508,70.34617594194658,2,19.993310062324024,True,3.5040017881662493,4.198724863979663,2.8909595576521427
0,450.0,431815.1658152124,4007772.661434067,-75.75856898537722,36.21238969629327,ok,67.7926854410306,IW3,0,14181.748850312257,1071.9202881569427,153,37,3.3436790024922245,13.899667949409702,0.0,0.007648653947546626,affine_dtft,44.13223671431446,1,identified,3,67.03060305669702,70.2308991141994,68.88169410522232,0.09121705539909508,70.34617594194658,2,17.17900625372055,True,3.5040017881662493,4.198724863979663,2.8909595576521427
0,500.0,431861.92977847636,4007790.3569628764,-75.75805030736079,36.212552514951824,ok,82.40911964340151,IW3,0,14196.394992122623,1072.6524491231505,153,37,3.3436719990501675,13.899666437344578,0.0,0.007648673484929513,affine_dtft,44.13482953526401,1,identified,3,103.47665635918842,67.27993602161754,65.61466811264717,0.09575885221872375,70.01689347809987,3,10.184215643357872,True,5.2695268702518305,6.158989132629072,4.480971428273012
0,550.0,431908.6937417403,4007808.052491686,-75.7575316271605,36.21271533138326,ok,,IW3,0,14211.041179592294,1073.3845902420449,153,37,3.3436649991072755,13.899664923048528,0.0,0.007648692007241523,affine_dtft,44.13742236435446,1,ambiguous_multiple_blobs,2,108.6944410354086,68.88688853489785,146.28571428571402,0.04295146206079803,89.99999999999956,2,5.652894983688679,False,,,
0,600.0,431955.45770500426,4007825.7480204953,-75.75701294477642,36.212878145587545,ok,106.29488619417025,IW3,0,14225.68741271982,1074.1167115134645,153,37,3.3436579984394537,13.899663411616432,0.0,0.007648713006020348,affine_dtft,44.140015201585555,1,identified,1,136.0431578839849,89.47664014107748,126.25842225051424,0.04976448457999003,80.53767779197403,6,11.062520189555748,True,9.113878115984333,10.412732320235836,7.969476311085233
0,650.0,432002.2216682682,4007843.443549305,-75.75649426020854,36.21304095756465,ok,,IW3,0,14240.333691505206,1074.84881293717,153,37,3.3436509975573605,13.899661900050031,0.0,0.0076487114604614995,affine_dtft,44.14260804695731,1,identified,2,132.15677548090707,90.74224730317593,127.01156821934933,0.04946939397148855,97.12501634890134,2,11.481393762212601,True,,,
0,700.0,432048.9856315321,4007861.1390781146,-75.75597557345692,36.21320376731452,ok,,IW3,0,14254.980015946516,1075.5808945127376,153,37,3.3436439983532455,13.89966038814729,0.0,0.007648731312771249,affine_dtft,44.14520090046936,1,ambiguous_multiple_blobs,4,125.23913174253805,91.74341507101875,127.01156821934933,0.04946939397148855,97.12501634890134,2,9.291285952686133,False,,,
