crop_row,crop_col,fft_bin_offset_row,fft_bin_offset_col,k_east_cycles_per_m,k_north_cycles_per_m,kx_range_cycles_per_m,ky_azimuth_cycles_per_m,k_magnitude_cycles_per_m,kx_range_rad_per_m,ky_azimuth_rad_per_m,k_magnitude_rad_per_m,wavelength_m,wavevector_bearing_deg,wavevector_bearing_deg_mod_180,angle_from_local_range_axis_deg,angle_from_local_azimuth_axis_deg,slope_rad_per_s,slope_ols_standard_error_rad_per_s,slope_hac4_standard_error_rad_per_s,slope_selected_standard_error_rad_per_s,fit_residual_rmse_rad,fit_r_squared,minimum_adjacent_coherence,minimum_independent_anchor_coherence,end_to_end_coherence_look1_look11,mean_local_power,power_relative_to_frozen_peak,hemisphere_relative_to_frozen_wavevector,aligned_slope_rad_per_s,expected_omega_rad_per_s_h13_33_compatibility,bias_vs_h13_33_dispersion_rad_per_s,expected_omega_rad_per_s_h17_902_compatibility,bias_vs_h17_902_dispersion_rad_per_s,high_quality_flag,frozen_peak_lobe_flag,conjugate_peak_lobe_flag
58,61,-6,-3,0.011993867197629115,0.0032136437620704046,-0.011143290013822806,-0.005532170836321531,0.012416938293470646,-0.07001535608849246,-0.03475965451558284,0.07801792424569033,80.53515096598672,75.00046027376962,75.00046027376962,26.178167029426817,63.54247734571655,-0.40675243215745066,0.003433283402503634,0.0025647576671473447,0.003433283402503634,0.03772126473176129,0.9993591990970455,0.9243617800325417,0.3274035457727903,0.3274035457727903,1470695297135.2834,0.2691849044250785,1,-0.40675243215745066,0.7212895299399318,0.3145370977824811,0.5588479102332261,0.15209547807577545,True,True,False
58,62,-6,-2,0.011636358545595717,0.0014045516081083198,-0.011143290013822806,-0.00368811389088102,0.01172081931528245,-0.07001535608849246,-0.02317310301038856,0.07364407970988938,85.31826769960765,83.11748284013639,83.11748284013639,18.061144463060046,71.65949991208333,-0.4148515149911338,0.004132446407975307,0.0037849345641098407,0.004132446407975307,0.04540292386913947,0.9991077553780958,0.9479219005166394,0.3426952099211294,0.3426952099211294,2371168166444.83,0.43400062372099024,1,-0.4148515149911338,0.6873643719812021,0.27251285699006833,0.5291817365832724,0.11433022159213857,True,True,False
58,63,-6,-1,0.011278849893562318,-0.0004045405458537653,-0.011143290013822806,-0.0018440569454405084,0.011286102426203228,-0.07001535608849246,-0.01158655150519427,0.070912672939644,88.60454763180908,92.0541575120234,92.0541575120234,9.124469791173041,80.59617458397031,-0.4228640881115073,0.006164462459635411,0.007161237419917835,0.007161237419917835,0.06772855401314794,0.9980910195816916,0.9575082533832358,0.2533527612100385,0.2533527612100385,2559894287077.2144,0.4685436203865131,1,-0.4228640881115073,0.6657173610391751,0.24285327292766784,0.5105177541992237,0.08765366608771646,True,True,False
58,73,-6,9,0.007703763373228341,-0.018495462085474618,-0.011143290013822808,0.016596512508964607,0.020035720298155583,-0.07001535608849248,0.10427896354674863,0.12588814339613097,49.910858462725514,157.3872072531064,157.3872072531064,56.20857994990996,34.070775674946674,-0.43410942331467645,0.009416369415656529,0.0102580425371586,0.0102580425371586,0.10345704735036489,0.9957832691222933,0.7252752699254608,0.2644752757020203,0.2644752757020203,14502345973.125977,0.0026543993322882308,1,-0.43410942331467645,1.0370473852649205,0.602937961950244,0.8635099140369232,0.4294004907222468,False,False,False
59,60,-5,-4,0.01053115230940769,0.005391674699335132,-0.009286075011519002,-0.007376227781762044,0.011831116812346732,-0.0583461300737437,-0.046346206020777145,0.07433709932286237,84.52287437111758,62.88874022017067,62.88874022017067,38.28988708302577,51.43075729211759,-0.40034369440641976,0.006818144096044267,0.00880141877066117,0.00880141877066117,0.07491051226316842,0.9973963855973611,0.9229687332517533,0.3764834054721681,0.3764834054721681,872539839817.9572,0.15970306959298372,1,-0.40034369440641976,0.6928002576315933,0.2924565632251735,0.5339005378032645,0.13355684339684476,True,True,False
59,61,-5,-3,0.010173643657374293,0.0035825825453730466,-0.009286075011519004,-0.005532170836321532,0.010786005885481604,-0.058346130073743716,-0.034759654515582855,0.06777047370281056,92.71272523094393,70.60061599490523,70.60061599490523,30.57801130829121,59.14263306685217,-0.3957903462764908,0.004472277023810985,0.0047466882682100035,0.0047466882682100035,0.049136621068312486,0.9988521880697292,0.9620786712613403,0.49587033053351715,0.49587033053351715,2374527633132.82,0.43461551500478457,1,-0.3957903462764908,0.6403757568704475,0.24458541059395666,0.48891980179371686,0.09312945551722607,True,True,False
59,62,-5,-2,0.009816135005340896,0.0017734903914109618,-0.009286075011519004,-0.0036881138908810207,0.009975057624470443,-0.058346130073743716,-0.023173103010388565,0.0626751355043424,100.25004743299296,79.75879474320917,79.75879474320917,21.41983255998727,68.3008118151561,-0.3824504690643399,0.004322260168349871,0.0030331353747829466,0.004322260168349871,0.04748839549073608,0.9988518067682789,0.9708800977978509,0.49712070540984427,0.49712070540984427,4051855439866.562,0.7416208656199882,1,-0.3824504690643399,0.5982875671393776,0.2158370980750377,0.45361879782580394,0.07116832876146406,True,True,False
59,63,-5,-1,0.009458626353307497,-3.560176255112328e-05,-0.009286075011519004,-0.0018440569454405088,0.009458693354633072,-0.058346130073743716,-0.011586551505194272,0.05943072311094771,105.72284802003635,90.21565722424539,90.21565722424539,10.962970078951045,78.7576742961923,-0.3677820148037798,0.005704703729823291,0.005438178542209734,0.005704703729823291,0.06267721431094492,0.9978393305016053,0.9679439109897792,0.4154701680362595,0.4154701680362595,4182120494700.68,0.7654635925286499,1,-0.3677820148037798,0.5708526230861418,0.203070608282362,0.4309694905951041,0.06318747579132428,True,True,False
59,64,-5,0,0.0091011177012741,-0.0018446939165132083,-0.009286075011519004,2.6020852139652106e-18,0.00928618538787944,-0.058346130073743716,1.634938358441546e-17,0.05834682358886986,107.68684429940683,101.45798292805308,101.45798292805308,0.2793556248566489,90.0,-0.3685087027153261,0.005584525251769416,0.005860659866139337,0.005860659866139337,0.06135682107383999,0.9979373629557535,0.9636271821507753,0.334218394676882,0.334218394676882,2962068271954.3984,0.5421544940272272,1,-0.3685087027153261,0.5615780908081459,0.19306938809281982,0.42337412481896153,0.05486542210363543,True,True,False
59,65,-5,1,0.008743609049240703,-0.003653786070475293,-0.009286075011519006,0.0018440569454405138,0.009476331138935742,-0.05834613007374372,0.011586551505194304,0.05954154457812945,105.52607178228124,112.679111936932,112.679111936932,11.500484633735567,78.77887099112107,-0.3994987845521299,0.0036896431942424687,0.001940784209766462,0.0036896431942424687,0.040537873335556716,0.9992329087071347,0.9530675785489602,0.28884469164414645,0.28884469164414645,1929607414147.494,0.3531806951222177,1,-0.3994987845521299,0.5717978192598622,0.17229903470773228,0.431745268449453,0.0322464838973231,True,True,False
