time_start_s,time_stop_s,centre_uniform_output_k_s,centre_uniform_time_s,support_duration_s,point,plan,look_index,k_row_cycles_per_m,k_col_low_cycles_per_m,k_col_high_cycles_per_m,frequency_supported,declared_processed_frequency_supported,required_frequency_min_hz,required_frequency_max_hz,within_processing_time_guard,kernel_status,error,requested_angle_low_rad,requested_angle_high_rad,available_angle_low_rad,available_angle_high_rad
2.2167667743331534,3.61139902013652,2.9149563708109523,2.9140828972348367,1.3946322458033666,SCP,two_nonoverlap,0,62.17014728368656,-1.091677404463252,0.0,True,True,9319070637.110756,9320382027.577532,True,geometry_identified_not_vendor_exact,,,,,
2.2167667743331534,3.556305478184377,2.8873419018356286,2.886536126258765,1.3395387038512236,SCP,two_nonoverlap,0,64.73675320801252,-1.091677404463252,0.0,True,True,9703795186.616476,9705054594.32833,True,geometry_identified_not_vendor_exact,,,,,
2.2167667743331534,3.5053993493927487,2.8618287152939854,2.861083061862951,1.2886325750595953,SCP,two_nonoverlap,0,67.30335913233846,-1.091677404463252,0.0,True,False,10088519736.122192,10089731124.850147,True,geometry_identified_not_vendor_exact,,,,,
0.8115900335438747,2.2167667743331534,1.5150623614782432,1.514178403938514,1.4051767407892788,SCP,two_nonoverlap,1,62.17014728368656,0.0,1.091677404463252,True,True,9319070637.110756,9320382179.667362,True,geometry_identified_not_vendor_exact,,,,,
0.8675031240037921,2.2167667743331534,1.5429500105171827,1.5421349491684728,1.3492636503293611,SCP,two_nonoverlap,1,64.73675320801252,0.0,1.091677404463252,True,True,9703795186.616476,9705054734.597212,True,geometry_identified_not_vendor_exact,,,,,
0.9191368392607235,2.2167667743331534,1.5687057236494217,1.5679518067969385,1.2976299350724299,SCP,two_nonoverlap,1,67.30335913233846,0.0,1.091677404463252,True,False,10088519736.122192,10089731254.621365,True,geometry_identified_not_vendor_exact,,,,,
2.6911709385716884,3.636202603120798,3.1640880677645025,3.163686770846243,0.9450316645491097,SCP,three_nonoverlap,0,62.17014728368656,-1.1111673204222876,-0.3704294586003051,True,True,9319221644.35883,9320429265.73961,True,geometry_identified_not_vendor_exact,,,,,
2.672385377233606,3.5801328250600766,3.1266293270264516,3.1262591011468412,0.9077474478264707,SCP,three_nonoverlap,0,64.73675320801252,-1.1111673204222876,-0.3704294586003051,True,True,9703940207.113325,9705099960.30994,True,geometry_identified_not_vendor_exact,,,,,
2.655030897388803,3.5283243960817896,3.092020275258889,3.091677646735296,0.8732934986929868,SCP,three_nonoverlap,0,67.30335913233846,-1.1111673204222876,-0.3704294586003051,True,False,10088659226.45558,10089774761.37162,True,geometry_identified_not_vendor_exact,,,,,
1.7413041740963926,2.6911709385716884,2.2166421109662906,2.2162375563340406,0.9498667644752958,SCP,three_nonoverlap,1,62.17014728368656,-0.3704294586003051,0.3703084032216775,True,True,9319070637.119543,9319221644.35883,True,geometry_identified_not_vendor_exact,,,,,
