acquisition_key,local_original_path,historical_sha256,block18_raw_sha256,status
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,Block8_validation\buoy_data\42084_20260218T0500_spectrum.ascii,ea3eb757073650a8fdae4df03c1e7747f20ac85f25cf9f2d197192ebb63597d5,ea3eb757073650a8fdae4df03c1e7747f20ac85f25cf9f2d197192ebb63597d5,local_original_found_and_remote_hash_identical
collect:98fe2c0f-44e9-41bd-bec6-af02b11f13a0,Block8_validation\buoy_data\42084_20260314T0500_spectrum.ascii,3ebf092e2b79ef2e7bb0008ff4428ca915575cf5e9805be0d0718ca64abe1e9d,3ebf092e2b79ef2e7bb0008ff4428ca915575cf5e9805be0d0718ca64abe1e9d,local_original_found_and_remote_hash_identical
collect:9caef3b7-fc13-4aca-863b-acbb2fcc1e9f,Block8_validation\buoy_data\42084_20251223T0300_spectrum.ascii,3b776dc9abe483cc4483e7ea26c971f8bef8da2bf268e117477a61603f1cb2c3,3b776dc9abe483cc4483e7ea26c971f8bef8da2bf268e117477a61603f1cb2c3,local_original_found_and_remote_hash_identical
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,Block8_validation\buoy_data\42084_20251202T1600_spectrum.ascii,f3e1abd8eac096b877a4e5e5c52e1fb6bcca8be0f76c9f6cfbbd1680493f238d,f3e1abd8eac096b877a4e5e5c52e1fb6bcca8be0f76c9f6cfbbd1680493f238d,local_original_found_and_remote_hash_identical
