transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
0,500.0,430315.035167548,4012363.269820415,False,6.891301155090332,4.9867987632751465,8.644416809082031,0.7262614965438843,0.0,0.0,2019.0,78.53721485797067,True,,,,,,,,,,,,,,
0,550.0,430363.5371974852,4012375.416963781,True,7.330689907073975,5.507669448852539,8.932207107543945,0.15355214476585388,0.0,0.0,2019.0,85.33333333333324,True,90.0,0.07245909475011775,0.07337816838432366,"[0.06749515466696829, 0.07976700097005343]",0.05470825473266848,0.055024515058538566,"[0.05445631796994033, 0.05599029875782596]",0.31850128602924155,0.318301013486271,"[0.31830101348627093, 0.31830101348627093]",96.30292203994593,87.86917731545658,106.30560656570069,87.86917731545658
0,600.0,430412.03922742244,4012387.564107148,True,7.725435733795166,6.052427291870117,9.127584457397461,0.15355214476585388,0.0,0.0,2019.0,85.33333333333324,True,90.0,0.06998649822285263,0.07265644030759869,"[0.06749515466696829, 0.07976700097005343]",0.05927477386736482,0.05963550885801484,"[0.05905826033359725, 0.0605922411214829]",0.2865221611445701,0.2860874169406724,"[0.2860874169406724, 0.2860874169406724]",98.76237846004625,90.08461675802549,109.05179210400391,90.08461675802549
0,650.0,430460.54125735967,4012399.7112505143,True,8.098377227783203,6.517892837524414,9.425586700439453,0.15355214476585388,0.0,0.0,2019.0,93.09090909090897,True,90.0,0.06879392907972101,0.06818334371841125,"[0.055223308363883145, 0.07976700097005343]",0.058800581674424555,0.0618176753371121,"[0.05752427954571161, 0.06672816427302547]",0.3018242744073342,0.3019560078327731,"[0.3014272248195288, 0.30296120560741446]",100.44681196274128,91.59543526028342,110.93970614141152,91.59543526028342
0,700.0,430509.04328729695,4012411.858393881,True,8.468424797058105,6.974504470825195,9.7445068359375,0.15355214476585388,0.0,0.0,2019.0,93.09090909090897,True,90.0,0.06688604028965603,0.06727767527600895,"[0.055223308363883145, 0.07976700097005343]",0.059062778857542304,0.058235872276965944,"[0.05138835639416904, 0.06519418348513983]",0.30190000562363717,0.3020446523214067,"[0.3014272248195288, 0.30296120560741446]",101.54210672890585,92.58159559289182,112.1631977771792,92.58159559289182
0,750.0,430557.5453172342,4012424.0055372473,True,8.783626556396484,7.367879867553711,10.033141136169434,0.15355214476585388,0.0,0.0,2019.0,102.39999999999988,True,90.0,0.05995009366591431,0.07102690348237768,"[0.055223308363883145, 0.09203884727313857]",0.055435370583813946,0.05251357084477316,"[0.048320394818397755, 0.05599029875782596]",0.31807054579137206,0.31830101348627093,"[0.31830101348627093, 0.31830101348627093]",102.79743633903227,93.70500046307693,113.57294930884817,93.70500046307693
0,800.0,430606.0473471714,4012436.152680614,True,9.111838340759277,7.852018356323242,10.341761589050293,0.23201750218868256,0.0,0.0,2018.0,82.78549334573489,True,71.56505117707799,0.047194419919191904,0.05432765707586721,"[0.030679615757712858, 0.07976700097005343]",0.05133218090667085,0.0551704692925288,"[0.048320394818397755, 0.062126221909368534]",0.3336408213651273,0.33418477412267567,"[0.3336408213651273, 0.335174802153013]",106.03088184872627,96.59551062723273,117.20757711901828,96.59551062723273
0,850.0,430654.54937710863,4012448.299823981,True,9.438541412353516,8.182788848876953,10.663769721984863,0.23201750218868256,0.0,0.0,2018.0,127.12026448932349,True,56.309932474020215,0.04293605046713785,0.04294417775019967,"[0.030679615757712858, 0.055223308363883145]",0.05010943372832237,0.05041235278022754,"[0.04985437560628339, 0.05138835639416904]",0.31676703269838524,0.31676703269838524,"[0.31676703269838524, 0.31676703269838524]",108.50801621983015,98.80563670570704,119.99675733102801,98.80563670570704
0,900.0,430703.05140704586,4012460.446967347,True,9.742640495300293,8.598260879516602,10.973105430603027,0.23201750218868256,0.0,0.0,2018.0,127.12026448932349,True,63.43494882292201,0.04757918770759087,0.05319515735714362,"[0.042951462060798, 0.06749515466696829]",0.05932348822875965,0.06024977251756103,"[0.05905826033359725, 0.062126221909368534]",0.3336408213651273,0.3336408213651273,"[0.3336408213651273, 0.3336408213651273]",109.26987020519137,99.48579586802495,120.85411742503427,99.48579586802495
0,950.0,430751.55343698314,4012472.594110714,True,10.046372413635254,8.891253471374512,11.305830955505371,0.23201750218868256,0.0,0.0,2018.0,119.85013472883753,True,63.43494882292201,0.05311077627175195,0.054270497937118904,"[0.042951462060798, 0.06749515466696829]",0.05354124097721919,0.053559296740066244,"[0.046786414030512105, 0.0605922411214829]",0.3336408213651273,0.3336408213651273,"[0.3336408213651273, 0.3336408213651273]",110.42408736110113,100.51351840220944,122.15601744389076,100.51351840220944
