transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
1,5000.0,435255.7407532702,4012074.592977458,True,19.24375343322754,18.49700164794922,20.029708862304688,0.300119549036026,0.0,1.0,2001.0,163.4481939389688,True,63.43494882292201,0.03615152238584306,0.0366142824130838,"[0.033747577333484144, 0.039883500485026716]",0.04333495725776941,0.042965158317832694,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",146.43744698920256,132.0090083354788,163.40900482111815,132.0090083354788
1,5100.0,435350.1521270784,4012107.5549630728,True,19.430814743041992,18.644229888916016,20.278697967529297,0.300119549036026,0.0,1.0,2001.0,163.4481939389688,True,63.43494882292201,0.03649906850773611,0.038735554371613155,"[0.033747577333484144, 0.04601942363656929]",0.04253114594334391,0.04230118759636822,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",147.5025406437898,132.9173614509116,164.65492102979596,132.9173614509116
1,5200.0,435444.56350088655,4012140.5169486874,True,19.63041877746582,18.809158325195312,20.529354095458984,0.300119549036026,0.0,1.0,2001.0,152.64890726398548,True,59.03624346792648,0.037388751717552356,0.03897009379223763,"[0.033747577333484144, 0.04601942363656929]",0.04256796686382659,0.042823630328474194,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547607,"[0.20823789195547604, 0.20823789195547604]",147.72545398633773,133.10706145132386,164.91614400375119,133.10706145132386
1,5300.0,435538.9748746947,4012173.478934302,True,19.83292007446289,18.99307632446289,20.769134521484375,0.300119549036026,0.0,1.0,2001.0,127.01156821934931,False,97.1250163489018,0.012872919780778293,0.012452775896319134,"[0.009203884727313857, 0.015339807878856429]",0.04244734764962814,0.04226784018793593,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.12998240934988,133.45127788216777,165.3902368559053,133.45127788216777
1,5400.0,435633.3862485029,4012206.4409199166,True,20.04083824157715,19.186325073242188,21.002887725830078,0.300119549036026,0.0,1.0,2001.0,127.01156821934931,True,97.1250163489018,0.05033116763370076,0.04378542918005296,"[0.033747577333484144, 0.05215534678811186]",0.042338714383761446,0.04225790691733907,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.83658867218702,134.05224031177562,166.21868960812648,134.05224031177562
1,5500.0,435727.79762231105,4012239.4029055308,True,20.247310638427734,19.358108520507812,21.211380004882812,0.300119549036026,0.0,1.0,2001.0,122.00470591327282,True,90.0,0.04731339788115251,0.04134758076609064,"[0.027611654181941572, 0.05215534678811186]",0.042330625906024315,0.04228451389215208,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",149.1965457342035,134.35792450496837,166.641235901439,134.35792450496837
1,5600.0,435822.2089961192,4012272.3648911454,True,20.443702697753906,19.51516342163086,21.380859375,0.300119549036026,0.0,1.0,2001.0,179.62148235407935,True,71.56505117707799,0.04556786878692748,0.04348364740904715,"[0.033747577333484144, 0.05215534678811186]",0.04256796686382659,0.0419160250289752,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",149.90905817963636,134.9628333888492,167.47783817054585,134.9628333888492
1,5700.0,435916.6203699274,4012305.32687676,True,20.662294387817383,19.678119659423828,21.61144256591797,0.300119549036026,0.0,1.0,2001.0,86.38966591684553,True,59.03624346792648,0.036414989745807036,0.04197828950412013,"[0.033747577333484144, 0.05215534678811186]",0.047169909227483514,0.04651796739263212,"[0.04563592843959788, 0.047169909227483514]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",150.3819116710321,135.36386841151582,168.03350999554135,135.36386841151582
1,5800.0,436011.03174373554,4012338.2888623746,True,20.88047981262207,19.862220764160156,21.832935333251953,0.300119549036026,0.0,1.0,2001.0,84.77910906791132,True,61.38954033403478,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04180097646988378,0.04180097646988378,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",150.76277889847415,135.68725781447188,168.48066071186844,135.68725781447188
2,5000.0,435557.1062105332,4010697.120928203,True,19.965967178344727,19.127704620361328,20.912647247314453,0.300119549036026,0.0,1.0,2001.0,163.4481939389688,True,63.43494882292201,0.03606285557425765,0.03867468960161514,"[0.033747577333484144, 0.04601942363656929]",0.04232770909514046,0.04223925669499396,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.66140206004394,133.90339527419115,166.01312386551675,133.90339527419115
2,5100.0,435656.44063544634,4010708.6392625957,True,20.186986923217773,19.351749420166016,21.139598846435547,0.300119549036026,0.0,1.0,2001.0,163.4481939389688,True,63.43494882292201,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04211220709474652,0.042160992369081426,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",149.27174594463415,134.42258295653787,166.72860468991396,134.42258295653787
2,5200.0,435755.7750603595,4010720.1575969877,True,20.416662216186523,19.500328063964844,21.460994720458984,0.300119549036026,0.0,1.0,2001.0,457.9467217919564,False,59.03624346792648,0.03674031186418481,0.03889680001204157,"[0.033747577333484144, 0.04601942363656929]",0.042159771354666004,0.042176952153189076,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547607,"[0.20823789195547604, 0.20823789195547604]",149.45499494145545,134.5778455336618,166.94412444964672,134.5778455336618
2,5300.0,435855.10948527267,4010731.6759313797,True,20.674327850341797,19.623546600341797,21.859725952148438,0.300119549036026,0.0,1.0,2001.0,457.9467217919564,False,97.1250163489018,0.009203884727313857,0.011918293605768597,"[0.009203884727313857, 0.015339807878856429]",0.041947547319844514,0.041854800357178,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",150.62982051934117,135.57337823642507,168.32568886410792,135.57337823642507
2,5400.0,435954.4439101859,4010743.194265772,True,20.960105895996094,19.789363861083984,22.275680541992188,0.300119549036026,0.0,1.0,2001.0,127.75073004580959,True,97.1250163489018,0.009203884727313857,0.01187617346163635,"[0.009203884727313857, 0.015339807878856429]",0.04182263501749349,0.04181544798675061,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",151.0946709405963,135.96675736619096,168.87294688780625,135.96675736619096
2,5500.0,436053.77833509905,4010754.712600164,True,21.26420783996582,20.06319808959961,22.614620208740234,0.300119549036026,0.0,1.0,2001.0,120.26270095661116,True,90.0,0.048177083332671296,0.04137248688762131,"[0.027611654181941572, 0.05215534678811186]",0.04147930865119262,0.041182001766000086,"[0.040266995681998125, 0.041800976469883774]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",152.34514318627615,137.02406994945324,170.3461271190517,137.02406994945324
2,5600.0,436153.1127600122,4010766.230934556,True,21.545242309570312,20.38304901123047,22.829853057861328,0.300119549036026,0.0,1.0,2001.0,175.90220830122007,True,90.0,0.035576867199933,0.040192023490975386,"[0.027611654181941572, 0.05215534678811186]",0.04144042348953775,0.04109898526186831,"[0.040266995681998125, 0.041800976469883774]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",152.79998622935318,137.40901142854239,170.88156420429905,137.40901142854239
