transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,bluetopo_modern_fraction,bluetopo_old_fraction,cudem_fraction,dominant_source_class,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_sector_source,sar_max_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
1,5000.0,435255.7407532702,4012074.592977458,True,19.010730743408203,18.261463165283203,19.80426788330078,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,163.4481939389688,True,72.0,fixed,63.43494882292201,0.03607532565485695,0.038900803866072066,"[0.033747577333484144, 0.04601942363656929]",0.04301916174436337,0.042969830758951146,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",145.7436002003788,131.41574558103898,162.59908658894423,131.41574558103898
1,5100.0,435350.1521270784,4012107.5549630728,True,19.197525024414062,18.404590606689453,20.046913146972656,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,163.4481939389688,True,72.0,fixed,63.43494882292201,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04297014210123494,0.042959836803487646,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",146.3090317241709,131.89872250438418,163.2596580315753,131.89872250438418
1,5200.0,435444.56350088655,4012140.5169486874,True,19.397153854370117,18.56893539428711,20.327739715576172,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,152.64890726398548,True,72.0,fixed,59.03624346792648,0.009203884727313857,0.011609280195475732,"[0.009203884727313857, 0.015339807878856429]",0.04292349052185169,0.04294546029476945,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",146.90795678975564,132.40979631099086,163.95993921136733,132.40979631099086
1,5300.0,435538.9748746947,4012173.478934302,True,19.599618911743164,18.758075714111328,20.543380737304688,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,127.01156821934931,False,72.0,fixed,97.1250163489018,0.009203884727313857,0.031132166121308768,"[0.009203884727313857, 0.05215534678811186]",0.042677404720977814,0.04261119671181759,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",147.51047163644225,132.92345785585093,164.66495669084406,132.92345785585093
1,5400.0,435633.3862485029,4012206.4409199166,True,19.806591033935547,18.951000213623047,20.77120590209961,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,127.01156821934931,True,72.0,fixed,97.1250163489018,0.04788147145625597,0.04131423552671222,"[0.027611654181941572, 0.05215534678811186]",0.04237506657115866,0.042482510358644886,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.12131859005245,133.44372782352755,165.3802851321531,133.44372782352755
1,5500.0,435727.79762231105,4012239.4029055308,True,20.01262092590332,19.121044158935547,20.981353759765625,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,122.00470591327282,True,72.0,fixed,90.0,0.04659396956531655,0.04157960411812489,"[0.027611654181941572, 0.05215534678811186]",0.04222206707384347,0.04219536718104483,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",148.72392566936873,133.9564425255972,166.0865742763166,133.9564425255972
1,5600.0,435822.2089961192,4012272.3648911454,True,20.209243774414062,19.28000259399414,21.156009674072266,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,179.62148235407935,True,72.0,fixed,59.03624346792648,0.04561753575075232,0.043487918669497944,"[0.033747577333484144, 0.05215534678811186]",0.04218196116233757,0.04218384518695348,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",149.29380378973468,134.44079399183826,166.75509056639066,134.44079399183826
1,5700.0,435916.6203699274,4012305.32687676,True,20.42751121520996,19.4422607421875,21.385486602783203,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,86.38966591684553,True,72.0,fixed,59.03624346792648,0.04478331397450554,0.04290508634979925,"[0.033747577333484144, 0.05215534678811186]",0.042029112523898474,0.04188743433284671,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",149.92069399177112,134.97302754048948,167.49114015823014,134.97302754048948
1,5800.0,436011.03174373554,4012338.2888623746,True,20.64470672607422,19.62612533569336,21.611963272094727,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,84.77910906791132,True,72.0,fixed,61.38954033403478,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04169212104988208,0.041760552069456745,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",150.5391596864995,135.49756876291647,168.21791363999063,135.49756876291647
2,5000.0,435557.1062105332,4010697.120928203,True,19.730350494384766,18.882110595703125,20.68130111694336,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,163.4481939389688,True,72.0,fixed,63.43494882292201,0.03592381367429228,0.03897127369013475,"[0.033747577333484144, 0.04601942363656929]",0.042441332575405076,0.042505888216207925,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",147.89643362526226,133.2522008823392,165.11692165156043,133.2522008823392
