acquisition_id,instrument_id,family,variable,value,units,sensor_time_utc,offset_seconds,qc_flag,status,representative_eligible,tensor_pointer,sensor_vertical_context,observation_duration_seconds,interval_start_utc,interval_end_utc,effective_sensor_id,lon_lat_json,position_status,position_uncertain,footprint_minimum_m,footprint_center_m,roi_minimum_m,roi_center_m,roi_status
TSX-1_record_12,FRF:8m-array,waves,waveTm,8.280876,s,2021-10-12T11:00:00.000003+00:00,-436.6159965991974,1.0,retrieved,True,waves__8m-array__0a92a09b5a0f/variables/waveTm/1,"{""nominalDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 1024.0}}}",,,,Bottom Mounted Senso-Metric Pressure Sensors,null,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,True,,,,,not_evaluable
TSX-1_record_12,FRF:8m-array,waves,waveTm1,6.966786,s,2021-10-12T11:00:00.000003+00:00,-436.6159965991974,1.0,retrieved,True,waves__8m-array__0a92a09b5a0f/variables/waveTm1/1,"{""nominalDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 1024.0}}}",,,,Bottom Mounted Senso-Metric Pressure Sensors,null,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,True,,,,,not_evaluable
TSX-1_record_12,FRF:8m-array,waves,waveTm2,6.3897862,s,2021-10-12T11:00:00.000003+00:00,-436.6159965991974,1.0,retrieved,True,waves__8m-array__0a92a09b5a0f/variables/waveTm2/1,"{""nominalDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 1024.0}}}",,,,Bottom Mounted Senso-Metric Pressure Sensors,null,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,True,,,,,not_evaluable
TSX-1_record_12,FRF:8m-array,waves,wavePeakDirectionPeakFrequency,60.0,degree,2021-10-12T11:00:00.000003+00:00,-436.6159965991974,1.0,retrieved,True,waves__8m-array__0a92a09b5a0f/variables/wavePeakDirectionPeakFrequency/1,"{""nominalDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 1024.0}}}",,,,Bottom Mounted Senso-Metric Pressure Sensors,null,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,True,,,,,not_evaluable
TSX-1_record_12,FRF:8m-array,waves,waveMeanDirectionPeakFrequency,66.46923,degree,2021-10-12T11:00:00.000003+00:00,-436.6159965991974,1.0,retrieved,True,waves__8m-array__0a92a09b5a0f/variables/waveMeanDirectionPeakFrequency/1,"{""nominalDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 1024.0}}}",,,,Bottom Mounted Senso-Metric Pressure Sensors,null,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,True,,,,,not_evaluable
TSX-1_record_12,FRF:8m-array,waves,directionalPeakSpread,20.128492,deg,2021-10-12T11:00:00.000003+00:00,-436.6159965991974,1.0,retrieved,True,waves__8m-array__0a92a09b5a0f/variables/directionalPeakSpread/1,"{""nominalDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 8.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 1024.0}}}",,,,Bottom Mounted Senso-Metric Pressure Sensors,null,gross_nominal_coordinate_conflict_position_unresolved; conflicting_nominal_metadata,True,,,,,not_evaluable
TSX-1_record_12,FRF:waverider-26m,waves,waveHs,1.8816017,m,2021-10-12T11:29:59.999997+00:00,1363.3839967250824,1.0,retrieved,True,waves__waverider-26m__5f926ab212a7/variables/waveHs/3,"{""nominalDepth"": {""value"": 25.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 7.0}}}",1800,,,Datawell Waverider buoy (Mk III),"[-75.59216666666667, 36.25866666666667]",dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,True,13399.269406420955,16421.551292151304,,,not_evaluable
TSX-1_record_12,FRF:waverider-26m,waves,waveTp,11.080333,s,2021-10-12T11:29:59.999997+00:00,1363.3839967250824,1.0,retrieved,True,waves__waverider-26m__5f926ab212a7/variables/waveTp/3,"{""nominalDepth"": {""value"": 25.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 7.0}}}",1800,,,Datawell Waverider buoy (Mk III),"[-75.59216666666667, 36.25866666666667]",dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,True,13399.269406420955,16421.551292151304,,,not_evaluable
TSX-1_record_12,FRF:waverider-26m,waves,waveTm,7.3481846,s,2021-10-12T11:29:59.999997+00:00,1363.3839967250824,1.0,retrieved,True,waves__waverider-26m__5f926ab212a7/variables/waveTm/3,"{""nominalDepth"": {""value"": 25.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 7.0}}}",1800,,,Datawell Waverider buoy (Mk III),"[-75.59216666666667, 36.25866666666667]",dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,True,13399.269406420955,16421.551292151304,,,not_evaluable
TSX-1_record_12,FRF:waverider-26m,waves,waveTm1,5.8376107,s,2021-10-12T11:29:59.999997+00:00,1363.3839967250824,1.0,retrieved,True,waves__waverider-26m__5f926ab212a7/variables/waveTm1/3,"{""nominalDepth"": {""value"": 25.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""description"": ""Nominal bottom vertical location from NAVD88"", ""long_name"": ""Bottom Elevation (NAVD88)"", ""short_name"": ""Bottom Elevation""}}, ""gaugeDepth"": {""value"": 0.0, ""attributes"": {""_FillValue"": -999.0, ""units"": ""m"", ""long_name"": ""Sensor Depth Using Pressure, relative to mean water level"", ""short_name"": ""Gauge Depth"", ""_ChunkSizes"": 7.0}}}",1800,,,Datawell Waverider buoy (Mk III),"[-75.59216666666667, 36.25866666666667]",dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,True,13399.269406420955,16421.551292151304,,,not_evaluable
