transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi,z_p95,survey_points,implied_eta_awac,z_p50,z_p5,implied_eta_wr17
0,400.0,454.48301421696146,3877.5103204646293,83.54738583865658,91.23313737731917,67.61986494804033,False,6.54166797381647,9.718758839372253,5.324318957439244,7.9788304253880895,9.718758839372253,6.54166797381647,,,,,,
0,450.0,504.47082073052223,3879.6413835868602,95.07601314665045,94.48496687922487,68.19859051364803,False,7.052516077016109,10.550224755399148,5.729826328171036,8.625091778578895,10.550224755399148,7.052516077016109,,,,,,
0,500.0,554.4587322765652,3881.7721501502824,95.07601314665045,96.3822629653164,68.19859051364803,False,7.361530616709727,11.059912892196072,5.974344605727729,9.017970613294501,11.059912892196072,7.361530616709727,,,,,,
0,550.0,604.4467488477761,3883.902620148997,104.24045538494197,98.68798842691515,75.25643716352906,False,7.748213052447326,11.705242739853423,6.279487731666617,9.51173646750261,11.705242739853423,7.748213052447326,,,,,,
0,600.0,654.4348704407563,3886.032793584948,103.97144730968249,99.59098224698134,66.03751102542165,False,7.90304239282097,11.966075926494067,6.4014068189944995,9.710125076367428,11.966075926494067,7.90304239282097,,,,,,
0,650.0,704.4230970513438,3888.162670449543,95.07601314665045,115.09058638930406,68.19859051364803,False,10.880439917134968,17.30504600926972,8.71586442672762,13.609024270408565,17.30504600926972,10.880439917134968,,,,,,
0,750.0,804.3998653121982,3892.4215344615045,157.07442971594136,110.56050272248301,94.398705354995,False,9.944703912419435,15.553350467630493,7.994762969165117,12.365412577287568,15.553350467630493,9.944703912419435,,,,,,
0,850.0,904.3770535918269,3896.679212157678,79.53106530485718,110.89289993087381,68.74949449286665,False,10.011436336596347,15.675784745371955,8.046383141140533,12.45351297609753,15.675784745371955,10.011436336596347,,,,,,
0,900.0,954.3658052300215,3898.8076061288793,93.77147832230494,98.76023823005126,74.05460409907693,False,7.7605302966170315,11.725940959356594,6.28919234068072,9.52750456603304,11.725940959356594,7.7605302966170315,,,,,,
0,950.0,1004.3546618614496,3900.935703511822,113.19462638039174,100.71694716657125,68.70264595096604,False,8.098819392936674,12.297957752966408,6.555354179770056,9.961551563339201,12.297957752966408,8.098819392936674,,,,,,
0,1000.0,1054.343623479533,3903.0635043028537,108.54378291265117,103.89184751359798,57.99461679191643,False,8.667406086504855,13.275486298754194,7.001079790331641,10.695460684823507,13.275486298754194,8.667406086504855,,,,,,
0,1050.0,1104.3326900837812,3905.191008500478,108.54378291265117,104.2186652571352,57.99461679191643,False,8.727346730349375,13.379768858140775,7.047948073575168,10.773157971456618,13.379768858140775,8.727346730349375,,,,,,
0,1100.0,1154.321861666879,3907.3182160987926,95.40556703999094,101.4716744421336,63.4349488229219,False,8.231752515073492,12.524651547869919,6.659746972194205,10.132638594980122,12.524651547869919,8.231752515073492,,,,,,
0,1150.0,1204.3111382268748,3909.4451270959503,95.40556703999094,99.65485232068012,63.4349488229219,False,7.914066847533416,11.984702839835874,6.410082201139603,9.724266231672184,11.984702839835874,7.914066847533416,,,,,,
0,1200.0,1254.3005197581601,3911.571741487151,99.45967230538379,97.83803019922665,60.94539590092275,False,7.604230759621681,11.463949021713582,6.165975537755309,9.327599157086794,11.463949021713582,7.604230759621681,,,,,,
0,1250.0,1304.290006257323,3913.698059270195,99.45967230538379,99.23691679122842,60.94539590092275,False,7.8421036627879515,11.86324532259372,6.3534390486299195,9.631994818033643,11.86324532259372,7.8421036627879515,,,,,,
0,1300.0,1354.2795977197368,3915.8240804432785,99.45967230538379,102.0811887045871,60.94539590092275,False,8.34011675044851,12.710269004645605,6.7447628902956165,10.272327796144744,12.710269004645605,8.34011675044851,,,,,,
0,1350.0,1404.269294141499,3917.949805002704,102.39999999999988,109.08081169318147,89.99999999999969,False,9.651248350838268,15.019190713031856,7.767412907436531,11.97902594704765,15.019190713031856,9.651248350838268,,,,,,
0,1400.0,1454.2590955174776,3920.0752329410248,109.62692660678427,116.08043468177584,74.47588900324551,False,11.092628902456413,17.713360849885856,8.878557513776501,13.8935787249528,17.713360849885856,11.092628902456413,,,,,,
0,1450.0,1504.2490018445208,3922.200364260935,134.45778724835563,123.08005767037021,66.80140948635159,False,12.67695799564803,20.914387561414586,10.083440451488862,16.050607004657845,20.914387561414586,12.67695799564803,,,,,,
0,1500.0,1554.2390131192028,3924.32519895609,134.45778724835563,129.49161512004136,66.80140948635159,False,14.266894465046612,24.46416079883683,11.274535798329511,18.27914750583809,24.46416079883683,14.266894465046612,,,,,,
0,1550.0,1604.229129335192,3926.4497370235867,134.45778724835563,132.9902826965492,66.80140948635159,False,15.19576850045587,26.747284834335744,11.961727906964889,19.614914031250752,26.747284834335744,15.19576850045587,,,,,,
0,1600.0,1654.2193504905358,3928.5739784615757,134.45778724835563,130.06875219264558,66.80140948635159,False,14.417020891599954,24.82126053367028,11.386040825240052,18.493248216838193,24.82126053367028,14.417020891599954,,,,,,
0,1650.0,1704.2096765793808,3930.6979232645085,127.12026448932349,126.90468566602308,65.55604521958325,False,13.608500182761961,22.94579389037134,10.783544183189571,17.347906050831664,22.94579389037134,13.608500182761961,,,,,,
0,1700.0,1754.2001075980693,3932.8215714294356,119.85013472883753,124.84877622007241,69.44395478041629,False,13.101703977630095,21.825028501085438,10.403438792467297,16.639285692340465,21.825028501085438,13.101703977630095,,,,,,
0,1750.0,1804.190643541974,3934.944922954554,118.6374546152431,123.38127166826601,79.99202019855836,False,12.748570771739457,21.066196906195955,10.13748346563628,16.149534791843823,21.066196906195955,12.748570771739457,,,,,,
0,1800.0,1854.181284406947,3937.0679778354156,124.17824001860234,122.05133641746008,75.96375653207325,False,12.434583883705093,20.40555408227156,9.900259589332904,15.716740374850056,20.40555408227156,12.434583883705093,,,,,,
0,1850.0,1904.172030190792,3939.1907360694227,127.12026448932349,119.7900660542228,65.55604521958325,False,11.913565555761206,19.336336125282443,9.50507571380268,15.003910107253384,19.336336125282443,11.913565555761206,,,,,,
0,1900.0,1954.1628808862058,3941.313197654819,120.47058823529395,120.07821891396773,61.92751306414691,False,11.979074065218718,19.469006575498838,9.554867981525577,15.093178380404195,19.469006575498838,11.979074065218718,,,,,,
