transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,bluetopo_modern_fraction,bluetopo_old_fraction,cudem_fraction,dominant_source_class,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_sector_source,sar_max_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,pred_Ek_centroid_k_all,pred_Ek_centroid_k_quantile,pred_Ek_centroid_k_mc00,pred_Ek_centroid_k_mc01,pred_Ek_centroid_k_mc02,pred_Ek_centroid_k_mc03,pred_Ek_centroid_k_mc04,pred_Ek_centroid_k_mc05,pred_Ek_centroid_k_mc06,pred_Ek_centroid_k_mc07,pred_Ek_centroid_k_mc08,pred_Ek_centroid_k_mc09,pred_Ek_centroid_k_mc10,pred_Ek_centroid_k_mc11,pred_Ek_centroid_k_mc12,pred_Ek_centroid_k_mc13,pred_Ek_centroid_k_mc14,pred_Ek_centroid_k_mc15,pred_Ek_centroid_k_mc16,pred_Ek_centroid_k_mc17,pred_Ek_centroid_k_mc18,pred_Ek_centroid_k_mc19,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
1,5000.0,435255.7407532702,4012074.592977458,True,19.010730743408203,18.261463165283203,19.80426788330078,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,163.4481939389688,True,63.43494882292201,sar,63.43494882292201,0.03615336932367781,0.03661494394321373,"[0.033747577333484144, 0.039883500485026716]",0.0432174787862062,0.04306331482658133,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.042969830758951146,0.042959288493389265,0.04297494135857176,0.043058840715949995,0.043059998437299345,0.042920782445040294,0.04304921573845737,0.0430153779269599,0.04298096169133426,0.042910664699418066,0.04329528534084133,0.04292698364397004,0.04284971843711171,0.04297316933609827,0.043051504286094895,0.043217958723100164,0.04325695823465658,0.042958697819231416,0.04289882546513526,0.042920782445040294,0.043002112369831966,0.04293548309425752,145.50727940418463,131.2138767962691,162.32301396613155,131.2138767962691
1,5100.0,435350.1521270784,4012107.5549630728,True,19.197525024414062,18.404590606689453,20.046913146972656,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,163.4481939389688,True,63.43494882292201,sar,63.43494882292201,0.03649972145822712,0.03873587198229106,"[0.033747577333484144, 0.04601942363656929]",0.042924933858194916,0.04294363562820675,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.042959836803487646,0.0429589815744641,0.043068177990311034,0.04298905962912853,0.043008276164053026,0.043025211137138655,0.042951462060797994,0.0429589815744641,0.042967441027338474,0.04293725853498424,0.04297986911242552,0.04286874741047084,0.04292470658193953,0.043037552819301786,0.042881024167476724,0.042908851483356734,0.042999398960419426,0.04302816110019228,0.04307446995416619,0.042916598861073324,0.04291950412771704,0.042951462060798,146.48515756286807,132.0489593492694,163.46565100083313,132.0489593492694
1,5200.0,435444.56350088655,4012140.5169486874,True,19.397153854370117,18.56893539428711,20.327739715576172,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,152.64890726398548,True,59.03624346792648,sar,59.03624346792648,0.03738814909619913,0.038969478265232324,"[0.033747577333484144, 0.04601942363656929]",0.042960145366251166,0.042958697819231416,"[0.04256796686382659, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.04294546029476945,0.042951462060798,0.042966801868676865,0.04283960929501467,0.04306425476578959,0.042959288493389265,0.04268301542291801,0.042881024167476724,0.04269796523568131,0.042987640852965116,0.042671965561310365,0.04300148317344645,0.042657449076453254,0.04295843470074293,0.04267196556131037,0.04268496539849584,0.04293671224552987,0.042881024167476724,0.04295962153307399,0.04269796523568132,0.04263296604975396,0.04732330730627208,146.6174446026685,132.16197343408973,163.62017732882683,132.16197343408973
1,5300.0,435538.9748746947,4012173.478934302,True,19.599618911743164,18.758075714111328,20.543380737304688,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,127.01156821934931,False,97.1250163489018,sar,97.1250163489018,0.012871468080011581,0.012451614265197345,"[0.009203884727313857, 0.015339807878856429]",0.042641705481281815,0.04259353321029135,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.208237891955476,"[0.20823789195547604, 0.20823789195547604]",0.04261119671181759,0.04260631638352373,0.04260631638352373,0.04250405099766469,0.042645965886939426,0.0428875461946361,0.04256796686382659,0.04247848465119994,0.04261996621256848,0.04259396653819754,0.04732330730627208,0.04260696637538301,0.042542400517361835,0.042580750037058974,0.042232408566476615,0.0425679668638266,0.04286170786576214,0.04265744907645326,0.04267023224968564,0.05253884198508327,0.04259353321029135,0.04761476365597035,147.6105236367986,133.00873743213324,164.78205028415024,133.00873743213324
1,5400.0,435633.3862485029,4012206.4409199166,True,19.806591033935547,18.951000213623047,20.77120590209961,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,127.01156821934931,True,97.1250163489018,sar,97.1250163489018,0.05033009709178662,0.04379135307039545,"[0.033747577333484144, 0.05215534678811186]",0.04211344474799649,0.04245096832915735,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.042482510358644886,0.042488623029970446,0.042541967189455646,0.04225790691733907,0.04218447166685519,0.042406495201943895,0.04221397129739145,0.0425018470022798,0.04288476724393341,0.04216849270031471,0.04228621529054148,0.05253884198508326,0.04225116648371977,0.04216849270031471,0.04248996784071377,0.042645965886939426,0.042488623029970446,0.04228034546609804,0.04225790691733907,0.04252759894835592,0.04246396816634282,0.04218447166685519,148.26894156599758,133.56886638191955,165.55383268970186,133.56886638191955
1,5500.0,435727.79762231105,4012239.4029055308,True,20.01262092590332,19.121044158935547,20.981353759765625,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,122.00470591327282,True,90.0,sar,90.0,0.04732662002429514,0.041351105422004465,"[0.027611654181941572, 0.05215534678811186]",0.042238281114304124,0.04219981147473404,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.04219536718104483,0.042200450633395656,0.042167040066992845,0.04215999325002723,0.042169131858976326,0.04215999325002723,0.042158905320390426,0.0422128787184827,0.04225751837104021,0.04206853125846848,0.042232408566476615,0.04218447166685519,0.042114745267405836,0.04219263113913117,0.04219922148212332,0.04220895008368315,0.042160992369081426,0.04225116648371977,0.04228257508933624,0.04217026814104144,0.04222360382981145,0.04220895008368315,148.47742990971855,133.74698181663618,165.7973669998833,133.74698181663618
1,5600.0,435822.2089961192,4012272.3648911454,True,20.209243774414062,19.28000259399414,21.156009674072266,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,179.62148235407935,True,59.03624346792648,sar,59.03624346792648,0.04057741951890269,0.04199161662081249,"[0.033747577333484144, 0.05215534678811186]",0.04202552367625731,0.042114033773533906,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.04218384518695348,0.04218447166685519,0.04214533950389891,0.04211679604386024,0.04213845224321861,0.04214022222105079,0.04223449277950363,0.042146874098524655,0.04210777262746091,0.04218447166685518,0.04229525916820249,0.04256796686382659,0.042232408566476615,0.042146874098524655,0.04211679604386024,0.042176952153189076,0.04188315401209194,0.04227651051412832,0.04230719012988604,0.042160992369081426,0.04215112425842289,0.04218447166685519,149.44990119147994,134.57337994123634,166.93830117762744,134.57337994123634
1,5700.0,435916.6203699274,4012305.32687676,True,20.42751121520996,19.4422607421875,21.385486602783203,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,86.38966591684553,True,59.03624346792648,sar,59.03624346792648,0.036408764791330685,0.041983221756562675,"[0.033747577333484144, 0.05215534678811186]",0.0421137556463879,0.04216849270031471,"[0.041800976469883774, 0.04256796686382659]",0.20823789195547604,0.20823789195547607,"[0.20823789195547604, 0.20823789195547604]",0.04188743433284671,0.04189197533018208,0.042123112435339755,0.04182654281634854,0.04194397467892396,0.04215999325002723,0.04186489233604567,0.04189354427604929,0.041917975004553014,0.04216849270031471,0.04181375964311615,0.04190324185574282,0.04214367430547525,0.041941591375439964,0.04186489233604568,0.0417881932966514,0.04207839852726736,0.042146874098524655,0.04207839852726736,0.041893544276049285,0.04186489233604568,0.042114033773533906,149.672514357079,134.7623903554293,167.1996668907533,134.7623903554293
1,5800.0,436011.03174373554,4012338.2888623746,True,20.64470672607422,19.62612533569336,21.611963272094727,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,84.77910906791132,True,61.38954033403478,sar,61.38954033403478,0.009203884727313857,0.009203884727313857,"[0.009203884727313857, 0.009203884727313857]",0.04103398607594094,0.04171149425725711,"[0.04103398607594094, 0.04256796686382659]",0.20823789195547604,0.20823789195547604,"[0.20823789195547604, 0.20823789195547604]",0.041760552069456745,0.04174984377695425,0.041800976469883774,0.0416951846914089,0.04168592791079235,0.041353565406750455,0.04190324185574281,0.04177497679551283,0.041813759643116157,0.042067755737342144,0.04174984377695425,0.04178752049806021,0.04140150230637188,0.041709977609585475,0.04148139713907426,0.041800976469883774,0.041865975655811134,0.04180097646988378,0.041839325989580914,0.04181375964311615,0.041890458682510436,0.041813976307069255,150.63501812920543,135.5787382826155,168.33070805588193,135.5787382826155
2,5000.0,435557.1062105332,4010697.120928203,True,19.730350494384766,18.882110595703125,20.68130111694336,0.300119549036026,0.0,1.0,0.0,0.0,0.0,4,2001.0,163.4481939389688,True,63.43494882292201,sar,63.43494882292201,0.03606496278705143,0.03867452100547866,"[0.033747577333484144, 0.04601942363656929]",0.042651270769438886,0.042607638780754666,"[0.041800976469883774, 0.04333495725776941]",0.20823789195547604,0.20823789195547607,"[0.20823789195547604, 0.20823789195547604]",0.042505888216207925,0.04250296767789924,0.0429181146523657,0.042528294946898505,0.04256796686382659,0.04215251373377423,0.04256796686382659,0.04250405099766469,0.04229632443263851,0.04252896735227017,0.04284687246162398,0.04254196718945565,0.04256796686382659,0.042554967026641126,0.0425679668638266,0.04250405099766469,0.04246217508535172,0.042542400517361835,0.04251683417089708,0.042645965886939426,0.04255496702664112,0.04247696800352829,147.79763863263045,133.16806210008818,165.00122100123536,133.16806210008818
