acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,original_sample_index,position_id,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation,duplicate_status,spectral_status,spectral_valid_bin_fraction
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm2,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,4.91854,waves__waverider-17m__4e2d54ee6b11/variables/waveTm2/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm2,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,4.91854,waves__waverider-17m__4e2d54ee6b11/variables/waveTm2/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm2,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,s,5.150049,waves__waverider-17m__4e2d54ee6b11/variables/waveTm2/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveTm2,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,s,4.91854,waves__waverider-17m__4e2d54ee6b11/variables/waveTm2/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Period for the 2nd moment mean of the energy density spectrum,unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,65.0,waves__waverider-17m__4e2d54ee6b11/variables/wavePeakDirectionPeakFrequency/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,wavePeakDirectionPeakFrequency,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,65.0,waves__waverider-17m__4e2d54ee6b11/variables/wavePeakDirectionPeakFrequency/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,wavePeakDirectionPeakFrequency,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,degree,85.0,waves__waverider-17m__4e2d54ee6b11/variables/wavePeakDirectionPeakFrequency/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,wavePeakDirectionPeakFrequency,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,65.0,waves__waverider-17m__4e2d54ee6b11/variables/wavePeakDirectionPeakFrequency/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,Wave direction is from true north (MET convention),unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirection,nearest_context,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,59.25528,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirection/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirection,previous_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,59.25528,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirection/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirection,next_qc,2021-10-13T23:29:59.999997+00:00,1634167799.9999967,seconds since 1970-01-01 00:00:00,1784.3309967517853,,1800,,,degree,60.836025,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirection/5,617,position_5bce09b36faf58300d314da1,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
TDX-1_record_11,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waveMeanDirection,nearest_qc,2021-10-13T23:00:00.000003+00:00,1634166000.0000033,seconds since 1970-01-01 00:00:00,-15.668996572494507,,1800,,,degree,59.25528,waves__waverider-17m__4e2d54ee6b11/variables/waveMeanDirection/4,616,position_8be944c3806ef632394925d3,retrieved,True,True,1.0,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique,,
