run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction
near,0,550.0,430363.5371974852,4012375.416963781,7.330689907073975,8m-array,8.0,85.62744812967982,85.33333333333324,True,114.18883565798146,-0.25012416812663496,-0.25269985597432876,0.15355214476585388,0.0
near,0,600.0,430412.03922742244,4012387.564107148,7.725435733795166,8m-array,8.0,86.47802287834443,85.33333333333324,True,105.35980035215454,-0.17921235054261364,-0.19007692641676277,0.15355214476585388,0.0
near,0,650.0,430460.54125735967,4012399.7112505143,8.098377227783203,8m-array,8.0,92.1513226621499,93.09090909090897,True,101.64059507115581,-0.09336104734887418,-0.0841168430218403,0.15355214476585388,0.0
near,0,700.0,430509.04328729695,4012411.858393881,8.468424797058105,8m-array,8.0,93.39183141216763,93.09090909090897,True,107.89200988176452,-0.13439529475340373,-0.13718440139427956,0.15355214476585388,0.0
near,0,750.0,430557.5453172342,4012424.0055372473,8.783626556396484,8m-array,8.0,88.4620474654156,102.39999999999988,True,119.64879184758337,-0.260652396907572,-0.14416185555434735,0.15355214476585388,0.0
near,0,800.0,430606.0473471714,4012436.152680614,9.111838340759277,8m-array,8.0,115.65352981088942,82.78549334573489,True,113.8867475254639,0.015513501999260049,-0.273089317725709,0.23201750218868256,0.0
near,0,850.0,430654.54937710863,4012448.299823981,9.438541412353516,8m-array,8.0,146.31052767450814,127.12026448932349,True,124.63582754352109,0.17390425015165523,0.019933569622546,0.23201750218868256,0.0
near,0,900.0,430703.05140704586,4012460.446967347,9.742640495300293,8m-array,8.0,118.11573871274229,127.12026448932349,True,104.28562705939218,0.13261761992833065,0.2189624598692459,0.23201750218868256,0.0
near,0,950.0,430751.55343698314,4012472.594110714,10.046372413635254,awac-11m,11.9,115.77533919920297,119.85013472883753,True,101.13444017662935,0.14476669863405167,0.18505757800727007,0.23201750218868256,0.0
near,0,1000.0,430800.05546692037,4012484.74125408,10.35323429107666,awac-11m,11.9,124.2325471931445,119.85013472883753,True,97.85807296301219,0.2695176129219423,0.22473426156815668,0.23201750218868256,0.0
near,0,1050.0,430848.5574968576,4012496.888397447,10.67403793334961,awac-11m,11.9,124.88525874688777,124.17824001860234,True,103.44312322589835,0.20728430128858588,0.2004494464791322,0.23201750218868256,0.0
near,0,1100.0,430897.0595267948,4012509.035540813,11.023001670837402,awac-11m,11.9,125.13266128867093,127.01156821934933,True,104.94636901426078,0.19234864878142766,0.21025214509413082,0.300119549036026,0.0038109756097560975
near,0,1150.0,430945.56155673205,4012521.18268418,11.388751983642578,awac-11m,11.9,115.74348742135182,127.01156821934933,True,107.73850239025778,0.0743001327612467,0.1788874487903993,0.300119549036026,0.022865853658536585
near,0,1200.0,430994.06358666933,4012533.329827546,11.790716171264648,awac-11m,11.9,113.71726906908577,127.01156821934933,True,109.97977342623234,0.03398348192961431,0.15486297400440519,0.300119549036026,0.07360793287566743
