position_id,instrument_id,family,product,sensor_time_utc,original_sample_index,effective_sensor_id,deployment_status,deployment_start,deployment_end,position_status,lon_lat_json,position_uncertain,position_discrepancy_m,footprint_status,footprint_center_m,footprint_minimum_m,footprint_inside,footprint_bearing_deg,footprint_method,footprint_center_definition,roi_status,roi_center_m,roi_minimum_m,roi_inside,roi_bearing_deg
position_8be944c3806ef632394925d3,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,2021-10-13T23:00:00.000003+00:00,616,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-22T18:24:00Z,,dated_product_global_nominal_metadata,"[-75.71405, 36.19988333]",False,0.0,computed_conditioned_on_historical_position,2249.296713148868,0.0,True,191.00734308221212,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_8ab2cd9da4a7c4fb6be74309,FRF:8m-array,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,2021-10-13T23:00:00.000003+00:00,311,Bottom Mounted Senso-Metric Pressure Sensors,within_supplied_bounds_not_complete_history,1991-01-01T00:00:00Z,,dated_product_global_nominal_metadata,"[-75.7428906, 36.1872375]",False,0.0,computed_conditioned_on_historical_position,2309.6073851865826,0.0,True,110.38357074281875,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_f52d839deb4f5b67d066ff9b,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,2021-10-13T23:00:00.000003+00:00,574,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-23T07:55:00Z,,dated_product_global_nominal_metadata,"[-75.59131666, 36.25768333]",False,0.0,computed_conditioned_on_historical_position,14344.725557900916,6928.628007921105,False,233.0940313284229,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_21401612f26cf336ea2911b0,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,2021-10-13T23:00:00.500001+00:00,307,Nortek AWAC,within_supplied_bounds_not_complete_history,2015-09-18T22:00:00Z,,dated_product_global_nominal_metadata,"[-75.7393953, 36.1896111]",False,0.0,computed_conditioned_on_historical_position,2136.5740515400753,0.0,True,119.98791420349347,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
