select;recordNum;isOrderable;productType;startdate;enddate;EOAcquisitionPlatform;sensorOperationalMode;platformSerialIdentifier;instrumentShortName;swathIdentifier;AntennaReceiveConfiguration;RelOrbit;antennaLookDirection;minimumIncidenceAngle;incidenceAngle;maximumIncidenceAngle;orbitDirection;polarisationMode;polarisationChannels;orbitNumber;Quality;DatatakeFileNumber;id;footprint
true;11;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2021-10-13T23:00:15.669Z;2021-10-13T23:00:16.101Z;TSM;ST;TDX-1;SAR;spot_053;SRA;150;RIGHT;40.1158501205857;40.3617578951258;40.6049666002169;ASCENDING;S;HH;62745;AUTO_APPROVED;9732;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000589635302831/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.71619622454091,36.1732784932615 -75.72194184766971,36.2003910366816 -75.78272395629978,36.1920047521163 -75.77695646885428,36.1648919540011 -75.71619622454091,36.1732784932615
true;12;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2021-10-12T11:07:16.616Z;2021-10-12T11:07:17.048Z;TSM;ST;TSX-1;SAR;spot_059;SRA;127;RIGHT;42.4151063517768;42.6406035618092;42.8638214058054;DESCENDING;S;HH;79452;AUTO_APPROVED;7504;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000589635259468/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.77487236912111,36.1992677362442 -75.78049605591627,36.1721431340831 -75.72149718857452,36.164173236129 -75.71585232897257,36.1912982731955 -75.77487236912111,36.1992677362442
true;13;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2021-04-20T23:00:07.144Z;2021-04-20T23:00:07.576Z;TSM;ST;TDX-1;SAR;spot_053;SRA;150;RIGHT;40.1137357569687;40.3596417488389;40.6028487426917;ASCENDING;S;HH;60073;AUTO_APPROVED;7407;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000573568201727/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.71709787975078,36.1730519478018 -75.7228435201938,36.2001707532128 -75.78359754028082,36.1917892762629 -75.77783005165952,36.1646702238253 -75.71709787975078,36.1730519478018
true;14;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2021-01-21T11:07:06.945Z;2021-01-21T11:07:07.377Z;TSM;ST;TSX-1;SAR;spot_059;SRA;127;RIGHT;42.4164076947433;42.641895249304;42.8651036204471;DESCENDING;S;HH;75444;AUTO_APPROVED;5045;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563120192176/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.77637480477551,36.1983416776692 -75.78199838273889,36.1712170145593 -75.72294272784978,36.1632406374322 -75.71729794663162,36.1903657345351 -75.77637480477551,36.1983416776692
true;15;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2020-12-09T23:00:08.194Z;2020-12-09T23:00:08.625Z;TSM;ST;TDX-1;SAR;spot_053;SRA;150;RIGHT;40.1108602510077;40.3578317584807;40.6000774186261;ASCENDING;S;HH;58069;LIMITED_APPROVAL;7902;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563119448418/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.70628656930501,36.1745441871039 -75.71202365030598,36.2016378679553 -75.78262703858672,36.1919008782773 -75.77686458476398,36.1648069063911 -75.70628656930501,36.1745441871039
true;16;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2020-11-12T22:51:36.840Z;2020-11-12T22:51:37.232Z;TSM;ST;TDX-1;SAR;spot_015;SRA;74;RIGHT;22.7667616404044;23.2470244507789;23.7139229605357;ASCENDING;S;HH;57659;LIMITED_APPROVAL;5732;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563118981344/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.6984556899938,36.1768580203392 -75.70438333943162,36.2014306782112 -75.79564964486042,36.1871980223372 -75.78968930755792,36.1626270495714 -75.6984556899938,36.1768580203392
true;17;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2020-11-10T11:15:43.012Z;2020-11-10T11:15:43.412Z;TSM;ST;TSX-1;SAR;spot_021;SRA;36;RIGHT;25.9907847930918;26.4098777833423;26.820333854553;DESCENDING;S;HH;74351;AUTO_APPROVED;871;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000563118922512/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.78551581282721,36.2003831933635 -75.79145411650768,36.1752646752993 -75.71304098599342,36.1632654270826 -75.70707473994639,36.1883828281067 -75.78551581282721,36.2003831933635
true;18;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2020-10-08T11:15:42.507Z;2020-10-08T11:15:42.907Z;TSM;ST;TSX-1;SAR;spot_021;SRA;36;RIGHT;25.9922824658818;26.4113485339008;26.8217790036496;DESCENDING;S;HH;73850;AUTO_APPROVED;11064;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000555326501192/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.78569860919418,36.2002162251624 -75.79163715262132,36.1750976790838 -75.71322843286339,36.1630985204569 -75.70726194978607,36.1882159496778 -75.78569860919418,36.2002162251624
true;19;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2020-09-11T11:07:08.713Z;2020-09-11T11:07:09.145Z;TSM;ST;TSX-1;SAR;spot_059;SRA;127;RIGHT;42.4131145045203;42.6386518998004;42.861909106935;DESCENDING;S;HH;73440;AUTO_APPROVED;12861;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000555326017173/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.77466306213103,36.1998353907733 -75.78028708587368,36.1727088304417 -75.72125619647,36.1647351210562 -75.71561098417868,36.191862113777 -75.77466306213103,36.1998353907733
true;20;available_false.png;TSX-1.SAR.L1b-Staring-Spotlight;2020-09-07T22:51:35.137Z;2020-09-07T22:51:35.528Z;TSM;ST;TDX-1;SAR;spot_015;SRA;74;RIGHT;22.7680396973697;23.24757230338;23.7150557953521;ASCENDING;S;HH;56657;AUTO_APPROVED;12720;TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000555325955346/dims_nz_pl_dfd_//TSX-1.SAR.L0;-75.70406024790651,36.1768182720709 -75.70998939641157,36.2013840028082 -75.7954454869369,36.1880549280277 -75.78948569889099,36.1634907838074 -75.70406024790651,36.1768182720709
=
