formula,bin_width_origin,valid_bin_fraction,status,valid_bin_count,valid_bandwidth_hz,m0_m2,m1,m2,Hm0_m,Tm01_s,Tm02_s,Tp_bin_s,peak_bin,partial_integral,swell_partitions,directional_reconstruction,instrument_id,offset_seconds,product,tensor_pointer,integral_qc,published_Hs_m,Hm0_minus_published_Hs_m,peak_band_caveat
mn=sum_valid(E(f)*df*f**n); Hm0=4sqrt(m0); Tm01=m0/m1; Tm02=sqrt(m0/m2),reconstructed_midpoint_edges,1.0,complete_spectrum,62,0.46499999999999997,0.07675039748475002,0.013728358675738123,0.0030807310013734354,1.108154483705228,5.590646289012654,4.991297166747233,9.30232558139535,9,False,not inferred,none,FRF:waverider-17m,-15.668996572494507,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,waves__waverider-17m__4e2d54ee6b11/variables/waveEnergyDensity/12,"see_variable_qc_association; spectrum summary is diagnostic, not representative by default",1.1081544,8.370522786016465e-08,Published peak-frequency mean/mode and spread retained separately; all-frequency mean direction NOT assigned to Tp
mn=sum_valid(E(f)*df*f**n); Hm0=4sqrt(m0); Tm01=m0/m1; Tm02=sqrt(m0/m2),reconstructed_midpoint_edges,1.0,complete_spectrum,62,0.46499999999999997,0.06741004108350002,0.009784340506149377,0.0016577897133862453,1.0385377495960366,6.8895845398198645,6.376723347759322,10.81081081081081,7,False,not inferred,none,FRF:8m-array,-15.668996572494507,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,waves__8m-array__0a92a09b5a0f/variables/waveEnergyDensity/6,"see_variable_qc_association; spectrum summary is diagnostic, not representative by default",1.0385377,4.95960366109216e-08,Published peak-frequency mean/mode and spread retained separately; all-frequency mean direction NOT assigned to Tp
mn=sum_valid(E(f)*df*f**n); Hm0=4sqrt(m0); Tm01=m0/m1; Tm02=sqrt(m0/m2),reconstructed_midpoint_edges,1.0,complete_spectrum,62,0.46499999999999997,0.1059284200725,0.0176932441346625,0.003774641648762531,1.3018658614311998,5.9869416409044875,5.297468508140047,10.81081081081081,7,False,not inferred,none,FRF:waverider-26m,-15.668996572494507,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,waves__waverider-26m__5f926ab212a7/variables/waveEnergyDensity/10,"see_variable_qc_association; spectrum summary is diagnostic, not representative by default",1.3018659,-3.8568800153626626e-08,Published peak-frequency mean/mode and spread retained separately; all-frequency mean direction NOT assigned to Tp
mn=sum_valid(E(f)*df*f**n); Hm0=4sqrt(m0); Tm01=m0/m1; Tm02=sqrt(m0/m2),reconstructed_midpoint_edges,1.0,complete_spectrum,62,0.46499999999999997,0.07570892190749998,0.014055203002537498,0.003276074705041781,1.1006101719137433,5.386540620852765,4.8072491651862785,8.16326530612245,11,False,not inferred,none,FRF:awac-11m,-15.168999195098877,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waves__awac-11m__ac63f1b339a0/variables/waveEnergyDensity/6,"see_variable_qc_association; spectrum summary is diagnostic, not representative by default",1.1006101,7.191374340465018e-08,Published peak-frequency mean/mode and spread retained separately; all-frequency mean direction NOT assigned to Tp
