acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation
COSMO_1941935,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202106.nc,waveHs,nearest_context,2021-06-09T18:30:00.000003+00:00,1623263400.0000033,seconds since 1970-01-01 00:00:00,-1744011.911996603,,1800,,,m,0.47502896,waves__waverider-17m/variables/waveHs/412,qc_unknown,False,False,,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz
COSMO_1941935,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202106.nc,waveTp,nearest_context,2021-06-09T18:30:00.000003+00:00,1623263400.0000033,seconds since 1970-01-01 00:00:00,-1744011.911996603,,1800,,,s,8.213552,waves__waverider-17m/variables/waveTp/412,qc_unknown,False,False,,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds
COSMO_1941935,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202106.nc,waveTm,nearest_context,2021-06-09T18:30:00.000003+00:00,1623263400.0000033,seconds since 1970-01-01 00:00:00,-1744011.911996603,,1800,,,s,7.0499377,waves__waverider-17m/variables/waveTm/412,qc_unknown,False,False,,1.0,Period for the mean of the energy density spectrum
COSMO_1941935,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202106.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-06-09T18:30:00.000003+00:00,1623263400.0000033,seconds since 1970-01-01 00:00:00,-1744011.911996603,,1800,,,degree,120.0,waves__waverider-17m/variables/wavePeakDirectionPeakFrequency/412,qc_unknown,False,False,,1.0,Wave direction is from true north (MET convention)
COSMO_1941935,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202106.nc,waveMeanDirection,nearest_context,2021-06-09T18:30:00.000003+00:00,1623263400.0000033,seconds since 1970-01-01 00:00:00,-1744011.911996603,,1800,,,degree,124.82897,waves__waverider-17m/variables/waveMeanDirection/412,qc_unknown,False,False,,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1"
COSMO_1941935,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202106.nc,directionalPeakSpread,nearest_context,2021-06-09T18:30:00.000003+00:00,1623263400.0000033,seconds since 1970-01-01 00:00:00,-1744011.911996603,,1800,,,deg,23.318367,waves__waverider-17m/variables/directionalPeakSpread/412,qc_unknown,False,False,,1.0,Directional spread at peak frequency with cos(2*theta) circular moments
COSMO_1941935,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202106.nc,waveHs,nearest_context,2021-06-29T23:00:00.500001+00:00,1625007600.5000007,seconds since 1970-01-01 00:00:00,188.58800077438354,,,,,m,0.58215046,waves__awac-11m/variables/waveHs/412,qc_unknown,True,False,,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz
COSMO_1941935,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202106.nc,waveTp,nearest_context,2021-06-29T23:00:00.500001+00:00,1625007600.5000007,seconds since 1970-01-01 00:00:00,188.58800077438354,,,,,s,7.5901327,waves__awac-11m/variables/waveTp/412,qc_unknown,True,False,,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds
COSMO_1941935,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202106.nc,waveTm,nearest_context,2021-06-29T23:00:00.500001+00:00,1625007600.5000007,seconds since 1970-01-01 00:00:00,188.58800077438354,,,,,s,6.1176457,waves__awac-11m/variables/waveTm/412,qc_unknown,True,False,,1.0,Period for the mean of the energy density spectrum
COSMO_1941935,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202106.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-06-29T23:00:00.500001+00:00,1625007600.5000007,seconds since 1970-01-01 00:00:00,188.58800077438354,,,,,degree,100.0,waves__awac-11m/variables/wavePeakDirectionPeakFrequency/412,qc_unknown,True,False,,1.0,Wave direction is from true north (MET convention)
