instrument_id,family,position_status,lon_lat_json,position_uncertain,position_discrepancy_m,footprint_status,footprint_center_m,footprint_minimum_m,footprint_inside,footprint_bearing_deg,footprint_method,footprint_center_definition,roi_status,roi_center_m,roi_minimum_m,roi_inside,roi_bearing_deg
FRF:waverider-17m,waves,dated_product_global_nominal_metadata,"[-75.71405, 36.19988333]",False,0.0,computed_conditioned_on_historical_position,4883.334218876639,0.0,True,222.888601220638,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
FRF:awac-11m,waves,dated_product_global_nominal_metadata,"[-75.7393953, 36.1896111]",False,0.0,computed_conditioned_on_historical_position,2652.3692251915727,0.0,True,203.1580953201166,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
FRF:8m-array,waves,dated_product_global_nominal_metadata,"[-75.7428906, 36.1872375]",False,0.0,computed_conditioned_on_historical_position,2294.0826790230853,0.0,True,198.51823006833746,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
FRF:waverider-26m,waves,dated_product_global_nominal_metadata,"[-75.59131666, 36.25768333]",False,0.0,computed_conditioned_on_historical_position,17492.655270352283,10729.138494259074,False,235.2115857964062,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
FRF:awac-11m,currents,dated_product_coordinates_nominal_not_proven_measured,"[-75.739155, 36.189244]",False,0.05620565015254986,computed_conditioned_on_historical_position,2623.6629784063275,0.0,True,203.94208281837996,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
