acquisition_key,bin_index,frequency_hz,band_width_hz,spectral_wave_density,valid_spectral_wave_density,mean_wave_dir,valid_mean_wave_dir,principal_wave_dir,valid_principal_wave_dir,wave_spectrum_r1,valid_wave_spectrum_r1,wave_spectrum_r2,valid_wave_spectrum_r2,valid_joint
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,32,0.185,0.0050000000000000044,0.216,True,152.0,True,148.0,True,0.93,True,0.79,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,33,0.19,0.0050000000000000044,0.237,True,152.0,True,152.0,True,0.93,True,0.79,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,34,0.195,0.0050000000000000044,0.186,True,144.0,True,140.0,True,0.91,True,0.69,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,35,0.2,0.0050000000000000044,0.189,True,152.0,True,148.0,True,0.92,True,0.73,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,36,0.205,0.004999999999999977,0.222,True,156.0,True,152.0,True,0.92,True,0.74,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,37,0.21,0.0050000000000000044,0.252,True,152.0,True,152.0,True,0.93,True,0.78,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,38,0.215,0.0050000000000000044,0.3,True,148.0,True,148.0,True,0.95,True,0.84,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,39,0.22,0.0050000000000000044,0.195,True,152.0,True,152.0,True,0.91,True,0.7,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,40,0.225,0.0050000000000000044,0.165,True,156.0,True,152.0,True,0.86,True,0.55,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,41,0.23,0.004999999999999977,0.186,True,152.0,True,152.0,True,0.91,True,0.71,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,42,0.235,0.0050000000000000044,0.195,True,160.0,True,156.0,True,0.94,True,0.81,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,43,0.24,0.0050000000000000044,0.135,True,156.0,True,156.0,True,0.91,True,0.73,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,44,0.245,0.005500000000000005,0.102,True,152.0,True,148.0,True,0.93,True,0.8,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,45,0.251,0.007500000000000007,0.123,True,156.0,True,152.0,True,0.92,True,0.76,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,46,0.26,0.009500000000000008,0.066,True,156.0,True,156.0,True,0.82,True,0.41,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,47,0.27,0.010000000000000009,0.063,True,156.0,True,156.0,True,0.88,True,0.63,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,48,0.28,0.010000000000000009,0.081,True,164.0,True,160.0,True,0.87,True,0.59,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,49,0.29,0.009999999999999953,0.099,True,156.0,True,156.0,True,0.9,True,0.67,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,50,0.3,0.010000000000000009,0.105,True,152.0,True,152.0,True,0.91,True,0.71,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,51,0.31,0.010000000000000009,0.123,True,144.0,True,144.0,True,0.92,True,0.74,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,52,0.32,0.010000000000000009,0.084,True,152.0,True,148.0,True,0.91,True,0.73,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,53,0.33,0.010000000000000009,0.048,True,156.0,True,156.0,True,0.91,True,0.69,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,54,0.34,0.009999999999999953,0.087,True,164.0,True,160.0,True,0.91,True,0.69,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,55,0.35,0.010000000000000009,0.063,True,156.0,True,152.0,True,0.91,True,0.72,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,56,0.36,0.010000000000000009,0.051,True,152.0,True,148.0,True,0.88,True,0.62,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,57,0.37,0.010000000000000009,0.039,True,144.0,True,140.0,True,0.87,True,0.61,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,58,0.38,0.010000000000000009,0.042,True,148.0,True,144.0,True,0.84,True,0.48,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,59,0.39,0.010000000000000009,0.039,True,156.0,True,156.0,True,0.87,True,0.58,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,60,0.4,0.010000000000000009,0.021,True,144.0,True,140.0,True,0.79,True,0.38,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,61,0.41,0.009999999999999953,0.033,True,156.0,True,156.0,True,0.86,True,0.55,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,62,0.42,0.010000000000000009,0.021,True,164.0,True,172.0,True,0.8,True,0.38,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,63,0.43,0.010000000000000009,0.024,True,156.0,True,156.0,True,0.89,True,0.71,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,64,0.44,0.010000000000000009,0.015,True,144.0,True,140.0,True,0.82,True,0.48,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,65,0.45,0.010000000000000009,0.015,True,144.0,True,144.0,True,0.8,True,0.38,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,66,0.46,0.009999999999999953,0.018,True,148.0,True,136.0,True,0.78,True,0.39,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,67,0.47,0.010000000000000009,0.015,True,164.0,True,172.0,True,0.84,True,0.58,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,68,0.48,0.010000000000000009,0.018,True,160.0,True,160.0,True,0.83,True,0.51,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,69,0.49,0.010000000000000009,0.015,True,148.0,True,144.0,True,0.82,True,0.48,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,70,0.5,0.010000000000000009,0.009,True,160.0,True,172.0,True,0.74,True,0.34,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,71,0.51,0.010000000000000009,0.012,True,160.0,True,160.0,True,0.83,True,0.5,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,72,0.52,0.010000000000000009,0.012,True,148.0,True,156.0,True,0.75,True,0.37,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,73,0.53,0.010000000000000009,0.012,True,140.0,True,140.0,True,0.77,True,0.39,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,74,0.54,0.010000000000000009,0.006,True,160.0,True,168.0,True,0.75,True,0.43,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,75,0.55,0.010000000000000009,0.009,True,148.0,True,152.0,True,0.72,True,0.31,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,76,0.56,0.009999999999999898,0.009,True,144.0,True,136.0,True,0.79,True,0.53,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,77,0.57,0.01100000000000001,0.009,True,148.0,True,144.0,True,0.77,True,0.37,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,78,0.582,0.015000000000000013,0.009,True,144.0,True,144.0,True,0.79,True,0.61,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,79,0.6,0.019000000000000017,0.006,True,144.0,True,144.0,True,0.75,True,0.6,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,80,0.62,0.020000000000000018,0.003,True,144.0,True,152.0,True,0.71,True,0.46,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,81,0.64,0.020000000000000018,0.003,True,160.0,True,168.0,True,0.68,True,0.34,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,82,0.66,0.020000000000000018,0.003,True,136.0,True,124.0,True,0.69,True,0.54,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,83,0.68,0.019999999999999907,0.003,True,136.0,True,124.0,True,0.6,True,0.49,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,84,0.7,0.020000000000000018,0.0,True,128.0,True,128.0,True,0.57,True,0.39,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,85,0.72,0.020000000000000018,0.0,True,136.0,True,124.0,True,0.61,True,0.44,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,86,0.74,0.020000000000000018,0.0,True,132.0,True,116.0,True,0.45,True,0.51,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,87,0.76,0.020000000000000018,0.0,True,124.0,True,120.0,True,0.54,True,0.43,True,True
collect:2e7cb37a-42d6-4cfb-9e6e-d70de77d79dd,88,0.78,0.020000000000000018,0.0,True,148.0,True,132.0,True,0.5,True,0.18,True,True
