run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction,dominant_source_class,block
near,0,550.0,430363.5371974852,4012375.416963781,7.116435527801514,waverider-17m,18.0,85.62221314175007,85.33333333333324,True,93.23786945965828,-0.08167986207796529,-0.08477817191806536,0.15355214476585388,0.0,3,0_0
near,0,600.0,430412.03922742244,4012387.564107148,7.507636547088623,waverider-17m,18.0,86.47564240277059,85.33333333333324,True,103.55503770743667,-0.1649306077500423,-0.17596154448403867,0.15355214476585388,0.0,3,0_0
near,0,650.0,430460.54125735967,4012399.7112505143,7.881446838378906,waverider-17m,18.0,92.15081022948699,93.09090909090897,True,93.09696314259776,-0.010163091052299178,-6.502952926101813e-05,0.15355214476585388,0.0,3,0_0
near,0,700.0,430509.04328729695,4012411.858393881,8.25158405303955,waverider-17m,18.0,93.39450251418364,93.09090909090897,True,95.93352114331246,-0.026466438413491056,-0.029631061369643663,0.15355214476585388,0.0,3,0_0
near,0,750.0,430557.5453172342,4012424.0055372473,8.56788158416748,waverider-17m,18.0,88.42997383582482,102.39999999999988,True,94.9343058973304,-0.0685140318879024,0.0786406350381228,0.15355214476585388,0.0,3,0_0
near,0,800.0,430606.0473471714,4012436.152680614,8.897221565246582,waverider-17m,18.0,115.66422617186755,82.78549334573489,True,98.41314765838567,0.17529241695798903,-0.15879640763953518,0.23201750218868256,0.0,3,0_0
near,0,850.0,430654.54937710863,4012448.299823981,9.22199821472168,waverider-17m,18.0,146.29636531378944,127.12026448932349,True,101.4554467848763,0.441976453210962,0.25296638591387066,0.23201750218868256,0.0,3,0_0
near,0,900.0,430703.05140704586,4012460.446967347,9.527503967285156,waverider-17m,18.0,118.12016078963973,127.12026448932349,True,103.02515482821012,0.14651767315079378,0.23387598593072623,0.23201750218868256,0.0,3,0_0
near,0,950.0,430751.55343698314,4012472.594110714,9.832146644592285,waverider-17m,18.0,115.76046558574656,119.85013472883753,True,108.92378924739998,0.06276568585782805,0.10031183781736064,0.23201750218868256,0.0,3,0_0
near,0,1000.0,430800.05546692037,4012484.74125408,10.14278507232666,waverider-17m,18.0,124.23242016427446,119.85013472883753,True,105.06736996565459,0.18240725169845518,0.14069796139386814,0.23201750218868256,0.0,3,0_0
near,0,1050.0,430848.5574968576,4012496.888397447,10.464405059814453,waverider-17m,18.0,124.88758042699372,124.17824001860234,True,106.37827504122303,0.17399516375498747,0.16732706908888662,0.23201750218868256,0.0,3,0_1
near,0,1100.0,430897.0595267948,4012509.035540813,10.814929008483887,waverider-17m,18.0,125.13629337485192,127.01156821934933,True,108.94597022060763,0.14860873808788022,0.16582162664814648,0.300119549036026,0.005450581395348837,3,0_1
near,0,1150.0,430945.56155673205,4012521.18268418,11.182833671569824,waverider-17m,18.0,115.74451535111643,127.01156821934933,True,116.44827944009681,-0.006043576533412032,0.09071227870469722,0.300119549036026,0.0261913423062932,3,0_1
near,0,1200.0,430994.06358666933,4012533.329827546,11.587724685668945,waverider-17m,18.0,113.71746400199731,127.01156821934933,True,113.42062694832923,0.002617134657554976,0.11982777415973644,0.300119549036026,0.08336366945759009,3,0_1
