position_id,instrument_id,family,product,sensor_time_utc,original_sample_index,effective_sensor_id,deployment_status,deployment_start,deployment_end,position_status,lon_lat_json,position_uncertain,position_discrepancy_m,footprint_status,footprint_center_m,footprint_minimum_m,footprint_inside,footprint_bearing_deg,footprint_method,footprint_center_definition,roi_status,roi_center_m,roi_minimum_m,roi_inside,roi_bearing_deg
position_aa5cd9206494793cc6579775,FRF:waverider-17m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-17m/2021/FRF-ocean_waves_waverider-17m_202110.nc,2021-10-16T23:00:00.000003+00:00,757,Datawell Waverider buoy (Mk III),within_supplied_bounds_not_complete_history,2008-05-22T18:24:00Z,,dated_product_global_nominal_metadata,"[-75.71405, 36.19988333]",False,0.0,computed_conditioned_on_historical_position,120543.26365318603,0.0,True,296.77269320656535,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_b7d6c961c675ea1e5ebe4491,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,2021-10-16T23:00:00.500001+00:00,379,Nortek AWAC,within_supplied_bounds_not_complete_history,2015-09-18T22:00:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.739155, 36.189244]",True,46.1136501252114,computed_conditioned_on_historical_position_position_uncertain,119076.86110444552,0.0,True,297.7542639314025,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_3e627235fb10c3f3eea4b4ae,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,2021-10-17T00:00:01.999999+00:00,380,Nortek AWAC,within_supplied_bounds_not_complete_history,2015-09-18T22:00:00Z,,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,"[-75.739155, 36.189244]",True,46.1136501252114,computed_conditioned_on_historical_position_position_uncertain,119076.86110444552,0.0,True,297.7542639314025,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_940930ff0578e4719cea2e7d,FRF:derived,wind,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,2021-10-16T23:10:00.000008+00:00,2297,1,not_verified,2011-10-18T12:00:00Z,present,dated_product_gauge_id_and_historical_nominal_table,"[-75.745116, 36.183683]",False,0.0,computed_conditioned_on_historical_position,118892.34351833968,0.0,True,298.1341908886248,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_88e68471efeaf12638fcb195,FRF:derived,wind,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,2021-10-16T23:00:00.000003+00:00,2296,1,not_verified,2011-10-18T12:00:00Z,present,dated_product_gauge_id_and_historical_nominal_table,"[-75.745116, 36.183683]",False,0.0,computed_conditioned_on_historical_position,118892.34351833968,0.0,True,298.1341908886248,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
position_f1dc712114ff454881d9a725,FRF:eopNoaaTide,water_level,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waterlevel/eopNoaaTide/2021/FRF-ocean_waterlevel_eopNoaaTide_202110.nc,2021-10-16T23:06:00.000002+00:00,3831,"Varies; NOAA Stilling well (float), NOAA next-gen gauge (Acoustic)",not_verified,1981-01-01T00:00:00Z,present,dated_product_coordinates_nominal_not_proven_measured,"[-75.74528, 36.183639]",False,0.0,computed_conditioned_on_historical_position,118881.63684252794,0.0,True,298.13952114732064,WGS84 Vincenty inverse; closest point on GeoJSON linear lon/lat boundary,"geometric lon/lat polygon centroid, not SAR aperture center",not_evaluable,,,,
