transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi,survey_points,z_p5,implied_eta_wr17,implied_eta_awac,z_p95,z_p50
0,400.0,393.2405418491452,3914.8438111299574,68.88169410522232,67.7926854410306,70.34617594194658,False,3.5041895728265047,5.019817692425451,2.8814055833916905,4.211455524295913,5.019817692425451,3.5041895728265047,,,,,,
0,450.0,443.2042374728731,3917.47948920283,68.88169410522232,67.7926854410306,70.34617594194658,False,3.5041895728265047,5.019817692425451,2.8814055833916905,4.211455524295913,5.019817692425451,3.5041895728265047,,,,,,
0,500.0,493.1680428014765,3920.1148712596505,65.61466811264717,82.40911964340151,70.01689347809987,False,5.269819635539377,7.703824170441291,4.30793517084432,6.386389209445736,7.703824170441291,5.269819635539377,,,,,,
0,600.0,593.0959825528142,3925.3847473036476,126.25842225051424,106.29488619417025,80.53767779197403,False,9.114427257746996,14.059135732281883,7.350053079543606,11.27645702684523,14.059135732281883,9.114427257746996,,,,,,
0,650.0,643.0601169684792,3928.0192412856736,127.01156821934933,nan,97.12501634890134,False,nan,nan,nan,nan,nan,nan,,,,,,
0,900.0,892.8824342748536,3941.187270653293,87.95110415061004,nan,76.75948008481264,False,nan,nan,nan,nan,nan,nan,,,,,,
0,950.0,942.847226752968,3943.8199883953866,89.81074117703967,nan,74.74488129694203,False,nan,nan,nan,nan,nan,nan,,,,,,
0,1100.0,1092.7422621519672,3951.7163652968,44.63909327762654,79.57185866716627,54.462322208025576,False,4.8948444049164355,7.123509257773348,4.006463733961899,5.921155604366751,7.123509257773348,4.8948444049164355,,,,,,
0,1150.0,1142.7074932586381,3954.3478988107668,96.66305672103198,84.88972910944139,65.85445803957819,False,5.610959166086201,8.237006829641448,4.581492275782355,6.811288227617448,8.237006829641448,5.610959166086201,,,,,,
0,1200.0,1192.6728340126358,3956.9791362603382,97.41342600284027,88.57629151911979,64.65382405805317,False,6.141456755671565,9.076558232778934,5.005531632754195,7.475253576975469,9.076558232778934,6.141456755671565,,,,,,
0,1250.0,1242.6382844098118,3959.6100776410676,100.84334043626677,100.02683451909505,66.80140948635166,False,7.978466746743222,12.09365938788117,6.460744611398188,9.80691288503955,12.09365938788117,7.978466746743222,,,,,,
0,1300.0,1292.6038444450485,3962.2407229496534,103.32254115783341,103.44977873044418,70.34617594194648,False,8.586751198507265,13.135545091774333,6.937978427253039,10.591012976010893,13.135545091774333,8.586751198507265,,,,,,
0,1350.0,1342.5695141159028,3964.8710721827474,101.89180827750278,107.52825798726732,84.28940686250012,False,9.349589605635678,14.477064390958374,7.533115747719809,11.583562353899424,14.477064390958374,9.349589605635678,,,,,,
0,1400.0,1392.535293416043,3967.5011253374487,113.77777777777767,110.11514545556952,89.99999999999966,False,9.855761747578972,15.390729861076466,7.925916675147956,12.248127109659388,15.390729861076466,9.855761747578972,,,,,,
0,1450.0,1442.5011823442408,3970.1308824100092,117.80582228695603,111.81329653000353,85.60129464500419,False,10.197786328037628,16.019631261475123,8.19037503445767,12.700001876772928,16.019631261475123,10.197786328037628,,,,,,
0,1500.0,1492.467180893918,3972.7603433967774,113.77777777777767,115.12045928083712,89.99999999999966,False,10.886802235900214,17.317226159039446,8.720747123550751,13.617542310416303,17.317226159039446,10.886802235900214,,,,,,
0,1650.0,1642.3658342381616,3980.6469498093934,53.23522507878767,43.97227709069926,62.10272896905231,False,1.4447201091714734,2.026484770666358,1.1957439809589754,1.7208876954140402,2.026484770666358,1.4447201091714734,,,,,,
0,1700.0,1692.3322712386307,3983.275226419704,52.84000636061037,39.439607776199374,63.43494882292195,False,1.158987579665644,1.6212667386374469,0.9600997185950326,1.378911461561809,1.6212667386374469,1.158987579665644,,,,,,
0,1750.0,1742.2988178405867,3985.903206928374,25.841599832699725,40.515538704183214,77.36663806472495,False,1.2238604084217122,1.7130683954072055,1.0136375626874063,1.4564816277189008,1.7130683954072055,1.2238604084217122,,,,,,
0,1800.0,1792.2654740398807,3988.5308913309545,25.841599832699725,37.3356171105321,77.36663806472495,False,1.0373971316638704,1.4495148884199036,0.8596958820260759,1.2336357949475454,1.4495148884199036,1.0373971316638704,,,,,,
0,1850.0,1842.232239835285,3991.1582796237,44.81926241611859,32.167487360506016,66.80140948635174,False,0.7680555310956336,1.0704810537024512,0.6370157772286773,0.9123483196654419,1.0704810537024512,0.7680555310956336,,,,,,
1,400.0,405.1824208585453,3686.462762399239,89.81074117703967,93.67527759921241,74.74488129694203,False,6.923119428719663,10.338330116511154,5.627262630743139,8.461019359030532,10.338330116511154,6.923119428719663,,,,,,
1,450.0,455.14837708976995,3689.0350679372827,93.1336800139518,94.77681110107075,75.96375653207333,False,7.099517307620406,10.627413368498122,5.767055530226163,8.684752500020279,10.627413368498122,7.099517307620406,,,,,,
1,500.0,505.1144424247546,3691.607077406568,98.08141160664577,95.43773120218574,73.30075576600615,False,7.206670199382725,10.80383358773416,5.8518795271517545,8.820894994789354,10.80383358773416,7.206670199382725,,,,,,
1,550.0,555.0806168537546,3694.17879080199,98.08141160664577,97.09186528810697,73.30075576600615,False,7.479220229256641,11.255419871249183,6.0673155026005565,9.167997041914125,11.255419871249183,7.479220229256641,,,,,,
1,600.0,605.0469003772475,3696.7502081209027,98.08141160664577,97.48033191464671,73.30075576600615,False,7.544141517695138,11.363603032824415,6.118564404847311,9.250851228784036,11.363603032824415,7.544141517695138,,,,,,
1,650.0,655.0132929889016,3699.3213293604053,98.08141160664577,95.3612944233568,73.30075576600615,False,7.19422705667787,10.783314716050466,5.842032954383772,8.80507621870674,10.783314716050466,7.19422705667787,,,,,,
1,700.0,704.9797946845679,3701.8921545160474,95.07601314665045,90.91653870656532,68.19859051364803,False,6.493176376863096,9.640526890707092,5.285744391715954,7.91768913995753,9.640526890707092,6.493176376863096,,,,,,
1,750.0,754.9464054608346,3704.46268358563,87.48622415019622,86.35745184571735,70.01689347809987,False,5.818758413336681,8.564320616376818,4.747789793406041,7.070894746933522,8.564320616376818,5.818758413336681,,,,,,
1,800.0,804.9131253140447,3707.0329165662033,75.85763302268842,83.42646190548524,69.7751405688318,False,5.408210179059559,7.91950785797246,4.418991550843214,6.558567109910097,7.91950785797246,5.408210179059559,,,,,,
1,850.0,854.8799542385889,3709.6028534529673,75.28597730240584,79.54327815843016,72.89727103094748,False,4.891148561029805,7.117818669052196,4.003488314702543,5.9165794089778645,7.117818669052196,4.891148561029805,,,,,,
1,1050.0,1054.7483605827886,3719.8796400001984,48.542255425533625,41.117024406682226,84.55966796899436,False,1.260924823534876,1.7655705280137721,1.0442160934977356,1.500819507204839,1.7655705280137721,1.260924823534876,,,,,,
1,1100.0,1104.7157348084068,3722.4480963714236,49.14099364999551,37.254724341141056,82.64762064010753,False,1.0328609749054303,1.443115166889584,0.855948659405713,1.228218862922384,1.443115166889584,1.0328609749054303,,,,,,
1,1150.0,1154.6832180824324,3725.016256628145,25.66782414451754,37.254724341141056,80.38027220030109,False,1.0328609749054303,1.443115166889584,0.855948659405713,1.228218862922384,1.443115166889584,1.0328609749054303,,,,,,
1,1200.0,1204.6508104002392,3727.58412076856,25.66782414451754,33.49221397967686,80.38027220030109,False,0.8331465554297484,1.161903320763418,0.6908642440775693,0.9899277225691215,1.161903320763418,0.8331465554297484,,,,,,
1,1350.0,1354.5542415761015,3735.2859364553715,98.13144038399065,nan,63.43494882292192,False,nan,nan,nan,nan,nan,nan,,,,,,
1,1400.0,1404.5222700295249,3737.852616096215,98.13144038399065,111.21563243518942,63.43494882292192,False,10.07651563493739,15.795538294556781,8.096695993133222,12.539515905963144,15.795538294556781,10.07651563493739,,,,,,
1,1500.0,1504.458654000654,3742.9850869721413,137.38401653758697,130.65553785847968,63.43494882292177,False,14.570895443517173,25.19179508054669,11.500154732934996,18.713394660354343,25.19179508054669,14.570895443517173,,,,,,
1,1550.0,1554.4270095110453,3745.5508782013244,152.64890726398542,137.90274388481288,63.43494882292177,False,16.579699065924096,30.54566038423491,12.973317831808252,21.657915917436597,30.54566038423491,16.579699065924096,,,,,,
1,1600.0,1604.3954740337613,3748.1163732880045,134.45778724835563,134.2922220536178,66.80140948635159,False,15.553210752813545,27.677454633683332,12.224422092518628,20.136248743480348,27.677454633683332,15.553210752813545,,,,,,
1,1650.0,1654.3640475627024,3750.681572225883,127.12026448932349,130.78544569186792,65.55604521958325,False,14.605131650741184,25.27487624886129,11.525520261312733,18.762473520982116,25.27487624886129,14.605131650741184,,,,,,
1,1700.0,1704.332730095193,3753.246475015008,119.85013472883753,123.15300032866867,69.44395478041629,False,12.694272960282131,20.951030512498665,10.096510659291113,16.07451445582258,20.951030512498665,12.694272960282131,,,,,,
1,1750.0,1754.3015216263486,3755.811081648683,119.85013472883753,121.68549577686224,69.44395478041629,False,12.349202987162162,20.228086774543428,9.835631056035046,15.599476415812813,20.228086774543428,12.349202987162162,,,,,,
1,1800.0,1804.2704221517877,3758.3753921258553,114.4866804479891,121.68549577686224,63.434948822921854,False,12.349202987162162,20.228086774543428,9.835631056035046,15.599476415812813,20.228086774543428,12.349202987162162,,,,,,
1,1850.0,1854.2394316707737,3760.9394064442768,127.12026448932349,123.11778247496457,65.55604521958325,False,12.685910878039355,20.93332923043317,10.090198806067358,16.06296765500895,20.93332923043317,12.685910878039355,,,,,,
1,1900.0,1904.2085501745312,3763.5031245976975,127.12026448932349,122.70891998658826,65.55604521958325,False,12.589123954895896,20.729114672981915,10.017105880524904,15.929447407961678,20.729114672981915,12.589123954895896,,,,,,
1,1950.0,1954.1777776611093,3766.066546584268,127.01156821934926,123.52122056432793,60.255118703057654,False,12.781943333465875,21.137176177680892,10.162655720826919,16.195681003306987,21.137176177680892,12.781943333465875,,,,,,
1,2000.0,2004.14711412685,3768.6296724010376,117.80582228695597,108.17607272770792,57.52880770915146,False,9.474688946129499,14.701050483215989,7.630352412681111,11.747353748747258,14.701050483215989,9.474688946129499,,,,,,
1,2050.0,2054.11655956736,3771.19250204281,118.54818333668743,87.56186448700569,55.78429786756249,False,5.99263476133553,8.839719432991734,4.8867432047115,7.288587119635649,8.839719432991734,5.99263476133553,,,,,,
1,2100.0,2104.0861139780122,3773.7550355077824,50.39452530622354,66.96939550029829,48.990913098429765,False,3.4166352813446412,4.889754288497319,2.8102104663148797,4.1046043993829135,4.889754288497319,3.4166352813446412,,,,,,
1,2150.0,2154.0557773546575,3776.3172727915066,24.049223285812246,48.15372922751682,80.53767779197432,False,1.7375203989067167,2.444122001214059,1.4367764387398718,2.072187441585514,2.444122001214059,1.7375203989067167,,,,,,
1,2200.0,2204.0255496938853,3778.8792138917815,24.049223285812246,30.555115700224164,80.53767779197432,False,0.6924790476949217,0.9644722149356452,0.5744658163217726,0.8223234681098547,0.9644722149356452,0.6924790476949217,,,,,,
1,2250.0,2253.9954309922828,3781.4408588064075,23.727490923048613,23.941979164891034,79.9920201985586,False,0.42405774137321767,0.5891706605671694,0.3520758588369966,0.5030319171284167,0.5891706605671694,0.42405774137321767,,,,,,
1,2450.0,2453.8760456858417,3791.6844765173496,119.85013472883753,nan,69.44395478041629,False,nan,nan,nan,nan,nan,nan,,,,,,
2,400.0,417.0257669125503,3456.1790483485092,87.48622415019622,92.5460834811657,70.01689347809987,False,6.745106720325028,10.048262322224097,5.485997321346107,8.235721722321008,10.048262322224097,6.745106720325028,,,,,,
2,450.0,466.99162182544666,3458.7326112880824,95.07601314665045,92.5460834811657,68.19859051364803,False,6.745106720325028,10.048262322224097,5.485997321346107,8.235721722321008,10.048262322224097,6.745106720325028,,,,,,
2,500.0,516.95758564535,3461.285878157841,95.07601314665045,93.95244225399011,68.19859051364803,False,6.967247649243813,10.410492810567748,5.6622515039086325,8.516944099637813,10.410492810567748,6.967247649243813,,,,,,
2,600.0,616.8898399954237,3466.3915236715234,98.17151857246334,131.35681803353808,57.52880770915142,False,14.756450013398844,25.644947139683953,11.637526045458392,18.9798241281909,25.644947139683953,14.756450013398844,,,,,,
2,700.0,716.8225299283959,3471.49598486266,200.82292238150043,167.9314803179879,101.30993247401946,False,27.76134925913254,nan,20.54828090115648,42.57631455673292,nan,27.76134925913254,,,,,,
2,750.0,766.7890382291697,3474.0477713289115,204.79999999999995,200.59524853159738,89.99999999999937,False,52.61216541244256,nan,32.7273615907897,nan,nan,52.61216541244256,,,,,,
2,850.0,866.7223814780863,3479.150455987333,196.16282321329172,214.1073126194331,73.30075576600593,False,92.23152962320644,nan,39.83361909132678,nan,nan,92.23152962320644,,,,,,
2,900.0,916.6892164179318,3481.7013541706056,241.35911464500757,156.23564760533802,45.0,False,22.736851406690068,nan,17.28352939814103,31.828630139753532,nan,22.736851406690068,,,,,,
2,1000.0,1016.6232129084177,3486.802262233572,31.18500495771475,104.35907410987627,84.17365797044413,False,8.753180733511783,13.424788628071848,7.068140861084501,10.806664626097772,13.424788628071848,8.753180733511783,,,,,,
2,1050.0,1066.5903744512518,3489.3522721058666,31.810294136139987,71.17219584618776,83.75808565258487,False,3.8765375927412173,5.575981025375421,3.1837069477724627,4.666887566231223,5.575981025375421,3.8765375927412173,,,,,,
2,1100.0,1116.5576448525646,3491.9019858670026,113.08188270064278,78.66007699500092,83.65980825408981,False,4.777731005009688,6.943457861063068,3.912140834416522,5.77623251189436,6.943457861063068,4.777731005009688,,,,,,
2,1150.0,1166.525024110159,3494.4514035143816,108.61160159025353,93.53283829914471,81.86989764584371,False,6.900508058410266,10.301393625901353,5.609329666725126,8.432375008932658,10.301393625901353,6.900508058410266,,,,,,
2,1200.0,1216.4925122184259,3497.0005250432046,108.61160159025353,109.78715601204526,81.86989764584371,False,9.790600351583102,15.271992528077707,7.875444749220479,12.162298887681114,15.271992528077707,9.790600351583102,,,,,,
2,1250.0,1266.460109172739,3499.5493504516685,105.54881147843373,111.14080641768423,76.37300514010825,False,10.061401643751866,15.767695571794393,8.085013872843826,12.519535110941362,15.767695571794393,10.061401643751866,,,,,,
