window_width_m,window_height_m,variant,radiometry,interpolation,negative_after_noise_fraction,processing_status,k_east_rad_m,k_north_rad_m,k_magnitude_rad_m,wavelength_m,bearing_toward_deg,axial_bearing_deg,peak_power,lobe_to_annular_median,half_power_radial_width_rad_m,conjugate_closure_relative,zero_padding_factor,padding_role,detrend,taper,reason
300.0,300.0,primary,sigma0_lut,bilinear,0.0,complete,0.08178542365981918,0.005888646616832974,0.08199714435389839,76.62687959060449,85.88174330990601,85.88174330990601,3.7841000223376375,54.82640129698393,0.015451784307557545,0.0,2,interpolation only,plane,hann,
300.0,300.0,quadratic_hann,sigma0_lut,bilinear,0.0,complete,0.08178782671984754,0.005887077715690642,0.08199942855646244,76.62474504749952,85.8829573087166,85.8829573087166,3.7844421204390963,54.0810531280493,0.015451784307557545,0.0,2,interpolation only,quadratic,hann,
300.0,300.0,plane_tukey,sigma0_lut,bilinear,0.0,complete,0.08262273844415122,0.004424919788741176,0.08274114347256398,75.93785924970953,86.93441227486665,86.93441227486665,34.062852406664824,72.85864212987373,0.013250860653644836,0.0,2,interpolation only,plane,tukey_alpha_0.25,
300.0,300.0,raw_hann,raw_dn_power,bilinear,0.0,complete,0.08178538795182858,0.005888546857522369,0.08199710157392359,76.6269195687978,85.88181104523846,85.88181104523846,24566324223.476357,54.823755582786774,0.015451784307557545,0.0,2,interpolation only,plane,hann,
300.0,300.0,noise_sub_hann,sigma0_noise_subtracted,bilinear,0.1296,unavailable_masked_pixels,,,,,,,,,,,,,,,negative post-noise power is masked; FFT is not filled or clipped
300.0,300.0,nearest_hann,sigma0_lut,nearest,0.0,complete,0.0947125208201178,0.10099316548383688,0.13845606189165902,45.38035548126552,43.16187779181997,43.16187779181997,3.0486005397188087,13.138660149338055,0.04266401592177434,0.0,2,interpolation only,plane,hann,
400.0,300.0,primary,sigma0_lut,bilinear,0.0,complete,0.08161541935380358,0.006630903896730749,0.08188434259847785,76.73243880077733,85.35516492111364,85.35516492111364,7.625401228701743,70.40839294672257,0.020503765084967707,0.0,2,interpolation only,plane,hann,
400.0,300.0,quadratic_hann,sigma0_lut,bilinear,0.0,complete,0.0816150139434774,0.006630688969595045,0.08188392111523189,76.73283376766382,85.35529184435589,85.35529184435589,7.6254200189490495,71.78028054637352,0.020503765084967707,0.0,2,interpolation only,quadratic,hann,
400.0,300.0,plane_tukey,sigma0_lut,bilinear,0.0,complete,0.0813551168778055,0.005854262976447807,0.08156547944565029,77.0324081937908,85.88412621076928,85.88412621076928,69.64499709059862,90.22644780461836,0.009681925514627099,0.0,2,interpolation only,plane,tukey_alpha_0.25,
400.0,300.0,raw_hann,raw_dn_power,bilinear,0.0,complete,0.08161541309114152,0.006630900409317358,0.08188433607397669,76.73244491477801,85.3551669984421,85.3551669984421,49504077011.05126,70.4020685958258,0.020503765084967707,0.0,2,interpolation only,plane,hann,
400.0,300.0,noise_sub_hann,sigma0_noise_subtracted,bilinear,0.1236,unavailable_masked_pixels,,,,,,,,,,,,,,,negative post-noise power is masked; FFT is not filled or clipped
400.0,300.0,nearest_hann,sigma0_lut,nearest,0.0,complete,0.09644129022879831,0.1002048982776244,0.13907531808277257,45.17829183349459,43.903550916447614,43.903550916447614,4.784836897297995,9.13993269141498,0.03740299722847326,0.0,2,interpolation only,plane,hann,
500.0,300.0,primary,sigma0_lut,bilinear,0.0,complete,0.08119018542675983,0.006572771010427034,0.08145580107265016,77.13613056945611,85.37169967289537,85.37169967289537,11.955560479840283,93.63413526023344,0.0143262476845544,0.0,2,interpolation only,plane,hann,
500.0,300.0,quadratic_hann,sigma0_lut,bilinear,0.0,complete,0.08119043533680319,0.006572484379601163,0.08145602703974532,77.13591658618208,85.37191481456487,85.37191481456487,11.955756977495962,93.71340139750161,0.0143262476845544,0.0,2,interpolation only,quadratic,hann,
500.0,300.0,plane_tukey,sigma0_lut,bilinear,0.0,complete,0.08072114658861118,0.0060728223096553615,0.08094925989398978,77.61881103555454,85.69762227309089,85.69762227309089,91.82829293397697,111.1454240550517,0.01141558138472995,0.0,2,interpolation only,plane,tukey_alpha_0.25,
500.0,300.0,raw_hann,raw_dn_power,bilinear,0.0,complete,0.08119023636157627,0.006572744484240455,0.08145584970094986,77.13608451998405,85.37172116144285,85.37172116144285,77614750748.8161,93.6420900844954,0.0143262476845544,0.0,2,interpolation only,plane,hann,
500.0,300.0,noise_sub_hann,sigma0_noise_subtracted,bilinear,0.12096,unavailable_masked_pixels,,,,,,,,,,,,,,,negative post-noise power is masked; FFT is not filled or clipped
500.0,300.0,nearest_hann,sigma0_lut,nearest,0.0,complete,0.10366061582054911,0.10763853510620065,0.14943753715885533,42.045562491440315,43.92147666038128,43.92147666038128,4.963454437256397,10.895077257101578,0.03219203151139166,0.0,2,interpolation only,plane,hann,
