instrument_id,case,k_rad_m,frequency_hz,omega_absolute_rad_s,current_along_propagation_m_s,depth_m,intrinsic_omega_rad_s,status
FRF:waverider-17m,projected_current,0.08188434259847785,0.085,0.5340707511102649,-0.5,5.3455485448196605,0.5750129224095039,finite
FRF:waverider-17m,projected_current,0.08188434259847785,0.085,0.5340707511102649,-0.25,4.927892577141163,0.5545418367598843,finite
FRF:waverider-17m,projected_current,0.08188434259847785,0.085,0.5340707511102649,0.0,4.535481944122792,0.5340707511102649,finite
FRF:waverider-17m,projected_current,0.08188434259847785,0.085,0.5340707511102649,0.25,4.166114613595917,0.5135996654606455,finite
FRF:waverider-17m,projected_current,0.08188434259847785,0.085,0.5340707511102649,0.5,3.8179745694573177,0.493128579811026,finite
FRF:waverider-17m,k_primary_min,0.08145580107265016,0.085,0.5340707511102649,0,4.585617370731949,0.5340707511102649,finite
FRF:waverider-17m,k_primary_max,0.08199714435389839,0.085,0.5340707511102649,0,4.5224242042638805,0.5340707511102649,finite
FRF:waverider-17m,omega_halfpower_min,0.08188434259847785,0.0775,0.48694686130641796,0,3.7167843080796246,0.48694686130641796,finite
FRF:waverider-17m,omega_halfpower_max,0.08188434259847785,0.1,0.6283185307179586,0,6.572774810594376,0.6283185307179586,finite
FRF:awac-11m,projected_current,0.08188434259847785,0.0925,0.5811946409141118,-0.5,6.418698842984945,0.6221368122133507,finite
FRF:awac-11m,projected_current,0.08188434259847785,0.0925,0.5811946409141118,-0.25,5.9316652065783115,0.6016657265637312,finite
FRF:awac-11m,projected_current,0.08188434259847785,0.0925,0.5811946409141118,0.0,5.477022730674756,0.5811946409141118,finite
FRF:awac-11m,projected_current,0.08188434259847785,0.0925,0.5811946409141118,0.25,5.051240324952633,0.5607235552644924,finite
FRF:awac-11m,projected_current,0.08188434259847785,0.0925,0.5811946409141118,0.5,4.651458383926576,0.5402524696148728,finite
FRF:awac-11m,k_primary_min,0.08145580107265016,0.0925,0.5811946409141118,0,5.53888476695935,0.5811946409141118,finite
FRF:awac-11m,k_primary_max,0.08199714435389839,0.0925,0.5811946409141118,0,5.460916070226026,0.5811946409141118,finite
FRF:awac-11m,omega_halfpower_min,0.08188434259847785,0.085,0.5340707511102649,0,4.535481944122792,0.5340707511102649,finite
FRF:awac-11m,omega_halfpower_max,0.08188434259847785,0.1,0.6283185307179586,0,6.572774810594376,0.6283185307179586,finite
