transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi
1,950.0,1048.0568407444987,2984.2441762907733,104.58906445494591,110.0811864166776,60.64224645720873,False,9.849001725867799,15.378395966163778,7.920681887351823,12.239219203401879,15.378395966163778,9.849001725867799
1,1000.0,1098.0340231437972,2986.5407026373928,109.91385711289855,111.49604923305527,60.25511870305778,False,10.133292581753095,15.900301528074536,8.140567215560708,12.614616123551214,15.900301528074536,10.133292581753095
1,1050.0,1148.0113120179658,2988.8369326435673,115.74063768218832,111.91813623358203,61.44860812703981,False,10.219160143613923,16.059255707167832,8.206875660078596,12.728317953961387,16.059255707167832,10.219160143613923
1,1100.0,1197.9887073601806,2991.132866304895,115.74063768218832,113.46888685890163,61.44860812703981,False,10.538870466994425,16.656666170896877,8.453326478937463,13.15298080913185,16.656666170896877,10.538870466994425
1,1150.0,1247.9662091692137,2993.42850361763,113.6064842356891,112.62942557068656,60.78075330951541,False,10.364972883782052,16.33061690758577,8.319361644363601,12.921737850310315,16.33061690758577,10.364972883782052
1,1200.0,1297.9438174380093,2995.723844580767,112.34281758154388,110.6498927374738,59.898695434400295,False,9.96262051667587,15.586186442147318,8.008625080912834,12.389057508767435,15.586186442147318,9.96262051667587
1,1250.0,1347.9215321631425,2998.0188891879607,105.71655067182319,108.67035990426105,59.198554023863146,False,9.570881053479505,14.874081819165461,7.70505037168582,11.873498391549855,14.874081819165461,9.570881053479505
1,1300.0,1397.8993533414466,3000.3136374377596,105.84297351612453,107.43632882140403,60.25511870305778,False,9.331925930629637,14.4455321195553,7.519377951150337,11.560459145358438,14.4455321195553,9.331925930629637
1,1350.0,1447.8772809692646,3002.6080893272137,105.84297351612453,114.85143698443272,60.25511870305778,False,10.829598283285517,17.207851267468858,8.676836620536223,13.540987221184823,17.207851267468858,10.829598283285517
1,1450.0,1547.8334555507745,3007.196104009288,142.00325023365863,130.80454665492547,70.55996517182382,False,14.610170784375528,25.28712469704549,11.5292530002398,18.76970032125014,25.28712469704549,14.610170784375528
