quantity,stat,n,legacy_pct,all_pct,quantile_pct,mc_mean_pct,mc_sd_pp,mc_min_pct,mc_max_pct
b39/grd,median,3577,-0.7744834984468207,-0.3947160547356998,-0.39617690565180164,-0.671056489213529,0.1710622163933215,-1.025478620238185,-0.29434700355853716
b39/grd,lo,3577,-3.825678057363202,-3.7941847171868215,-3.7941847171868215,-3.807122819513907,0.09109059641993013,-4.015247384921541,-3.6501902207311696
b39/grd,hi,3577,2.272848679026618,2.5834558382149684,2.5815672583357383,2.284191781230877,0.023851428777348624,2.272848679026618,2.367402137025438
b39/slc,median,3453,-4.811297018723193,-4.687500000000011,-4.656754393495954,-4.758618044122207,0.07490461932590944,-4.881674143011194,-4.681065457339306
b39/slc,lo,3453,-8.5243832404588,-8.524383240458743,-8.486219465249615,-8.526315552559769,0.017999386782234526,-8.596068041904742,-8.491344681032578
b39/slc,hi,3453,-1.194027547381049,-0.6596962968111186,-0.5921832269294264,-1.1897495186751001,0.11172958314961931,-1.4698895131799734,-0.9847607441422178
b40/B_12_20m/grd/centroid,median,31,-0.022515518881349728,-0.022515518881349728,0.15915328145115204,-0.13557074169787184,1.2688495785540106,-5.213761166806707,1.0279319372691331
b40/B_12_20m/grd/centroid,lo,31,-8.59349473971694,-8.422525616795001,-8.428283237646216,-8.325183720514238,1.0291366311233217,-9.255376083884054,-4.0298449611203715
b40/B_12_20m/grd/centroid,hi,31,32.87583575864006,32.32044591611702,31.393970154174966,25.29548408467507,2.9418755564050936,20.537817829950335,32.14138383815618
b40/B_12_20m/grd/contour,median,31,-7.296552460117067,-7.296552460117067,-7.349662431557258,-7.5483577755019935,0.864462314049785,-11.213924340181869,-7.296552460117067
b40/B_12_20m/grd/contour,lo,31,-21.29997183569838,-21.215143986630338,-21.210869485727287,-20.66385809778612,1.2549919029210437,-21.332702190448945,-17.058845604401608
b40/B_12_20m/grd/contour,hi,31,7.694349081816587,8.917867091714083,8.600088808387607,3.18749314345196,3.2173990356474658,-1.0311441767109797,9.674302282786895
b40/B_12_20m/slc/centroid,median,22,-5.935113015036913,-0.6460362897840022,0.5524979413300213,-0.4716830769870651,1.4170602095056868,-4.637558783491357,1.2457356707177958
b40/B_12_20m/slc/centroid,lo,22,-8.23599037040954,-7.533710998237419,-5.949214196080421,-6.431480739746266,2.296646790485232,-8.962214697947468,-0.2459648657374358
b40/B_12_20m/slc/centroid,hi,22,11.240535901420456,17.846555518321118,18.484442938663992,13.530412860908564,2.7805081261132623,8.444058377190322,17.9773820255669
b40/B_12_20m/slc/contour,median,22,-6.37137889548553,-2.1248416574145947,0.17157605439468981,-3.1649440666303383,2.5679354488025807,-6.487007326119526,2.0206014734279076
b40/B_12_20m/slc/contour,lo,22,-8.102585710711196,-8.142620054338545,-8.140024747374463,-9.323284906599689,2.78933337968739,-14.964758670059386,-7.349662431557258
b40/B_12_20m/slc/contour,hi,22,6.74093914359446,13.139490045559842,13.757201199930636,9.200768607367845,2.51382299402105,4.617742469983788,13.264615195867824
b40/C_20_30m/grd/centroid,median,425,9.598519096544145,9.566995467158112,9.369267120639723,9.69903437344892,0.22019330411569035,9.566995467158112,10.082162956479813
b40/C_20_30m/grd/centroid,lo,425,4.636210921707362,4.259990811610942,4.186695867679523,4.556881069729382,0.1330089198383489,4.354953077773819,4.8020181338676995
b40/C_20_30m/grd/centroid,hi,425,14.51323829682516,13.819294174156283,13.819294174156283,14.28159540373898,0.2317199058780757,13.819294174156283,14.770765774984424
b40/C_20_30m/grd/contour,median,425,-0.20738176285646226,-0.20738176285646226,-0.20738176285646226,0.4249239584765174,0.7657687821955466,-0.386154590838661,1.3799501642312029
b40/C_20_30m/grd/contour,lo,425,-6.483476004760069,-5.265934624729276,-5.0880826301379685,-5.636068442301909,0.7018831030777226,-7.254145591034389,-5.0880826301379685
b40/C_20_30m/grd/contour,hi,425,7.7804828943204285,6.9808672855731,6.958199500276185,7.686410403784167,0.4981922684777564,6.760851118830065,8.535929889244853
b40/C_20_30m/slc/centroid,median,404,4.4208537220936766,4.003754086396127,4.048098458170024,4.166180220033683,0.1497965363313553,3.9048312731091994,4.526949743355946
b40/C_20_30m/slc/centroid,lo,404,-2.2756372229732627,-2.3502292940227187,-2.307710491470938,-2.305101742810572,0.1266323253621263,-2.681518506658731,-2.010624181473464
b40/C_20_30m/slc/centroid,hi,404,12.662796026124257,12.529078787850478,12.529078787850478,12.683360483806338,0.1350951743832377,12.529078787850478,13.152547138684989
b40/C_20_30m/slc/contour,median,404,-7.762195928133686,-7.762195928133686,-7.762195928133686,-7.759343799521228,0.012755106916049157,-7.762195928133686,-7.705153355884558
b40/C_20_30m/slc/contour,lo,404,-14.1948133964099,-14.194813396409888,-14.1948133964099,-14.200932541949374,0.026695317918124184,-14.314315444291154,-14.194813396409888
b40/C_20_30m/slc/contour,hi,404,-1.236748047131786,-1.236748047131786,-1.236748047131786,-1.2367480471317862,2.278129578503827e-16,-1.236748047131786,-1.236748047131786
