geometry,centre_offset_m,transect_slc,distance_m,E,N,band,band_name,window_class,dominant_class_name,depth_mean_m,lambda_pred_m,slc_lambda_contour_m,grd_lambda_contour_m,slc_lambda_centroid_m,grd_lambda_centroid_m,slc_rel_err_contour,grd_rel_err_contour,slc_rel_err_centroid,grd_rel_err_centroid,slc_identifiable,grd_identifiable,forward_source,block
near,24.154175495938627,1,2750.0,432550.52905730373,4012689.5639688363,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,15.248067855834961,134.29508196721298,170.6666666666665,148.3069752375442,153.44803147265318,147.60044607745976,0.27083333333333326,0.10433660760378483,0.14261839841697443,0.09907558724671084,False,False,block39_sector72,0_2
near,21.119776082682296,1,2800.0,432599.1796668897,4012701.1016543456,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,15.323780059814453,134.29508196721298,111.06839440315186,183.26015578272532,158.62006799631985,180.3677345955094,-0.17295262956637314,0.3646080935969551,0.18113087741400413,0.3430702893464459,True,True,block39_sector72,0_2
near,18.532203966652578,1,2850.0,432647.83027647564,4012712.6393398554,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,15.39324140548706,134.29508196721298,116.77991750702667,162.67294121769717,174.96775824877153,181.33134252107752,-0.1304229775477742,0.21130974295404514,0.30286050453797286,0.350245592503142,True,True,block39_sector72,0_2
near,16.601720395974993,1,2900.0,432696.4808860616,4012724.1770253647,2,B_12_20m,legacy_calibrated,legacy_bias_corrected,15.452249526977539,134.29508196721298,127.01156821934933,143.70209885951604,167.6330440860538,172.98112774933287,-0.05423514875728552,0.07004736699590919,0.24824410269156383,0.2880674795787739,True,True,block39_sector72,0_2
near,9.35784038510356,2,600.0,430505.3377260226,4012003.6191659956,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,7.334299564361572,91.5153729297476,85.33333333333324,78.53721485797067,85.3883153948418,78.90805160436497,-0.06846712917049325,-0.1409699946280566,-0.06786692294860441,-0.13691382975356614,True,True,block39_sector72,0_0
near,9.084027579395377,2,650.0,430553.73873174045,4012016.1627956736,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,7.731822490692139,94.506100268688,93.09090909090897,78.76923076923069,86.58876501131157,80.06049646653373,-0.03270704334215635,-0.1509522020129649,-0.10026979713616002,-0.13703374316545758,True,True,block39_sector72,0_0
near,9.854746985686036,2,700.0,430602.1397374583,4012028.706425352,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,8.107889175415039,94.10441892271422,93.09090909090897,85.33333333333324,93.71541363337158,97.92900189933938,-0.011483369308504021,-0.09255106920468736,-0.004851861117260325,0.04139337578993474,True,True,block39_sector72,0_0
near,11.461178819915142,2,750.0,430650.5407431762,4012041.25005503,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,8.481155395507812,98.71630832150615,113.08188270064278,93.09090909090897,112.72302776909899,109.50742275193683,0.14425113459939376,-0.05593548053736308,0.14061995909391878,0.11054960626649546,True,True,block39_sector72,0_0
near,13.610558490945742,2,800.0,430698.94174889405,4012053.793684708,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,8.842290878295898,100.80702838421988,119.85013472883753,100.4114611907501,137.91751079297944,122.13079815511819,0.18825484645340973,-0.003377415448769683,0.36738394980807887,0.21219540346526888,True,True,block39_sector72,0_0
near,16.086705244722825,2,850.0,430747.3427546119,4012066.337314386,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,9.19960641860962,100.48364217287521,127.12026448932349,115.55279773527356,127.5544110809346,125.86382823801543,0.2636084277171693,0.15131084266485106,0.2679239575363397,0.254044843481094,True,True,block39_sector72,0_0
