run,product,transect,distance_m,band_name,depth_navd88_m,lambda_sar_contour_m,lambda_pred_base_m,rel_err_base,lambda_pred_histogram_m,rel_err_forward_check,block,lambda_pred_eta+0.000_m,rel_err_eta+0.000,lambda_pred_eta+0.235_m,rel_err_eta+0.235,lambda_pred_eta-0.100_m,rel_err_eta-0.100,lambda_pred_eta+0.435_m,rel_err_eta+0.435,lambda_pred_wr17_discrete_max_m,lambda_pred_wr17_published_Tp_m,lambda_pred_wr17_lobe_Tmin_m,lambda_pred_wr17_lobe_Tmax_m,rel_err_wr17_discrete_max,rel_err_wr17_published_Tp,rel_err_wr17_lobe_Tmin,rel_err_wr17_lobe_Tmax,lambda_pred_awac-11m_m,rel_err_awac-11m,lambda_pred_8m-array_m,rel_err_8m-array,lambda_pred_waverider-26m_m,rel_err_waverider-26m,lambda_pred_current_diag_m,rel_err_current_diag
slc_near,slc,10,1200.0,B_12_20m,11.930551528930664,124.1782400186023,113.79350730141074,0.0912594484822844,119.57998703664006,0.1009348862168411,1_1,113.79350730141074,0.0912594484822844,114.75072949400149,0.08215643217408575,113.38191648773615,0.09522085942191594,115.55453421198436,0.07462888293762471,119.86489046503245,115.63686161003248,99.46894658293823,132.8344988140989,0.03598509569262198,0.0738638033724428,0.2484121354905593,-0.06516574288138055,108.6868298575034,0.14253254218021905,122.17670741554622,0.016382276502578286,120.79429381496576,0.02801412299177075,118.42942352650557,0.04854213016421616
slc_near,slc,11,1450.0,B_12_20m,11.992420196533203,119.85013472883753,114.04687067198927,0.05088490392287093,120.34407641067608,-0.035899870180180704,1_1,114.04687067198927,0.05088490392287093,115.00043559278363,0.04217113710096432,113.6368654641764,0.05467652807283607,115.80120121935015,0.03496452080680856,120.13678700187995,115.89656631818146,99.68129068235476,133.143381993896,-0.0023860491044923604,0.034112903740409095,0.20233329553038182,-0.09984159231938328,108.92576152160603,0.1002919149210133,122.45346521921162,-0.021259753537506754,121.06703792834669,-0.010051482388041766,118.70044276516589,0.009685658594771773
slc_near,slc,12,1350.0,B_12_20m,11.798256874084473,87.48622415019622,113.24844356123643,-0.2274840925041932,119.57998703664006,-0.2125640052224137,1_1,113.24844356123643,-0.2274840925041932,114.21357123562437,-0.23401200747229256,112.83342476986742,-0.2246426594900296,115.023943821286,-0.23940858534528642,119.28010936673799,115.07822523725355,99.01185815369314,132.17039311207603,-0.2665480890765153,-0.23976734981940917,-0.11640660238499945,-0.3380800186013606,108.17272241137866,-0.191235810655778,121.58145567311439,-0.2804311836386224,120.20764856396654,-0.2722075076309154,117.84651672506543,-0.2576257102761842
slc_near,slc,12,1400.0,B_12_20m,11.990041732788086,102.11673528031228,114.03714844399275,-0.10453096492091751,120.34407641067608,-0.08142620054338545,1_1,114.03714844399275,-0.10453096492091751,114.99085350134646,-0.11195775863063262,113.62708248317627,-0.10129932892159066,115.79173558485714,-0.1180999683222057,120.1263527672286,115.88660037499592,99.67314395131814,133.13152713986824,-0.1499222865928006,-0.11882189183327418,0.024516045467449343,-0.23296354008597642,108.91659357396752,-0.062431793637002686,122.44284451373679,-0.16600487610481907,121.05657139338803,-0.1564544237051655,118.69004226618596,-0.13963519322627538
slc_near,slc,12,1450.0,B_12_20m,12.212117195129395,114.4866804479891,114.93876006761582,-0.003933221650910146,121.1179933007769,0.020206014734279076,1_1,114.93876006761582,-0.003933221650910146,115.87953726820034,-0.012019868676102052,114.5342976715688,-0.0004157464143730305,116.66967353139766,-0.018710887048304703,121.0942816015221,116.81094410438106,100.4281422762923,134.23166045646812,-0.054565757079068744,-0.019897653205465327,0.13998604228902023,-0.14709629562306126,109.76663249380704,0.04300075393538538,123.4280423709731,-0.07244190016487506,122.02741897474363,-0.0617954439265429,119.65481811394018,-0.04319205651234004
slc_near,slc,12,1500.0,B_12_20m,12.421194076538086,114.4866804479891,115.77642006512404,-0.011139916197179578,121.90192853249715,0.020206014734279076,1_1,115.77642006512404,-0.011139916197179578,116.70530741871183,-0.019010506203996358,115.37710951951169,-0.007717553986495096,117.48555633034937,-0.025525485651427093,121.99408375850842,117.6699640323103,101.12865892241852,135.2551356749326,-0.061539076971802054,-0.02705264347193237,0.13208937671979082,-0.15355021547468384,110.55606508567915,0.03555314092685724,124.34384467221703,-0.07927343931026432,122.92979159600412,-0.0686823839721653,120.55164610263806,-0.0503101023563397
slc_near,slc,13,1350.0,B_12_20m,11.85914421081543,87.48622415019622,113.49986409552665,-0.22919534003526354,119.57998703664006,-0.212366145900036,1_1,113.49986409552665,-0.22919534003526354,114.46133881724221,-0.23567009564789843,113.0864293950976,-0.2263773414886081,115.26867676603548,-0.24102343668115667,119.54982436772882,115.33589464746262,99.22274408607264,132.47665661009495,-0.26820282160270426,-0.24146576902526407,-0.11828457319921881,-0.339610265016836,108.40987913487315,-0.19300505776457633,121.85600256135118,-0.28205240356420447,120.47823031662483,-0.2738420549482128,118.11536937724182,-0.25931549288239497
slc_near,slc,13,1400.0,B_12_20m,12.073575019836426,95.07601314665045,114.37774147188922,-0.16875423554313307,120.34407641067608,-0.14459354383387912,1_1,114.37774147188922,-0.16875423554313307,115.32654679437799,-0.17559299407302398,113.96979953597247,-0.16577888586492195,116.12335673031757,-0.18124987234520806,120.4919292394862,116.2357495554031,99.95847289428895,133.54693553683524,-0.21093459332300857,-0.18204155339203099,-0.04884488134189424,-0.28807042434585584,109.23774506166133,-0.12964137905828266,122.81495020298411,-0.2258596124534329,121.42326873279204,-0.21698687460080002,119.05443348578368,-0.20140720204255558
slc_near,slc,13,1450.0,B_12_20m,12.307255744934082,103.97144730968249,115.32125839748548,-0.09841907073787592,121.1179933007769,-0.07349662431557258,1_1,115.32125839748548,-0.09841907073787592,116.25659209927005,-0.1056726725577628,114.9191548716203,-0.09526442805960267,117.04220217399147,-0.11167557190079513,121.50509186094772,117.20316693958517,100.7481293783179,134.69884104757182,-0.1443037841684116,-0.11289558102745856,0.031993824116185454,-0.22811921393620072,110.1271466285282,-0.055896293577909595,123.84616407259995,-0.16047906620076413,122.43942006468289,-0.15083355299497536,120.06427569300597,-0.13403510986458167
slc_near,slc,13,1500.0,B_12_20m,12.50947380065918,114.4866804479891,116.126915690431,-0.014124505354248917,122.69607790404436,0.020206014734279076,1_1,116.126915690431,-0.014124505354248917,117.05086192059663,-0.021906557803452853,115.72974562622808,-0.010741103521074935,117.8270006851808,-0.028349361502603476,122.37073485385439,118.02946702258882,101.42150076619174,135.68378031358128,-0.06442761347540404,-0.03001611939772364,0.12882061084775986,-0.1562242724709112,110.88629042188889,0.03246920798235586,124.72717767733845,-0.08210317446483784,123.30747704361926,-0.07153496938802706,120.92703973367291,-0.053258223304464614
