run,product,geometry,transect,distance_m,E,N,band,band_name,window_class,dominant_class_name,admissible_fraction,depth_mean_m,forward_source,lambda_contour_m,lambda_centroid_m,lambda_pred_m,identifiable,rel_err_contour,rel_err_centroid,block
slc_near,slc,near,0,550.0,430363.5371974852,4012375.416963781,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,7.116435527801514,block39_sector72,85.33333333333324,84.76151577331483,89.8278483823935,True,-0.05003476238156446,-0.05640046711918889,0_0
slc_near,slc,near,0,600.0,430412.03922742244,4012387.564107148,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,7.507636547088623,block39_sector72,85.33333333333324,90.20637206312674,91.74580913053036,True,-0.0698939369325724,-0.016779372071517806,0_0
slc_near,slc,near,0,650.0,430460.54125735967,4012399.7112505143,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,7.881446838378906,block39_sector72,93.09090909090897,91.39062712240515,92.96937696402648,True,0.0013072275070693529,-0.01698139638208196,0_0
slc_near,slc,near,0,700.0,430509.04328729695,4012411.858393881,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,8.25158405303955,block39_sector72,93.09090909090897,92.57222355905894,95.08832608629389,True,-0.02100591184634215,-0.026460687981314956,0_0
slc_near,slc,near,0,750.0,430557.5453172342,4012424.0055372473,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,8.56788158416748,block39_sector72,102.39999999999988,95.12528251269053,98.85349089961888,True,0.035876417394124394,-0.037714483858887315,0_0
slc_near,slc,near,0,800.0,430606.0473471714,4012436.152680614,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,8.897221565246582,block39_sector72,82.78549334573489,115.66664580341167,100.98740095400609,True,-0.1802393906202331,0.1453571902111941,0_0
slc_near,slc,near,0,850.0,430654.54937710863,4012448.299823981,1,A_0_12m,temporally_inadmissible,bluetopo_direct_2019_2020_certified,0.0,9.22199821472168,block39_sector72,127.12026448932349,130.7583379703576,101.51976676317557,True,0.252172542770597,0.28800865229910855,0_0
slc_near,slc,near,0,900.0,430703.05140704586,4012460.446967347,1,A_0_12m,mixed_source,bluetopo_direct_2019_2020_certified,0.0,9.527503967285156,block39_sector72,127.12026448932349,119.24013281106869,107.65607274731045,True,0.1807997565330035,0.10760247674042756,0_0
slc_near,slc,near,0,950.0,430751.55343698314,4012472.594110714,1,A_0_12m,mixed_source,bluetopo_direct_2019_2020_certified,0.0,9.832146644592285,block39_sector72,119.85013472883753,116.85680894243787,107.9697474923262,True,0.11003440790074737,0.08231066253760844,0_0
slc_near,slc,near,0,1000.0,430800.05546692037,4012484.74125408,1,A_0_12m,mixed_source,bluetopo_direct_2019_2020_certified,0.0,10.14278507232666,block39_sector72,119.85013472883753,124.9078373868321,110.45582157209174,True,0.08505041221946241,0.13083978380721106,0_0
slc_near,slc,near,0,1050.0,430848.5574968576,4012496.888397447,1,A_0_12m,mixed_source,bluetopo_direct_2019_2020_certified,0.0,10.464405059814453,block39_sector72,124.17824001860234,124.96738997020235,107.79735204207421,True,0.1519600218949213,0.15928070219597346,0_1
slc_near,slc,near,0,1100.0,430897.0595267948,4012509.035540813,1,A_0_12m,mixed_source,bluetopo_direct_other_date,0.0,10.814929008483887,block39_sector72,127.01156821934933,125.43966976210223,108.51093957783242,True,0.1704955160603585,0.15600943324361527,0_1
slc_near,slc,near,0,1150.0,430945.56155673205,4012521.18268418,1,A_0_12m,mixed_source,bluetopo_direct_other_date,0.0,11.182833671569824,block39_sector72,127.01156821934933,115.81094879430168,110.94931295438373,True,0.14477111067438075,0.043818530376269926,0_1
slc_near,slc,near,0,1200.0,430994.06358666933,4012533.329827546,1,A_0_12m,mixed_source,bluetopo_direct_other_date,0.0,11.587724685668945,block39_sector72,127.01156821934933,114.85685200876823,113.50340514113309,True,0.11901108219105705,0.01192428426224068,0_1
slc_near,slc,near,0,1250.0,431042.56561660656,4012545.476970913,1,A_0_12m,mixed_source,bluetopo_direct_other_date,0.0,12.022027969360352,block39_sector72,119.85013472883753,114.75354461014531,120.09423480247476,True,-0.0020325711224915555,-0.04447082910444089,0_1
slc_near,slc,near,0,1300.0,431091.0676465438,4012557.6241142796,2,B_12_20m,mixed_source,bluetopo_direct_other_date,0.0782387190684134,12.42123794555664,block39_sector72,119.85013472883753,124.43841726433168,128.38620706623573,True,-0.06648745634329978,-0.030749329636845957,0_1
slc_near,slc,near,0,1350.0,431139.569676481,4012569.771257646,2,B_12_20m,mixed_source,bluetopo_direct_other_date,0.010917030567685589,12.864460945129395,block39_sector72,114.4866804479891,125.42655025465818,117.35668232860787,True,-0.02445537675121512,0.06876359970243584,0_1
slc_near,slc,near,0,1400.0,431188.07170641824,4012581.9184010127,2,B_12_20m,mixed_source,bluetopo_direct_other_date,0.0003637686431429611,13.304545402526855,block39_sector72,117.80582228695597,116.88803054666383,120.0053779411715,True,-0.018328809024657056,-0.025976730776481105,0_1
slc_near,slc,near,0,1450.0,431236.57373635547,4012594.065544379,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0003641660597232338,13.72070598602295,block39_sector72,114.4866804479891,117.90732859303797,120.27171184137976,True,-0.04809968449622004,-0.019658681265466993,0_1
slc_near,slc,near,0,1500.0,431285.07576629275,4012606.2126877457,2,B_12_20m,mixed_source,legacy_bias_corrected,0.00036429872495446266,14.139301300048828,block39_sector72,114.4866804479891,127.416225740588,132.67966903548074,True,-0.1371196410101576,-0.03967030769036062,0_1
slc_near,slc,near,0,1550.0,431333.57779623,4012618.359831112,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0003641660597232338,14.540304183959961,block39_sector72,127.01156821934926,128.78475381453632,132.84038094310023,True,-0.04387831984799595,-0.030530077524401733,0_1
slc_near,slc,near,0,1600.0,431382.0798261672,4012630.5069744787,2,B_12_20m,mixed_source,legacy_bias_corrected,0.0003641660597232338,14.912468910217285,block39_sector72,127.01156821934926,130.59885833919043,134.29508196721298,True,-0.05423514875728608,-0.027523149573898453,0_1
