acquisition_id,instrument_id,family,product,variable,role,sensor_time_utc,timestamp_original,timestamp_original_units,offset_seconds,interval_distance_seconds,observation_duration_seconds,interval_start_utc,interval_end_utc,units,value,tensor_pointer,original_sample_index,position_id,status,within_tolerance,representative_eligible,qc_flag,valid_fraction,interpretation,duplicate_status
TSX-1_record_12,FRF:8m-array,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,waveMeanDirection,nearest_context,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,,,,degree,59.10612,waves__8m-array__0a92a09b5a0f/variables/waveMeanDirection/275,275,position_3583aea1d29de6cec880ee35,qc_unknown,True,False,,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique
TSX-1_record_12,FRF:8m-array,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/8m-array/2021/FRF-ocean_waves_8m-array_202110.nc,directionalPeakSpread,nearest_context,2021-10-12T11:00:00.000003+00:00,1634036400.0000033,seconds since 1970-01-01 00:00:00,-436.6159965991974,,,,,deg,20.128492,waves__8m-array__0a92a09b5a0f/variables/directionalPeakSpread/275,275,position_3583aea1d29de6cec880ee35,qc_unknown,True,False,,1.0,Directional spread at peak frequency with cos(2*theta) circular moments,unique
TSX-1_record_12,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,waveHs,nearest_context,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,m,1.8816017,waves__waverider-26m__5f926ab212a7/variables/waveHs/512,512,position_37fdb318b6be878d58e8147c,qc_unknown,True,False,,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique
TSX-1_record_12,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,waveTp,nearest_context,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,s,11.080333,waves__waverider-26m__5f926ab212a7/variables/waveTp/512,512,position_37fdb318b6be878d58e8147c,qc_unknown,True,False,,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique
TSX-1_record_12,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,waveTm,nearest_context,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,s,7.3481846,waves__waverider-26m__5f926ab212a7/variables/waveTm/512,512,position_37fdb318b6be878d58e8147c,qc_unknown,True,False,,1.0,Period for the mean of the energy density spectrum,unique
TSX-1_record_12,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,degree,90.0,waves__waverider-26m__5f926ab212a7/variables/wavePeakDirectionPeakFrequency/512,512,position_37fdb318b6be878d58e8147c,qc_unknown,True,False,,1.0,Wave direction is from true north (MET convention),unique
TSX-1_record_12,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,waveMeanDirection,nearest_context,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,degree,35.669044,waves__waverider-26m__5f926ab212a7/variables/waveMeanDirection/512,512,position_37fdb318b6be878d58e8147c,qc_unknown,True,False,,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique
TSX-1_record_12,FRF:waverider-26m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/waverider-26m/2021/FRF-ocean_waves_waverider-26m_202110.nc,directionalPeakSpread,nearest_context,2021-10-12T11:29:59.999997+00:00,1634038199.9999967,seconds since 1970-01-01 00:00:00,1363.3839967250824,,1800,,,deg,27.858126,waves__waverider-26m__5f926ab212a7/variables/directionalPeakSpread/512,512,position_37fdb318b6be878d58e8147c,qc_unknown,True,False,,1.0,Directional spread at peak frequency with cos(2*theta) circular moments,unique
TSX-1_record_12,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveHs,nearest_context,2021-10-12T11:00:00.500001+00:00,1634036400.5000007,seconds since 1970-01-01 00:00:00,-436.11599922180176,,,,,m,1.3463658,waves__awac-11m__ac63f1b339a0/variables/waveHs/271,271,position_ba93596dde17a408396894ed,qc_unknown,True,False,,1.0,Significant wave height computed for spectral frquencies between 0.04 and 0.5 Hz,unique
TSX-1_record_12,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTp,nearest_context,2021-10-12T11:00:00.500001+00:00,1634036400.5000007,seconds since 1970-01-01 00:00:00,-436.11599922180176,,,,,s,8.639309,waves__awac-11m__ac63f1b339a0/variables/waveTp/271,271,position_ba93596dde17a408396894ed,qc_unknown,True,False,,1.0,Period of a parobolic fit to the peak of the energy density spectrum using the peak and two surrounding points.  Computed for wave periods between 2 and 25 seconds,unique
TSX-1_record_12,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveTm,nearest_context,2021-10-12T11:00:00.500001+00:00,1634036400.5000007,seconds since 1970-01-01 00:00:00,-436.11599922180176,,,,,s,7.7322707,waves__awac-11m__ac63f1b339a0/variables/waveTm/271,271,position_ba93596dde17a408396894ed,qc_unknown,True,False,,1.0,Period for the mean of the energy density spectrum,unique
TSX-1_record_12,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,wavePeakDirectionPeakFrequency,nearest_context,2021-10-12T11:00:00.500001+00:00,1634036400.5000007,seconds since 1970-01-01 00:00:00,-436.11599922180176,,,,,degree,70.0,waves__awac-11m__ac63f1b339a0/variables/wavePeakDirectionPeakFrequency/271,271,position_ba93596dde17a408396894ed,qc_unknown,True,False,,1.0,Wave direction is from true north (MET convention),unique
TSX-1_record_12,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,waveMeanDirection,nearest_context,2021-10-12T11:00:00.500001+00:00,1634036400.5000007,seconds since 1970-01-01 00:00:00,-436.11599922180176,,,,,degree,66.93762,waves__awac-11m__ac63f1b339a0/variables/waveMeanDirection/271,271,position_ba93596dde17a408396894ed,qc_unknown,True,False,,1.0,"Wave direction is from true north (MET convention), energy weighted over and computed from a1 & b1",unique
TSX-1_record_12,FRF:awac-11m,waves,https://chldata.erdc.dren.mil/thredds/dodsC/frf/oceanography/waves/awac-11m/2021/FRF-ocean_waves_awac-11m_202110.nc,directionalPeakSpread,nearest_context,2021-10-12T11:00:00.500001+00:00,1634036400.5000007,seconds since 1970-01-01 00:00:00,-436.11599922180176,,,,,deg,29.562098,waves__awac-11m__ac63f1b339a0/variables/directionalPeakSpread/271,271,position_ba93596dde17a408396894ed,qc_unknown,True,False,,1.0,Directional spread at peak frequency with cos(2*theta) circular moments,unique
