latitude,longitude,z
degrees_north,degrees_east,meters
34.55416666666666,239.3375,-36.004433
34.55416666666666,239.34583333333333,-25.577501
34.55416666666666,239.35416666666666,-20.234257
34.55416666666666,239.3625,-14.473453
34.55416666666666,239.37083333333334,-2.5
34.5625,239.3375,-27.590134
34.5625,239.34583333333333,-21.624462
34.5625,239.35416666666666,-19.410954
34.5625,239.3625,14.531025
34.5625,239.37083333333334,70.19936
34.570833333333326,239.3375,-25.49409
34.570833333333326,239.34583333333333,-21.109606
34.570833333333326,239.35416666666666,-3.226727
34.570833333333326,239.3625,62.057716
34.570833333333326,239.37083333333334,143.54523
34.579166666666666,239.3375,-25.017124
34.579166666666666,239.34583333333333,-20.671814
34.579166666666666,239.35416666666666,19.209272
34.579166666666666,239.3625,83.74933
34.579166666666666,239.37083333333334,128.94339
34.58749999999999,239.3375,-24.860455
34.58749999999999,239.34583333333333,-20.80252
34.58749999999999,239.35416666666666,10.173647
34.58749999999999,239.3625,67.41236
34.58749999999999,239.37083333333334,111.85428
