transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,bluetopo_modern_fraction,bluetopo_old_fraction,cudem_fraction,dominant_source_class,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_sector_source,sar_max_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
0,500.0,430315.035167548,4012363.269820415,False,6.680020332336426,4.746390342712402,8.459407806396484,0.7262614965438843,0.0,0.0,1.0,0.0,0.0,3,2019.0,78.53721485797067,True,,,,,,,,,,,,,,,,
0,550.0,430363.5371974852,4012375.416963781,True,7.116435527801514,5.2555108070373535,8.737196922302246,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,85.33333333333324,True,72.0,fixed,90.0,0.07569381938939197,0.074127807293858,"[0.06749515466696829, 0.07976700097005343]",0.060847236810635266,0.06994696433596319,"[0.0605922411214829, 0.08053399136399625]",0.35257703792117473,0.35263340828233275,"[0.35204859081975504, 0.3535825716076407]",94.43352463139189,86.19266766478229,104.21016056369736,86.19266766478229
0,600.0,430412.03922742244,4012387.564107148,True,7.507636547088623,5.801838397979736,8.933774948120117,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,85.33333333333324,True,72.0,fixed,90.0,0.07246347669308778,0.0696534531150703,"[0.055223308363883145, 0.07976700097005343]",0.060396939371317626,0.06848471190918652,"[0.05905826033359725, 0.07900001057611061]",0.3525272243138367,0.35204859081975504,"[0.35204859081975504, 0.35204859081975504]",96.90191753981635,88.41367775126182,106.9690366584732,88.41367775126182
0,650.0,430460.54125735967,4012399.7112505143,True,7.881446838378906,6.274287223815918,9.232802391052246,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,93.09090909090897,True,72.0,fixed,90.0,0.07073084407379619,0.06875087199876773,"[0.055223308363883145, 0.07976700097005343]",0.06511635738729851,0.06758338618974287,"[0.05752427954571161, 0.07900001057611061]",0.3523734719792211,0.35204859081975504,"[0.35204859081975504, 0.35204859081975504]",99.17588376873749,90.4568243995691,109.5138024244996,90.4568243995691
0,700.0,430509.04328729695,4012411.858393881,True,8.25158405303955,6.733748912811279,9.556114196777344,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,93.09090909090897,True,72.0,fixed,90.0,0.06908301993377479,0.06787333247073901,"[0.055223308363883145, 0.07976700097005343]",0.06403194617686608,0.06607735739797874,"[0.05752427954571161, 0.07593204900033931]",0.35213079860212343,0.35204859081975504,"[0.35204859081975504, 0.35204859081975504]",101.3486080208644,92.40611519022762,111.94843277324692,92.40611519022762
0,750.0,430557.5453172342,4012424.0055372473,True,8.56788158416748,7.126375675201416,9.844555854797363,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,102.39999999999988,True,72.0,fixed,90.0,0.05791863374985783,0.06605168616809474,"[0.042951462060798, 0.09203884727313857]",0.06369633126749684,0.06356058091625584,"[0.05138835639416904, 0.07593204900033931]",0.3519249880760175,0.3515247519830967,"[0.3505146100318694, 0.35204859081975504]",103.14791097330841,94.01815667776388,113.96706897927224,94.01815667776388
0,800.0,430606.0473471714,4012436.152680614,True,8.897221565246582,7.613226413726807,10.152106285095215,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,82.78549334573489,True,72.0,fixed,71.56505117707799,0.04715898210871668,0.054321496603770794,"[0.030679615757712858, 0.07976700097005343]",0.06281221626506367,0.062217516718161836,"[0.05138835639416904, 0.07286408742456804]",0.35166080908772424,0.35140135678322587,"[0.3505146100318694, 0.35204859081975504]",104.96671818525321,95.64543152643509,116.0100417968719,95.64543152643509
0,850.0,430654.54937710863,4012448.299823981,True,9.22199821472168,7.944701671600342,10.470978736877441,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,127.12026448932349,True,72.0,fixed,56.309932474020215,0.04529706755281479,0.048051890263425955,"[0.042951462060798, 0.055223308363883145]",0.060982352571557465,0.06189125041861992,"[0.05445631796994033, 0.06979612584879674]",0.3336408213651273,0.3342004466979488,"[0.3336408213651273, 0.335174802153013]",106.71076961116648,97.20369629961873,117.97137582915272,97.20369629961873
0,900.0,430703.05140704586,4012460.446967347,True,9.527503967285156,8.356589317321777,10.793274879455566,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,127.12026448932349,True,72.0,fixed,63.43494882292201,0.047893063233867536,0.052693545025943964,"[0.042951462060798, 0.06749515466696829]",0.060745648566345865,0.058363500978968766,"[0.05445631796994033, 0.062126221909368534]",0.3336408213651273,0.3336408213651273,"[0.3336408213651273, 0.3336408213651273]",108.30461962203626,98.6256623608493,119.76609574798172,98.6256623608493
0,950.0,430751.55343698314,4012472.594110714,True,9.832146644592285,8.648487091064453,11.115087509155273,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,119.85013472883753,True,72.0,fixed,63.43494882292201,0.052340451836566465,0.05376824306638906,"[0.042951462060798, 0.06749515466696829]",0.06016303626019073,0.05819394277666672,"[0.05445631796994033, 0.062126221909368534]",0.3336408213651273,0.3336408213651273,"[0.3336408213651273, 0.3336408213651273]",109.85314044122461,100.00526726674275,121.51188096468005,100.00526726674275
