acq_utc,product_id,mode,product_type,platform,node,beam,rel_orbit,orbit_number,pol,quality,inc_deg,inc_min,inc_max,slant_km,beta_s,eoweb_span_s,scene_azimuth_km,T_dwell_s,T_base_s,dphi_8s_deg,dphi_10s_deg,dphi_12s_deg,heading_deg,range_dir_deg,offshore_extent_km,onshore_extent_km,footprint_km,pier_in,wr17m_in,centre_lat,centre_lon,eoweb_id
2023-11-06 22:51:53,XXXXB00000000657621626817,ST,TSX-1.SAR.L1b-Staring-Spotlight,TDX-1,ASCENDING,spot_015,74,74192,HH,AUTO_APPROVED,23.25,22.771,23.718,556.5,73.2,0.391,2.75,4.74,3.08,139,111,92,349.0,79.0,4.13,-4.01,7.8x2.8,True,True,36.18275,-75.74863,TSX-1.SAR.L1b-Staring-Spotlight:/dims_nz_pl_dfd_XXXXB00000000657621626817/dims_nz_pl_dfd_//TSX-1.SAR.L0
2008-03-20 22:50:13,XXXXB00000000164719460294,SL,TSX-1.SAR.L1b-Spotlight,TSX-1,ASCENDING,spot_015,74,4249,HH,AUTO_APPROVED,23.25,22.581,23.893,556.5,73.2,1.447,10.18,0.57,0.37,17,13,11,349.0,79.0,6.98,-7.04,12.6x10.3,True,True,36.16676,-75.74252,TSX-1.SAR.L1b-Spotlight:/dims_nz_pl_dfd_XXXXB00000000164719460294/dims_op_pl_dfd_//TSX-1.SAR.L0
2008-05-13 23:07:21,XXXXB00000000168783763747,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,ASCENDING,spot_091,59,5069,"HH, VV",AUTO_APPROVED,52.51,52.389,52.636,798.0,105.0,1.117,7.85,1.63,1.06,48,38,32,351.5,81.5,3.18,-2.96,7.9x4.7,True,False,36.18334,-75.74829,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000168783763747/dims_op_pl_dfd_//TSX-1.SAR.L0
2009-08-29 23:07:31,XXXXB00000000208010608770,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,ASCENDING,spot_091,59,12250,VV,AUTO_APPROVED,52.6,52.417,52.776,799.2,105.2,0.776,5.46,1.63,1.06,48,38,32,351.5,81.5,5.85,-1.91,6.8x5.5,True,True,36.18892,-75.72875,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000208010608770/dims_op_pl_dfd_//TSX-1.SAR.L0
2010-04-28 10:57:27,XXXXB00000000230443169147,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,DESCENDING,spot_097,51,15916,VV,AUTO_APPROVED,54.11,53.934,54.275,822.9,108.3,0.754,5.3,1.68,1.09,49,39,33,188.3,278.3,4.52,-4.01,6.8x5.3,True,True,36.18683,-75.74811,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443169147/dims_op_pl_dfd_//TSX-1.SAR.L0
2010-05-09 10:57:28,XXXXB00000000230443201870,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,DESCENDING,spot_097,51,16083,HH,AUTO_APPROVED,54.1,53.930,54.272,822.8,108.3,0.773,5.44,1.68,1.09,49,39,33,188.3,278.3,4.42,-4.17,6.8x5.4,True,True,36.18772,-75.75006,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443201870/dims_op_pl_dfd_//TSX-1.SAR.L0
2010-05-14 11:06:01,XXXXB00000000230443215909,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,DESCENDING,spot_059,127,16159,VV,AUTO_APPROVED,42.6,42.342,42.858,678.6,89.3,0.753,5.29,1.39,0.9,41,32,27,189.5,279.5,4.77,-4.13,7.2x5.3,True,True,36.18679,-75.74739,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443215909/dims_op_pl_dfd_//TSX-1.SAR.L0
2010-05-15 22:59:00,XXXXB00000000230443219592,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,ASCENDING,spot_053,150,16182,HH,AUTO_APPROVED,40.34,40.040,40.642,658.1,86.6,0.757,5.32,1.35,0.87,39,31,26,350.3,80.3,4.66,-4.11,7.9x5.4,True,True,36.1864,-75.74767,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000230443219592/dims_op_pl_dfd_//TSX-1.SAR.L0
2017-05-20 11:06:39,XXXXB00000000451410323401,SL,TSX-1.SAR.L1b-Spotlight,TSX-1,DESCENDING,spot_058,127,55070,HH,OPERATOR_APPROVED,42.43,42.013,42.832,676.9,89.1,1.491,10.48,0.69,0.45,20,16,13,189.6,279.6,11.14,-3.95,11.4x10.6,True,True,36.2003,-75.71462,TSX-1.SAR.L1b-Spotlight:/dims_nz_pl_dfd_XXXXB00000000451410323401/dims_nz_pl_dfd_//TSX-1.SAR.L0
2023-10-08 11:07:28,XXXXB00000000655038330281,HS,TSX-1.SAR.L1b-High-Resolution-Spotlight,TSX-1,DESCENDING,spot_058,127,90474,VV,AUTO_APPROVED,42.38,42.119,42.643,676.5,89.0,0.741,5.21,1.38,0.9,40,32,27,189.6,279.6,7.12,-1.7,7.2x5.2,True,False,36.1744,-75.71344,TSX-1.SAR.L1b-High-Resolution-Spotlight:/dims_nz_pl_dfd_XXXXB00000000655038330281/dims_nz_pl_dfd_//TSX-1.SAR.L0
