uuid,name,acquisition_key,start_utc,end_utc,bytes,online,relative_orbit,orbit_direction,marine_screening_fraction,range_edge_proxy_axial_deg,local_range_deg,local_incidence_deg,technical_status,geometry_status,waverider-17m__waveHs,waverider-17m__waveHs__offset_s,waverider-17m__waveHs__time_utc,waverider-17m__waveTp,waverider-17m__waveTp__offset_s,waverider-17m__waveTp__time_utc,waverider-17m__waveTm,waverider-17m__waveTm__offset_s,waverider-17m__waveTm__time_utc,waverider-17m__waveMeanDirectionPeakFrequency,waverider-17m__waveMeanDirectionPeakFrequency__offset_s,waverider-17m__waveMeanDirectionPeakFrequency__time_utc,waverider-17m__wavePeakDirectionPeakFrequency,waverider-17m__wavePeakDirectionPeakFrequency__offset_s,waverider-17m__wavePeakDirectionPeakFrequency__time_utc,waverider-17m__directionalPeakSpread,waverider-17m__directionalPeakSpread__offset_s,waverider-17m__directionalPeakSpread__time_utc,waverider-17m__direction_estimator,waverider-17m__peak_toward_deg,waverider-17m__axial_delta_footprint_proxy_deg,waverider-17m__reference_status,waverider-17m__nearest_raw_gt_60min,awac-11m__waveHs,awac-11m__waveHs__offset_s,awac-11m__waveHs__time_utc,awac-11m__waveTp,awac-11m__waveTp__offset_s,awac-11m__waveTp__time_utc,awac-11m__waveTm,awac-11m__waveTm__offset_s,awac-11m__waveTm__time_utc,awac-11m__waveMeanDirectionPeakFrequency,awac-11m__waveMeanDirectionPeakFrequency__offset_s,awac-11m__waveMeanDirectionPeakFrequency__time_utc,awac-11m__wavePeakDirectionPeakFrequency,awac-11m__wavePeakDirectionPeakFrequency__offset_s,awac-11m__wavePeakDirectionPeakFrequency__time_utc,awac-11m__directionalPeakSpread,awac-11m__directionalPeakSpread__offset_s,awac-11m__directionalPeakSpread__time_utc,awac-11m__direction_estimator,awac-11m__peak_toward_deg,awac-11m__axial_delta_footprint_proxy_deg,awac-11m__reference_status,awac-11m__nearest_raw_gt_60min,reference_spectra_available,spectral_scope,currents_status,local_geometry_status,roi_contained_in_catalogue_footprint,catalogue_roi_boundary_margin_approx_m,catalogue_margin_scope,reference_is_local_truth,waverider-17m__roi_min_distance_m,waverider-17m__roi_center_distance_m,waverider-17m__position_status,awac-11m__roi_min_distance_m,awac-11m__roi_center_distance_m,awac-11m__position_status,FRF:derived__windSpeed,FRF:derived__windSpeed__offset_s,FRF:derived__windSpeed__qc,FRF:derived__windSpeed__source,FRF:derived__windDirection,FRF:derived__windDirection__offset_s,FRF:derived__windDirection__qc,FRF:derived__windDirection__source,FRF:derived__gaugeElevation,FRF:derived__gaugeElevation__offset_s,FRF:derived__gaugeElevation__qc,FRF:derived__gaugeElevation__source,water_level_reference_datum,water_level_source_caveat,water_level_context_m,water_level_context_offset_s,water_level_context_qc_status,water_level_context_NOT_representative,wind_averaging_definition,wind_elevation_definition,waverider-17m__Hm0_m,waverider-17m__f_peak_bin_hz,waverider-17m__T_peak_bin_s,waverider-17m__half_max_width_hz,waverider-17m__half_max_energy_fraction,waverider-17m__valid_bin_fraction,awac-11m__Hm0_m,awac-11m__f_peak_bin_hz,awac-11m__T_peak_bin_s,awac-11m__half_max_width_hz,awac-11m__half_max_energy_fraction,awac-11m__valid_bin_fraction
8f977b0b-e9d0-5be4-8838-bd7b68abe0a4,S1A_IW_SLC__1SDV_20211004T230610_20211004T230638_039976_04BB45_8966.SAFE,S1A|039976|04BB45,2021-10-04T23:06:10.527000Z,2021-10-04T23:06:38.425000Z,8058096575,True,4,ASCENDING,0.0,80.78593627031273,,,AOI intersection but selected marine area absent,conditional: catalogue footprint is not burst valid support,0.6021346,-370.5269966125488,2021-10-04T23:00:00.000003+00:00,10.471204,-370.5269966125488,2021-10-04T23:00:00.000003+00:00,7.888412,-370.5269966125488,2021-10-04T23:00:00.000003+00:00,86.02917,-370.5269966125488,2021-10-04T23:00:00.000003+00:00,90.0,-370.5269966125488,2021-10-04T23:00:00.000003+00:00,27.809208,-370.5269966125488,2021-10-04T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,266.02917,5.24323372968729,QC-checked event scalars; not automatically local truth,False,0.59333867,-370.0269992351532,2021-10-04T23:00:00.500001+00:00,10.958904,-370.0269992351532,2021-10-04T23:00:00.500001+00:00,8.581391,-370.0269992351532,2021-10-04T23:00:00.500001+00:00,93.16989,-370.0269992351532,2021-10-04T23:00:00.500001+00:00,95.0,-370.0269992351532,2021-10-04T23:00:00.500001+00:00,23.839045,-370.0269992351532,2021-10-04T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,273.16989,12.383953729687278,QC-checked event scalars; not automatically local truth,False,,"not a finalist; pass-A QC bulk kept, pass-B intentionally not expanded",profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1d1d660-87fc-5790-9275-8df4034e8d82,S1A_IW_SLC__1SDV_20211004T230636_20211004T230703_039976_04BB45_074A.SAFE,S1A|039976|04BB45,2021-10-04T23:06:36.304000Z,2021-10-04T23:07:03.252000Z,7799658854,True,4,ASCENDING,1.0,80.87276603868156,,,catalogue marine coverage,conditional: catalogue footprint is not burst valid support,0.6021346,-396.30399656295776,2021-10-04T23:00:00.000003+00:00,10.471204,-396.30399656295776,2021-10-04T23:00:00.000003+00:00,7.888412,-396.30399656295776,2021-10-04T23:00:00.000003+00:00,86.02917,-396.30399656295776,2021-10-04T23:00:00.000003+00:00,90.0,-396.30399656295776,2021-10-04T23:00:00.000003+00:00,27.809208,-396.30399656295776,2021-10-04T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,266.02917,5.1564039613184605,QC-checked event scalars; not automatically local truth,False,0.59333867,-395.80399918556213,2021-10-04T23:00:00.500001+00:00,10.958904,-395.80399918556213,2021-10-04T23:00:00.500001+00:00,8.581391,-395.80399918556213,2021-10-04T23:00:00.500001+00:00,93.16989,-395.80399918556213,2021-10-04T23:00:00.500001+00:00,95.0,-395.80399918556213,2021-10-04T23:00:00.500001+00:00,23.839045,-395.80399918556213,2021-10-04T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,273.16989,12.297123961318448,QC-checked event scalars; not automatically local truth,False,2,,profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",True,18809.546571519557,local cylindrical equal-area distance approximation; NOT valid burst/pixel margin,False,2980.8573650841136,3272.836478819008,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,452.6904598262196,732.4036180061787,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,6.255166,203.69600796699524,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,188.50595,203.69600796699524,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,19.64,203.69600796699524,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,NAVD88,"source says NOAA preliminary, possibly substitute gauges; archive QA and dataSource not resolved",0.487,-36.30399799346924,qc_unknown,True,10-minute source mean; timestamp anchor unresolved,"gaugeElevation above NAVD88, not corrected to 10 m or instantaneous water",0.6021345668303721,0.0925,10.81081081081081,0.022500000000000006,0.30176098741745566,1.0,0.593338696348047,0.0925,10.81081081081081,0.022500000000000006,0.44544657468833104,1.0
d982f98d-9739-5a03-aa42-27407da87d7e,S1A_IW_SLC__1SDV_20211011T225806_20211011T225835_040078_04BEC7_8ADC.SAFE,S1A|040078|04BEC7,2021-10-11T22:58:06.126000Z,2021-10-11T22:58:35.946000Z,8501409069,True,106,ASCENDING,1.0,80.82480928519306,,,catalogue marine coverage,conditional: catalogue footprint is not burst valid support,2.110663,113.87400341033936,2021-10-11T23:00:00.000003+00:00,8.826125,113.87400341033936,2021-10-11T23:00:00.000003+00:00,6.6751733,113.87400341033936,2021-10-11T23:00:00.000003+00:00,71.96895,113.87400341033936,2021-10-11T23:00:00.000003+00:00,65.0,113.87400341033936,2021-10-11T23:00:00.000003+00:00,26.64921,113.87400341033936,2021-10-11T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,251.96895,8.855859285193048,QC-checked event scalars; not automatically local truth,False,1.858859,114.37400078773499,2021-10-11T23:00:00.500001+00:00,8.96861,114.37400078773499,2021-10-11T23:00:00.500001+00:00,6.5867643,114.37400078773499,2021-10-11T23:00:00.500001+00:00,78.81856,114.37400078773499,2021-10-11T23:00:00.500001+00:00,80.0,114.37400078773499,2021-10-11T23:00:00.500001+00:00,24.352789,114.37400078773499,2021-10-11T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,258.81856,2.0062492851930642,QC-checked event scalars; not automatically local truth,False,2,,profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",True,37076.76727105525,local cylindrical equal-area distance approximation; NOT valid burst/pixel margin,False,2980.8573650841136,3272.836478819008,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,452.6904598262196,732.4036180061787,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,11.878743,113.87400341033936,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,349.229,113.87400341033936,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,19.64,113.87400341033936,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,NAVD88,"source says NOAA preliminary, possibly substitute gauges; archive QA and dataSource not resolved",0.121,113.87400341033936,qc_unknown,True,10-minute source mean; timestamp anchor unresolved,"gaugeElevation above NAVD88, not corrected to 10 m or instantaneous water",2.1106629509800943,0.115,8.695652173913043,0.0975,0.6424932477644664,1.0,1.8588589316997672,0.1075,9.30232558139535,0.07499999999999998,0.5187540415860523,1.0
db17b490-500c-59d0-8323-31cc8b0f9db7,S1A_IW_SLC__1SDV_20211016T230610_20211016T230638_040151_04C151_B727.SAFE,S1A|040151|04C151,2021-10-16T23:06:10.666000Z,2021-10-16T23:06:38.564000Z,8058078612,True,4,ASCENDING,0.0,80.7849637126987,,,AOI intersection but selected marine area absent,conditional: catalogue footprint is not burst valid support,0.6408051,-370.6659965515137,2021-10-16T23:00:00.000003+00:00,9.756098,-370.6659965515137,2021-10-16T23:00:00.000003+00:00,6.343925,-370.6659965515137,2021-10-16T23:00:00.000003+00:00,95.87495,-370.6659965515137,2021-10-16T23:00:00.000003+00:00,105.0,-370.6659965515137,2021-10-16T23:00:00.000003+00:00,30.41737,-370.6659965515137,2021-10-16T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,275.87495,15.089986287301315,QC-checked event scalars; not automatically local truth,False,0.52016294,-370.16599917411804,2021-10-16T23:00:00.500001+00:00,10.869565,-370.16599917411804,2021-10-16T23:00:00.500001+00:00,7.6714096,-370.16599917411804,2021-10-16T23:00:00.500001+00:00,94.42913,-370.16599917411804,2021-10-16T23:00:00.500001+00:00,85.0,-370.16599917411804,2021-10-16T23:00:00.500001+00:00,32.20159,-370.16599917411804,2021-10-16T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,274.42913,13.644166287301289,QC-checked event scalars; not automatically local truth,False,,"not a finalist; pass-A QC bulk kept, pass-B intentionally not expanded",profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8c0eeb27-1c9a-53e8-9bd2-846811270477,S1A_IW_SLC__1SDV_20211016T230636_20211016T230703_040151_04C151_B6DA.SAFE,S1A|040151|04C151,2021-10-16T23:06:36.442000Z,2021-10-16T23:07:03.391000Z,7799669666,True,4,ASCENDING,1.0,80.87189145327034,,,catalogue marine coverage,conditional: catalogue footprint is not burst valid support,0.6408051,-396.44199657440186,2021-10-16T23:00:00.000003+00:00,9.756098,-396.44199657440186,2021-10-16T23:00:00.000003+00:00,6.343925,-396.44199657440186,2021-10-16T23:00:00.000003+00:00,95.87495,-396.44199657440186,2021-10-16T23:00:00.000003+00:00,105.0,-396.44199657440186,2021-10-16T23:00:00.000003+00:00,30.41737,-396.44199657440186,2021-10-16T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,275.87495,15.003058546729676,QC-checked event scalars; not automatically local truth,False,0.52016294,-395.9419991970062,2021-10-16T23:00:00.500001+00:00,10.869565,-395.9419991970062,2021-10-16T23:00:00.500001+00:00,7.6714096,-395.9419991970062,2021-10-16T23:00:00.500001+00:00,94.42913,-395.9419991970062,2021-10-16T23:00:00.500001+00:00,85.0,-395.9419991970062,2021-10-16T23:00:00.500001+00:00,32.20159,-395.9419991970062,2021-10-16T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,274.42913,13.55723854672965,QC-checked event scalars; not automatically local truth,False,2,,profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",True,18829.867572927524,local cylindrical equal-area distance approximation; NOT valid burst/pixel margin,False,2980.8573650841136,3272.836478819008,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,452.6904598262196,732.4036180061787,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,6.9149995,203.55800795555115,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,191.45651,203.55800795555115,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,19.64,203.55800795555115,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,NAVD88,"source says NOAA preliminary, possibly substitute gauges; archive QA and dataSource not resolved",0.481,-36.44199800491333,qc_unknown,True,10-minute source mean; timestamp anchor unresolved,"gaugeElevation above NAVD88, not corrected to 10 m or instantaneous water",0.6408050881258669,0.1,10.0,0.022500000000000006,0.21976472459437266,1.0,0.5201629698031185,0.0925,10.81081081081081,0.022500000000000006,0.28125653237976217,1.0
2ce151c3-c6f7-5d3a-a22e-84f87985d8a6,S1A_IW_SLC__1SDV_20211023T225806_20211023T225836_040253_04C4E1_1776.SAFE,S1A|040253|04C4E1,2021-10-23T22:58:06.218000Z,2021-10-23T22:58:36.044000Z,8501163571,True,106,ASCENDING,1.0,80.82594198808869,,,catalogue marine coverage,conditional: catalogue footprint is not burst valid support,0.514624,113.78200340270996,2021-10-23T23:00:00.000003+00:00,14.38849,113.78200340270996,2021-10-23T23:00:00.000003+00:00,7.7138395,113.78200340270996,2021-10-23T23:00:00.000003+00:00,73.372284,113.78200340270996,2021-10-23T23:00:00.000003+00:00,75.0,113.78200340270996,2021-10-23T23:00:00.000003+00:00,31.137657,113.78200340270996,2021-10-23T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,253.37228399999998,7.4536579880887075,QC-checked event scalars; not automatically local truth,False,0.48496813,114.28200078010559,2021-10-23T23:00:00.500001+00:00,13.42282,114.28200078010559,2021-10-23T23:00:00.500001+00:00,10.510661,114.28200078010559,2021-10-23T23:00:00.500001+00:00,77.13452,114.28200078010559,2021-10-23T23:00:00.500001+00:00,75.0,114.28200078010559,2021-10-23T23:00:00.500001+00:00,29.68084,114.28200078010559,2021-10-23T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,257.13452,3.6914219880886776,QC-checked event scalars; not automatically local truth,False,2,,profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",True,37046.132855399956,local cylindrical equal-area distance approximation; NOT valid burst/pixel margin,False,2980.8573650841136,3272.836478819008,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,452.6904598262196,732.4036180061787,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,3.0338333,113.78200340270996,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,53.454346,113.78200340270996,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,19.64,113.78200340270996,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,NAVD88,"source says NOAA preliminary, possibly substitute gauges; archive QA and dataSource not resolved",-0.063,113.78200340270996,qc_unknown,True,10-minute source mean; timestamp anchor unresolved,"gaugeElevation above NAVD88, not corrected to 10 m or instantaneous water",0.5146239679688461,0.07,14.285714285714285,0.022500000000000006,0.24699304926797266,1.0,0.4849681074998644,0.07,14.285714285714285,0.022499999999999992,0.4681124188372319,1.0
c50e8065-702c-538b-b5d6-3e4399d68698,S1A_IW_SLC__1SDV_20211028T230610_20211028T230638_040326_04C765_FE0D.SAFE,S1A|040326|04C765,2021-10-28T23:06:10.569000Z,2021-10-28T23:06:38.444000Z,8058042603,True,4,ASCENDING,0.0,80.78443473049703,,,AOI intersection but selected marine area absent,conditional: catalogue footprint is not burst valid support,1.7103801,-370.56899666786194,2021-10-28T23:00:00.000003+00:00,11.396011,-370.56899666786194,2021-10-28T23:00:00.000003+00:00,8.398706,-370.56899666786194,2021-10-28T23:00:00.000003+00:00,66.34158,-370.56899666786194,2021-10-28T23:00:00.000003+00:00,70.0,-370.56899666786194,2021-10-28T23:00:00.000003+00:00,23.245344,-370.56899666786194,2021-10-28T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,246.34158,14.442854730497032,QC-checked event scalars; not automatically local truth,False,1.717457,-370.0689992904663,2021-10-28T23:00:00.500001+00:00,10.869565,-370.0689992904663,2021-10-28T23:00:00.500001+00:00,8.675288,-370.0689992904663,2021-10-28T23:00:00.500001+00:00,66.40836,-370.0689992904663,2021-10-28T23:00:00.500001+00:00,70.0,-370.0689992904663,2021-10-28T23:00:00.500001+00:00,24.212297,-370.0689992904663,2021-10-28T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,246.40836000000002,14.37607473049701,QC-checked event scalars; not automatically local truth,False,,"not a finalist; pass-A QC bulk kept, pass-B intentionally not expanded",profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c49a9c1f-9b00-5676-ab05-683975d898a2,S1A_IW_SLC__1SDV_20211028T230636_20211028T230703_040326_04C765_B6FA.SAFE,S1A|040326|04C765,2021-10-28T23:06:36.323000Z,2021-10-28T23:07:03.267000Z,7799368890,True,4,ASCENDING,1.0,80.87116662500057,,,catalogue marine coverage,conditional: catalogue footprint is not burst valid support,1.7103801,-396.3229966163635,2021-10-28T23:00:00.000003+00:00,11.396011,-396.3229966163635,2021-10-28T23:00:00.000003+00:00,8.398706,-396.3229966163635,2021-10-28T23:00:00.000003+00:00,66.34158,-396.3229966163635,2021-10-28T23:00:00.000003+00:00,70.0,-396.3229966163635,2021-10-28T23:00:00.000003+00:00,23.245344,-396.3229966163635,2021-10-28T23:00:00.000003+00:00,waveMeanDirectionPeakFrequency,246.34158,14.529586625000576,QC-checked event scalars; not automatically local truth,False,1.717457,-395.8229992389679,2021-10-28T23:00:00.500001+00:00,10.869565,-395.8229992389679,2021-10-28T23:00:00.500001+00:00,8.675288,-395.8229992389679,2021-10-28T23:00:00.500001+00:00,66.40836,-395.8229992389679,2021-10-28T23:00:00.500001+00:00,70.0,-395.8229992389679,2021-10-28T23:00:00.500001+00:00,24.212297,-395.8229992389679,2021-10-28T23:00:00.500001+00:00,waveMeanDirectionPeakFrequency,246.40836000000002,14.462806625000553,QC-checked event scalars; not automatically local truth,False,2,,profile query timeout; no wave-effective current inferred,"annotation inventory public, XML content requires CDSE authentication; not verified",True,18729.68069500234,local cylindrical equal-area distance approximation; NOT valid burst/pixel margin,False,2980.8573650841136,3272.836478819008,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,452.6904598262196,732.4036180061787,dated_product_coordinates_nominal_not_proven_measured; conflicting_nominal_metadata,8.969828,203.67700791358948,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,56.011242,203.67700791358948,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,19.64,203.67700791358948,1.0,https://chldata.erdc.dren.mil/thredds/dodsC/frf/meteorology/wind/derived/2021/FRF-met_wind_derived_202110.nc,NAVD88,"source says NOAA preliminary, possibly substitute gauges; archive QA and dataSource not resolved",0.235,-36.322998046875,qc_unknown,True,10-minute source mean; timestamp anchor unresolved,"gaugeElevation above NAVD88, not corrected to 10 m or instantaneous water",1.7103800078812894,0.085,11.76470588235294,0.03,0.3837608750061826,1.0,1.7174570466943269,0.0925,10.81081081081081,0.022500000000000006,0.36242754233770336,1.0
