row,col,kx_rad_m,ky_rad_m,k_rad_m,wavelength_m,angle_from_parallel_deg,vector_bearing_grid_north_deg,power,relative_power,endpoint_MSC,min_adjacent_MSC,fixed_diagnostic,pre_coherence_candidate,common_candidate,common_exclusions,evaluated,s_phi_A,s_phi_B,s_phi_C,A_valid,B_valid,C_valid,intersection,A_rmse,A_R2,A_max_step,A_unwrap_valid,reference_slope_span,telescoping_error,B_rms,C_rms,B_ambiguous,C_ambiguous,B_boundary,C_boundary,delta_B_A,delta_C_A,A_exclusions,B_exclusions,C_exclusions,lag1_s_phi,lag1_valid,lag1_ambiguous,lag2_s_phi,lag2_valid,lag2_ambiguous,lag4_s_phi,lag4_valid,lag4_ambiguous,lag8_s_phi,lag8_valid,lag8_ambiguous
110,66,-0.148352986419518,0.00966643893412244,0.1486675775724378,42.26331934491988,176.27197030363197,256.107694003632,40072.61083562639,0.02326782430477539,0.1508682995883981,0.023547466654612235,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,67,-0.148352986419518,0.01933287786824488,0.14960738199119109,41.99782940890939,172.57524221406246,252.41096591406244,24002.81893016159,0.013937034848495832,0.09955304027373997,0.04555644283734405,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,68,-0.148352986419518,0.02899931680236732,0.1511607388001056,41.56625164083411,168.93956855956432,248.7752922595643,25059.991092657074,0.014550872969444406,0.15097517551475179,0.000791574281706683,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,69,-0.148352986419518,0.03866575573648976,0.15330899923443367,40.98379963704286,165.39179132734222,245.22751502734224,25708.555737843635,0.014927456573552218,0.07580128974023126,6.533691976665753e-06,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,70,-0.148352986419518,0.04833219467061221,0.15602759249974874,40.2697061879597,161.95481237239605,241.79053607239604,19690.402480818,0.011433066522500398,0.12737464478945004,0.02066194264241554,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,59,-0.1439896632895322,-0.05799863360473464,0.15523164830101208,40.476187529721805,-158.06056192132436,281.7751617786756,54761.51406507346,0.03179681237032877,0.5982759813589166,0.03414497650993096,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,60,-0.1439896632895322,-0.04833219467061221,0.1518849043714049,41.368069678704096,-161.44493441486804,278.390789285132,42374.38764542002,0.024604331641888293,0.24682837669806582,0.0034017741940084857,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,61,-0.1439896632895322,-0.03866575573648976,0.1490907904630824,42.14334961712754,-164.96887739825212,274.8668463017479,112951.46708829905,0.06558431897431125,0.30286721380521286,0.01423464491861673,False,True,True,,True,0.03464971921872722,0.5056833339321729,0.670810112693635,False,False,False,False,1.6113046535454545,0.019183006110068734,2.935620623964965,False,6.938893903907228e-18,8.881784197001252e-16,1.4546943338589235,1.5537949849884327,False,False,False,False,0.4710336147134457,0.6361603934749078,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.5056833339321729,False,False,0.082902618164329,False,False,3.061006239174737,False,True,2.9078647189327578,False,True
111,62,-0.1439896632895322,-0.02899931680236732,0.1468808480001287,42.7774307728267,-168.6130364087552,271.2226872912448,36043.85635670539,0.02092856191513166,0.3962343567040731,0.006606661964306412,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,63,-0.1439896632895322,-0.01933287786824488,0.14528173767167477,43.24828025790198,-172.3528735651008,267.4828501348992,81244.60100265732,0.04717399396798898,0.5350031049376744,0.003048348631211248,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,64,-0.1439896632895322,-0.00966643893412244,0.1443137664115935,43.53836410352896,-176.1593328630089,263.6763908369911,33166.9989898158,0.019258138891354665,0.566176835626384,0.018508024583646483,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,65,-0.1439896632895322,0.0,0.1439896632895322,43.63636363636363,180.0,259.8357237,48605.74112446686,0.028222514607958223,0.21515960191516864,0.03164944691621243,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,66,-0.1439896632895322,0.00966643893412244,0.1443137664115935,43.53836410352896,176.1593328630089,255.99505656300892,33042.1290675748,0.019185634221679602,0.28367975667054274,0.012294645320888756,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,67,-0.1439896632895322,0.01933287786824488,0.14528173767167477,43.24828025790198,172.3528735651008,252.18859726510078,26913.335179593167,0.015627001619209966,0.05469102351848647,0.0255048831510383,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,68,-0.1439896632895322,0.02899931680236732,0.1468808480001287,42.7774307728267,168.6130364087552,248.4487601087552,27865.38200930842,0.01617979960021995,0.014909310924197753,0.008348256170701018,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,69,-0.1439896632895322,0.03866575573648976,0.1490907904630824,42.14334961712754,164.96887739825212,244.80460109825214,25035.408693235393,0.014536599406060186,0.0919206863663065,0.0067545896622016,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,70,-0.1439896632895322,0.04833219467061221,0.1518849043714049,41.368069678704096,161.44493441486804,241.28065811486806,23948.688054545695,0.013905604211034733,0.12423012132546599,0.005232116916294156,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,71,-0.1439896632895322,0.05799863360473464,0.15523164830101208,40.476187529721805,158.06056192132436,237.89628562132435,18720.79481237877,0.010870071988244858,0.17341017237183678,0.0005915866103187386,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,58,-0.13962634015954636,-0.06766507253885708,0.15515823184104072,40.49533970983052,-154.14445781119667,285.69126588880334,53643.463436414255,0.03114762568024273,0.19992502459036826,0.12483460060637212,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,59,-0.13962634015954636,-0.05799863360473464,0.1511931095201286,41.55735223067884,-157.44275336529435,282.39297033470564,101559.73780467788,0.05896980721748778,0.4834067736338526,0.09936773546348175,False,True,True,,True,0.7108929928420998,0.9726216302298906,0.974896370588939,False,False,False,False,2.2546475898506984,0.8078662101166998,2.7412778698235094,False,1.1102230246251565e-16,0.0,1.224148881978708,1.2005532472035465,False,False,False,False,0.26172863738779073,0.26400337774683913,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.9726216302298906,False,False,1.0295765891617796,False,False,-1.2870524556318448,False,True,-2.3671225361722708,False,True
112,60,-0.13962634015954636,-0.04833219467061221,0.14775491838861846,42.52437330481162,-160.9065079995144,278.9292157004856,143381.37646910793,0.0832531898144767,0.2684978989454185,0.0036133682418757126,False,True,True,,True,0.8071603931729664,0.8053026304796462,0.9519367708899927,False,False,False,False,1.1235744632546734,0.9561928539534202,2.8755432150554676,False,2.220446049250313e-16,3.552713678800501e-15,0.8445526585344957,1.2009180736138323,False,False,False,False,-0.001857762693320164,0.14477637771702634,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.8053026304796462,False,False,0.8158985948459272,False,False,3.160037906907606,False,True,-0.13009236779751843,False,True
112,61,-0.13962634015954636,-0.03866575573648976,0.14488117729029965,43.367850984465115,-164.52136183458165,275.31436186541833,109487.63818911005,0.06357307586917071,0.29465910467130796,0.021663087191532752,False,True,True,,True,0.8694311157027506,0.7934008034608766,0.8288235854593364,False,False,False,False,0.7881777657975041,0.9809394410904096,2.5107696211188077,True,0.0,0.0,0.8573993237234266,1.0984253089887557,False,False,False,False,-0.07603031224187395,-0.040607530243414125,high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,0.7934008034608766,False,False,0.7687083326783697,False,False,3.0493858593182868,False,True,3.066370604352016,False,True
112,62,-0.13962634015954636,-0.02899931680236732,0.1426060140434246,44.05974985926126,-168.26691584358775,271.56880785641226,102410.44911446526,0.05946376558150383,0.22341141771234313,0.03835183977194693,False,True,True,,True,0.961575965750503,1.055031345359404,0.9272021021309974,False,False,False,False,0.8244611953156986,0.9829154000934655,3.024727939555145,False,0.0,3.552713678800501e-15,1.1302301512190054,0.9867310514133868,False,False,False,False,0.09345537960890105,-0.03437386361950556,large_wrapped_step;high_unwrapped_RMSE,high_circular_RMS,high_circular_RMS,1.055031345359404,False,False,0.8788947642679127,False,False,3.144924302265892,False,True,0.9330869101414129,False,True
112,63,-0.13962634015954636,-0.01933287786824488,0.14095841597087355,44.574744004486334,-172.11686068327026,267.71886301672976,70366.33679425313,0.04085762138671844,0.21585638807286972,0.006751558953288237,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,64,-0.13962634015954636,-0.00966643893412244,0.13996054768404012,44.89254587202552,-176.03968816954162,263.79603553045837,38055.76368753102,0.022096758978286866,0.2366518718539044,0.008159849559799174,False,False,False,below_power_or_outside_canonical_band_or_zero,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,65,-0.13962634015954636,0.0,0.13962634015954636,45.0,180.0,259.8357237,48991.1800806609,0.028446316494731363,0.014223424658433374,0.00602923764352149,False,False,False,below_power_or_outside_canonical_band_or_zero;low_endpoint_MSC,False,,,,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
