phase,case,replicate,transfer,gain,selected,recovered,s1_hat,s2_hat,s1_true,s2_true,separation_true,tolerance,alternatives,boundary
calibration,single_geometry,8,geometry,-0.0136684899048658,False,False,0.1333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,19,False
calibration,single_geometry,9,constant,-0.08493895018493003,False,False,0.06666666666666665,0.3999999999999999,0.4,0.4,0.0,0.0,13,False
calibration,single_geometry,9,geometry,-0.020559791017201734,False,False,0.06666666666666665,0.3999999999999999,0.4,0.4,0.0,0.0,7,False
calibration,single_geometry,10,constant,-0.006866272739289414,False,False,0.1333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,59,False
calibration,single_geometry,10,geometry,-0.0053244515973669415,False,False,0.33333333333333326,0.3999999999999999,0.4,0.4,0.0,0.0,61,False
calibration,single_geometry,11,constant,0.009560496787908379,False,False,0.1333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,9,False
calibration,single_geometry,11,geometry,-0.010616766588934512,False,False,0.1333333333333333,0.3999999999999999,0.4,0.4,0.0,0.0,21,False
calibration,static_offset,0,constant,0.0,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,0,geometry,0.016410980107053108,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,1,constant,-2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,1,geometry,-0.0039348672407972796,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,2,constant,3.3306690738754696e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,2,geometry,0.009806222907722373,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,3,constant,2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,3,geometry,0.010092687699629899,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,4,constant,-2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,4,geometry,-0.00449700914293949,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,5,constant,-2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,5,geometry,-0.0010925080696386757,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,6,constant,0.0,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,6,geometry,0.009434138459276098,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,7,constant,-2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,7,geometry,-0.01599351960137163,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,8,constant,-2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,8,geometry,-0.018893995979517575,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,9,constant,1.1102230246251565e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,9,geometry,0.01936502458678857,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,10,constant,-2.220446049250313e-16,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,10,geometry,0.0044681626576111855,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,11,constant,-0.048197597395844616,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
calibration,static_offset,11,geometry,0.007691239314361331,False,False,0.0,0.3999999999999999,0.4,0.4,0.0,0.0,1,False
