step,path,look_count,time_start_s,time_stop_s,slope_rad_s,slope_se_rad_s,period_s,intercept_rad,r_squared,residual_rmse_rad,min_adjacent_patch_msc,mean_coefficient_amplitude,amplitude_cv,note
A,SICD,11,3.242899386518952,14.832257263168495,-0.3509722055168202,0.0048444493640964655,17.902230457045317,1.125810002490738,0.9982882440018105,0.05322565472149437,0.9726467076136279,not comparable from frozen normalized crop,not reported,frozen historical
A,BP12,32,0.35534731021679306,22.191503827842272,-0.4120656492031189,not reported historically,15.248020113616473,stored phase referenced to middle look,0.994455797996389,0.20009464962460927,historical corrected coherence reported separately,not comparable,not reported,exact frozen result on canonical conjugate lobe
B,SICD,11,3.242899386518952,14.832257263168495,-0.3509722055168202,0.0048444493640964655,17.902230457045317,1.125810002490738,0.9982882440018105,0.05322565472149437,0.9726467076136279,not comparable,not reported,unchanged; its looks lie in common aperture
B,BP12,26,0.35534731021679306,17.96512155868652,-0.407298559038908,0.006762962455499183,15.42648548034606,-0.040731704066724266,0.9934265222408689,0.17503024563754985,0.8951791895787821,1437.7873775828027,0.3053649152109313,BP12 fixed single coefficient; centres inside common aperture
C,SICD,3,3.242899386518952,14.832257263168495,-0.4034621735563052,0.02768324868852528,15.57317071832692,1.2157534489843975,0.9953141472425642,0.1309787392117437,0.8839916005854761,1174.8969662414509,0.1355591250865929,common ground ROI/spatial processing; native 3 broad looks
C,BP12,26,0.35534731021679306,17.96512155868652,-0.4004843512648546,0.006098727618569489,15.688965841824595,-0.02498638153319355,0.9944651205035024,0.15783937884894503,0.8951791895787821,390.50223262580243,0.2568816182603201,common ground ROI/spatial processing; native disjoint looks
D,SICD,3,3.242899386518952,14.832257263168495,-0.4034621735563052,0.02768324868852528,15.57317071832692,1.2157534489843975,0.9953141472425642,0.1309787392117437,0.8839916005854761,1174.8969662414509,0.1355591250865929,three fixed existing Tukey subbands
D,BP12,3,3.233516233949308,14.8421374223437,-0.4036849680632865,0.049945430410208984,15.564575855582907,1.1379636317048378,0.9849232151185977,0.23670137186543627,0.8364591980116024,44.864849651152305,0.27110613056434696,three kernel-projected coherent combinations
E,SICD,3,3.242899386518952,14.832257263168495,-0.4034621735563052,0.02768324868852528,15.57317071832692,1.2157534489843975,0.9953141472425642,0.1309787392117437,0.8839916005854761,1174.8969662414509,0.1355591250865929,residual formation-path comparison
E,BP12,3,3.233516233949308,14.8421374223437,-0.4036849680632865,0.049945430410208984,15.564575855582907,1.1379636317048378,0.9849232151185977,0.23670137186543627,0.8364591980116024,44.864849651152305,0.27110613056434696,residual formation-path comparison
