scale,correlation_s,partition,replicate,error,gain,improved_folds,stable,category,slope_span,offset_ratio_cv,offset_ratio,delta_s
0,0,primary,0,,-0.01682065136248867,2,True,no_predictive_advantage,0.020025113482491363,0.15024068300588006,0.10632351272554028,-0.0001549695237902382
0,0,primary,1,,-0.13951157475676634,0,False,no_predictive_advantage,0.02008005966162041,0.5154277163260021,0.02044735977050099,5.010680511752241e-05
0,0,primary,2,,-0.2813953788449375,0,True,no_predictive_advantage,0.015956050851516246,0.4373966933412726,0.02874474137894454,-0.00028678063286008415
0,0,primary,3,,-0.3098100229789522,1,True,no_predictive_advantage,0.04302111093353134,0.29443047555085644,0.10306159117358979,9.435545370506393e-05
0,0,primary,4,,-0.10115125635119648,0,False,no_predictive_advantage,0.009839476680259862,0.5040645730536252,0.010539084981466985,7.117649882465438e-05
0,0,primary,5,,-0.26342488599219505,0,False,no_predictive_advantage,0.016582362127518624,0.7369664840542437,0.0061419041306585275,-3.6528131930890773e-06
0,0,primary,6,,-0.08593296291526653,0,False,no_predictive_advantage,0.006323961481136731,0.5988604101792188,0.015064911610542565,2.940256170647082e-05
0,0,primary,7,,-0.37512842246914846,0,False,no_predictive_advantage,0.03390335172140452,0.5974480106638189,0.024644375663797406,2.05663016364932e-05
0,0,primary,8,,-0.1757586002264333,0,True,no_predictive_advantage,0.01796312409315637,0.47777976371806885,0.04454110446173219,-0.000619895513043589
0,0,primary,9,,-0.07674340795651946,1,True,no_predictive_advantage,0.007115410076434958,0.3624113089939516,0.08987129635378682,0.00012832224681363913
0,0,primary,10,,0.013431009697208673,2,True,descriptive_or_unstable,0.013989083993319662,0.48601736161835013,0.06224996983209028,7.945330279146567e-05
0,0,primary,11,,-0.02712034838792876,2,True,no_predictive_advantage,0.009558754165744865,0.3623992955889502,0.060981233023511223,-0.00010494642788938524
0,0,primary,12,,-0.014302777029968627,3,False,no_predictive_advantage,0.009591075193561172,0.5182071285614162,0.09410041631224622,-0.0006867333782438201
0,0,primary,13,,-0.3107603447697218,0,True,no_predictive_advantage,0.017551479692406835,0.38328010091296877,0.041592861621508936,5.556113760957215e-05
0,0,primary,14,,0.062080374161836205,3,True,descriptive_or_unstable,0.00461053571113984,0.17917858707216847,0.07655903838269222,-0.00026987864984673315
0,0,primary,15,,-0.15382873587961443,0,True,no_predictive_advantage,0.025412516044691802,0.4539638838673003,0.07699015295108909,-0.00013663480345205148
0,0,primary,16,,-0.11808457641234238,1,True,no_predictive_advantage,0.016137303242215295,0.49157896000974044,0.06211508182955893,4.510140388308548e-05
0,0,primary,17,,0.10718927124935529,4,True,repeated_predictive_stable,0.012637985514686423,0.18729860213593877,0.09020269415845182,-0.00018407412969312364
0,0,primary,18,,0.12160169153781608,4,True,repeated_predictive_stable,0.0085259579902624,0.11129305912438382,0.11566396631933942,-0.000138935830028053
0,0,primary,19,,-0.07785971863160457,0,False,no_predictive_advantage,0.006282349414314159,0.6152783728948392,0.002096114373817431,-6.94306880544282e-07
0,0,primary,20,,-0.1306144885450431,0,True,no_predictive_advantage,0.014282908430092112,0.2665200353872049,0.024006530539892337,0.0001539736554045934
0,0,primary,21,,-0.4360151298348629,0,True,no_predictive_advantage,0.03516958592862579,0.4428989285433282,0.05251540837570651,0.00023927465142048465
0,0,primary,22,,-0.004163360950752093,2,True,no_predictive_advantage,0.018078552445126184,0.383301388066711,0.08010407406195356,0.0007316653655183303
0,0,primary,23,,-0.237692561230463,0,True,no_predictive_advantage,0.033265535219738906,0.35242897622629243,0.05483720113322248,-0.00035172994155441284
0,0,primary,24,,-0.01929702198746086,2,True,no_predictive_advantage,0.008543688046602549,0.28802982950142647,0.05071721469594321,0.000493741451509655
0,0,primary,25,,-0.12446698102263354,1,True,no_predictive_advantage,0.024779512089819877,0.3088394998692483,0.0845140924258534,0.0006595945882935106
