run,transect,distance_m,E,N,depth_mean_m,reference_gauge,gauge_depth_m,lambda_sar_radial_m,lambda_sar_paper_m,sar_paper_identifiable,lambda_pred_m,rel_err_radial,rel_err_paper,uncertainty_max_m,legacy_fraction,dominant_source_class,block
near,0,550.0,430429.751344854,4012206.9354554806,7.2197184562683105,waverider-17m,18.0,79.42544253391561,78.53721485797067,True,104.59181066778451,-0.2406150918813803,-0.2491074171435007,0.15355214476585388,0.0,3,0_0
near,0,600.0,430477.3431723184,4012222.265750931,7.615625858306885,waverider-17m,18.0,80.79928475490927,78.76923076923069,True,94.38107253420428,-0.14390372364515025,-0.16541284545495882,0.15355214476585388,0.0,3,0_0
near,0,650.0,430524.9349997828,4012237.596046381,7.993690013885498,waverider-17m,18.0,91.13834831339679,85.33333333333324,True,93.89421897256575,-0.02935080231056797,-0.09117585441265397,0.15355214476585388,0.0,3,0_0
near,0,700.0,430572.52682724723,4012252.9263418317,8.349748611450195,waverider-17m,18.0,92.84463340962802,85.33333333333324,True,96.83936190037066,-0.041251082332125044,-0.11881561734034285,0.15355214476585388,0.0,3,0_0
near,0,750.0,430620.11865471164,4012268.256637282,8.703218460083008,waverider-17m,18.0,114.74844227729638,85.33333333333324,True,110.33299399824696,0.04001929177340702,-0.22658372404279115,0.15355214476585388,0.0,3,0_0
near,0,800.0,430667.71048217604,4012283.5869327327,9.04483413696289,waverider-17m,18.0,126.11764003484038,127.01156821934926,True,100.13147751848604,0.25952041416303717,0.26844795829463997,0.23201750218868256,0.0,3,0_0
near,0,850.0,430715.30230964045,4012298.9172281832,9.373822212219238,waverider-17m,18.0,145.03158599851832,127.01156821934926,True,102.92523826739112,0.4090964319338124,0.23401772351873373,0.23201750218868256,0.0,3,0_0
near,0,900.0,430762.89413710486,4012314.2475236338,9.697121620178223,waverider-17m,18.0,125.62761562535344,127.01156821934926,True,103.60207659767552,0.21259746668216972,0.2259558146945384,0.23201750218868256,0.0,3,0_0
near,0,950.0,430810.48596456926,4012329.5778190843,10.02316665649414,waverider-17m,18.0,113.89564586760912,110.27837316368448,True,106.3155407640174,0.07129818509240193,0.03727425333294554,0.23201750218868256,0.0,3,0_0
near,0,1000.0,430858.07779203367,4012344.908114535,10.355124473571777,waverider-17m,18.0,113.06253519321945,115.12806742976424,True,118.7246376811593,-0.04769104878757935,-0.030293377361603868,0.23201750218868256,0.0,3,0_0
near,0,1050.0,430905.6696194981,4012360.238409985,10.705022811889648,waverider-17m,18.0,124.11850569201188,118.6374546152431,True,113.98698064432232,0.08888317762625308,0.040798290687528826,0.300119549036026,0.0022034520749173708,3,0_1
near,0,1100.0,430953.2614469625,4012375.5687054354,11.081217765808105,waverider-17m,18.0,125.41677597880461,118.6374546152431,True,122.26865671641775,0.025747557443837943,-0.029698552341150153,0.300119549036026,0.019456681350954477,3,0_1
near,0,1150.0,431000.8532744269,4012390.899000886,11.483657836914062,waverider-17m,18.0,117.0611848484033,118.6374546152431,True,109.41496395368443,0.06988277122638853,0.08428911666472394,0.300119549036026,0.07011747430249633,3,0_1
