acquisition_key,collect_name,metadata_budget_before_bytes,cphd_json,cphd_tx_time_span_s,cphd_signal_block_size_bytes,sicd_json,sicd_processed_aperture_s,metadata_association_verified,cphd_sicd_start_difference_s,local_range_axis_deg,local_azimuth_axis_deg,verified_incidence_deg,stac_vs_local_range_axis_difference_deg,doppler_slow_time_mapping_status,audit_status,metadata_bytes_downloaded
collect:0965638a-a446-4fd7-afcd-7a4d96903af2,2024-10-22-22-04-46_UMBRA-09,40378381,"{""channel_count"": 1, ""channels"": [{""Identifier"": ""Primary"", ""NumSamples"": ""36288"", ""NumVectors"": ""112488"", ""PVPArrayByteOffset"": ""0"", ""SignalArrayByteOffset"": ""0""}], ""collect_start"": ""2024-10-22T22:04:38.000000Z"", ""collect_type"": ""MONOSTATIC"", ""collector"": ""Umbra-09"", ""core_name"": ""2024-10-22-22-04-38_Umbra-09"", ""expected_size"": 32698679872, ""file_format"": ""CPHD/1.1.0"", ""http_content_length"": 4096, ""num_bytes_pvp"": 376, ""radar_mode"": ""SPOTLIGHT"", ""sampled_pvp_tx_times"": [{""tx_time_s"": 0.0033628213333333334, ""vector_index"": 0}, {""tx_time_s"": 2.128656069333333, ""vector_index"": 14060}, {""tx_time_s"": 4.240742042666667, ""vector_index"": 28121}, {""tx_time_s"": 6.339911962666666, ""vector_index"": 42182}, {""tx_time_s"": 8.426611541333333, ""vector_index"": 56243}, {""tx_time_s"": 10.502171701333333, ""vector_index"": 70304}, {""tx_time_s"": 12.567028175999999, ""vector_index"": 84365}, {""tx_time_s"": 14.621910602666667, ""vector_index"": 98426}, {""tx_time_s"": 16.667545109333332, ""vector_index"": 112487}], ""sampled_tx_time_monotonic"": true, ""sampled_tx_time_span_s"": 16.664182288, ""signal_block_read"": false, ""signal_block_size_bytes"": 32655716352, ""tx_time_offset_words"": 0, ""xml_sha256"": ""11e8c477b3854a742c94b8d77e05b0f11a8ede8def84baf4d916d49e9023f4bd""}",16.664182288,32655716352,"{""azimuth_deg"": 77.92174810965952, ""collect_start"": ""2024-10-22T22:04:38.000000Z"", ""collector"": ""Umbra-09"", ""core_name"": ""2024-10-22-22-04-38_Umbra-09"", ""doppler_cone_deg"": 74.84857370206817, ""grid_col_delta_k1"": -3.741363372669526, ""grid_col_delta_k2"": 3.741363372669526, ""grid_col_ground_bearing_deg"": 181.4737419982713, ""grid_col_imp_resp_bw"": 7.482726745339052, ""grid_col_ss_m"": 0.10691289782809661, ""grid_image_plane"": ""SLANT"", ""grid_row_ground_bearing_deg"": 257.9217484025711, ""grid_row_imp_resp_bw"": 2.521884159082611, ""grid_row_ss_m"": 0.31722313537629615, ""grid_type"": ""RGAZIM"", ""image_pixels_read"": false, ""incidence_deg"": 44.63355602444103, ""look_side"": ""R"", ""num_cols"": 66000, ""num_rows"": 13310, ""pixel_type"": ""RE32F_IM32F"", ""polarization"": ""H:H"", ""processing_software"": {""Application"": ""Umbra SAR Processor 4.31.2"", ""DateTime"": ""2025-12-30T17:14:18.246442Z"", ""Profile"": ""sarpy 1.3.58"", ""Site"": ""Goleta, CA""}, ""radar_mode"": ""SPOTLIGHT"", ""sicd_processed_aperture_s"": 13.069074825927965, ""t_end_proc_s"": 16.668451984514803, ""t_start_proc_s"": 3.599377158586838, ""xml_sha256"": ""8f3fced12d907ee1d175bf3700d46a1958a8324af4f641bd24f6c70175abc19f""}",13.069074825927965,True,0.0,257.9217484025711,181.4737419982713,44.63355602444103,2.9291157943589496e-07,preliminary_monotonic_TxTime_samples_only,complete,2151240
collect:683a3778-7ef1-4653-bd9b-1777367585d5,2024-09-16-22-14-37_UMBRA-05,42529621,"{""channel_count"": 1, ""channels"": [{""Identifier"": ""Primary"", ""NumSamples"": ""41250"", ""NumVectors"": ""274058"", ""PVPArrayByteOffset"": ""0"", ""SignalArrayByteOffset"": ""0""}], ""collect_start"": ""2024-09-16T22:14:16.000000Z"", ""collect_type"": ""MONOSTATIC"", ""collector"": ""Umbra-05"", ""core_name"": ""2024-09-16-22-14-16_Umbra-05"", ""expected_size"": 90542853856, ""file_format"": ""CPHD/1.1.0"", ""http_content_length"": 4096, ""num_bytes_pvp"": 376, ""radar_mode"": ""SPOTLIGHT"", ""sampled_pvp_tx_times"": [{""tx_time_s"": 0.0022834, ""vector_index"": 0}, {""tx_time_s"": 5.860361037333333, ""vector_index"": 34257}, {""tx_time_s"": 11.544828834666665, ""vector_index"": 68514}, {""tx_time_s"": 17.40434280266667, ""vector_index"": 102771}, {""tx_time_s"": 22.770855336, ""vector_index"": 137028}, {""tx_time_s"": 28.0098902, ""vector_index"": 171285}, {""tx_time_s"": 33.211794232, ""vector_index"": 205542}, {""tx_time_s"": 38.241127074666664, ""vector_index"": 239799}, {""tx_time_s"": 43.188737202666665, ""vector_index"": 274057}], ""sampled_tx_time_monotonic"": true, ""sampled_tx_time_span_s"": 43.18645380266666, ""signal_block_read"": false, ""signal_block_size_bytes"": 90439140000, ""tx_time_offset_words"": 0, ""xml_sha256"": ""26c20cc03bdba3c42b9ab315d34b5482eb98889f05d8573e50e91b259bcaefeb""}",43.18645380266666,90439140000,"{""azimuth_deg"": 335.92052009460923, ""collect_start"": ""2024-09-16T22:14:16.000000Z"", ""collector"": ""Umbra-05"", ""core_name"": ""2024-09-16-22-14-16_Umbra-05"", ""doppler_cone_deg"": 69.36655432537572, ""grid_col_delta_k1"": -7.924908385989787, ""grid_col_delta_k2"": 7.924908385989787, ""grid_col_ground_bearing_deg"": 47.19073831763049, ""grid_col_imp_resp_bw"": 15.849816771979574, ""grid_col_ss_m"": 0.050473594039704035, ""grid_image_plane"": ""SLANT"", ""grid_row_ground_bearing_deg"": 155.9205208844688, ""grid_row_imp_resp_bw"": 2.5230120391750983, ""grid_row_ss_m"": 0.3170813248523225, ""grid_type"": ""RGAZIM"", ""image_pixels_read"": false, ""incidence_deg"": 45.0658681153887, ""look_side"": ""L"", ""num_cols"": 143748, ""num_rows"": 13440, ""pixel_type"": ""RE32F_IM32F"", ""polarization"": ""H:H"", ""processing_software"": {""Application"": ""Umbra SAR Processor 4.35.1"", ""DateTime"": ""2026-03-04T01:38:40.861863Z"", ""Profile"": ""sarpy 1.3.58"", ""Site"": ""Goleta, CA""}, ""radar_mode"": ""SPOTLIGHT"", ""sicd_processed_aperture_s"": 24.955108510644962, ""t_end_proc_s"": 43.189275552058795, ""t_start_proc_s"": 18.234167041413833, ""xml_sha256"": ""4bc2a6636d8b92593c70d9fcef233815d5f5802371ada6d01bb344035ed84efe""}",24.955108510644962,True,0.0,155.9205208844688,47.19073831763049,45.0658681153887,7.898595413280418e-07,preliminary_monotonic_TxTime_samples_only,complete,2152148
collect:ae8a3c9f-ee1e-4fad-82d1-ffe5ec409cf1,2025-12-02-16-00-55_UMBRA-07,44681769,"{""channel_count"": 1, ""channels"": [{""Identifier"": ""Primary"", ""NumSamples"": ""87120"", ""NumVectors"": ""106811"", ""PVPArrayByteOffset"": ""0"", ""SignalArrayByteOffset"": ""0""}], ""collect_start"": ""2025-12-02T16:00:47.000000Z"", ""collect_type"": ""MONOSTATIC"", ""collector"": ""Umbra-07"", ""core_name"": ""2025-12-02-16-00-47_Umbra-07"", ""expected_size"": 74483823488, ""file_format"": ""CPHD/1.1.0"", ""http_content_length"": 4096, ""num_bytes_pvp"": 376, ""radar_mode"": ""SPOTLIGHT"", ""sampled_pvp_tx_times"": [{""tx_time_s"": 0.0045202133333333335, ""vector_index"": 0}, {""tx_time_s"": 2.213829829333333, ""vector_index"": 13351}, {""tx_time_s"": 4.402381429333333, ""vector_index"": 26702}, {""tx_time_s"": 6.571444048, ""vector_index"": 40053}, {""tx_time_s"": 8.722435338666667, ""vector_index"": 53405}, {""tx_time_s"": 10.856279328000001, ""vector_index"": 66756}, {""tx_time_s"": 12.974373578666668, ""vector_index"": 80107}, {""tx_time_s"": 15.077944293333335, ""vector_index"": 93458}, {""tx_time_s"": 17.168364911999998, ""vector_index"": 106810}], ""sampled_tx_time_monotonic"": true, ""sampled_tx_time_span_s"": 17.163844698666665, ""signal_block_read"": false, ""signal_block_size_bytes"": 74442994560, ""tx_time_offset_words"": 0, ""xml_sha256"": ""a330868fef5b99c1c069b8a0fa6adecf263ed64690ad34ee583d8bc07ce61cb5""}",17.163844698666665,74442994560,"{""azimuth_deg"": 317.6687650988641, ""collect_start"": ""2025-12-02T16:00:47.000000Z"", ""collector"": ""Umbra-07"", ""core_name"": ""2025-12-02-16-00-47_Umbra-07"", ""doppler_cone_deg"": 73.33797279273558, ""grid_col_delta_k1"": -4.126690649221105, ""grid_col_delta_k2"": 4.126690649221105, ""grid_col_ground_bearing_deg"": 21.122274410689155, ""grid_col_imp_resp_bw"": 8.25338129844221, ""grid_col_ss_m"": 0.09692996979928654, ""grid_image_plane"": ""SLANT"", ""grid_row_ground_bearing_deg"": 137.6687650613183, ""grid_row_imp_resp_bw"": 6.478059439143104, ""grid_row_ss_m"": 0.12349377271317862, ""grid_type"": ""RGAZIM"", ""image_pixels_read"": false, ""incidence_deg"": 33.16251513443364, ""look_side"": ""L"", ""num_cols"": 79860, ""num_rows"": 26620, ""pixel_type"": ""RE32F_IM32F"", ""polarization"": ""H:H"", ""processing_software"": {""Application"": ""Umbra SAR Processor 4.27.3"", ""DateTime"": ""2025-12-02T18:35:42.143659Z"", ""Profile"": ""sarpy 1.3.58"", ""Site"": ""Goleta, CA""}, ""radar_mode"": ""SPOTLIGHT"", ""sicd_processed_aperture_s"": 11.889154387579627, ""t_end_proc_s"": 17.168638326924768, ""t_start_proc_s"": 5.279483939345142, ""xml_sha256"": ""84b52d5edc8cc6bdc7e113ba9fb6251b29fe03e39b959ef6369bbdb864283546""}",11.889154387579627,True,0.0,137.6687650613183,21.122274410689155,33.16251513443364,3.7545817122008884e-08,preliminary_monotonic_TxTime_samples_only,complete,2151218
collect:04b5d226-d0b3-4a25-851a-b0646e2d1205,2024-03-02-20-11-59_UMBRA-06,46832987,"{""channel_count"": 1, ""channels"": [{""Identifier"": ""Primary"", ""NumSamples"": ""37800"", ""NumVectors"": ""75287"", ""PVPArrayByteOffset"": ""0"", ""SignalArrayByteOffset"": ""0""}], ""collect_start"": ""2024-03-02T20:11:50.000000Z"", ""collect_type"": ""MONOSTATIC"", ""collector"": ""Umbra-06"", ""core_name"": ""2024-03-02-20-11-50_Umbra-06"", ""expected_size"": 22795764800, ""file_format"": ""CPHD/1.1.0"", ""http_content_length"": 4096, ""num_bytes_pvp"": 376, ""radar_mode"": ""SPOTLIGHT"", ""sampled_pvp_tx_times"": [{""tx_time_s"": 0.0005320773333333333, ""vector_index"": 0}, {""tx_time_s"": 2.3935626906666667, ""vector_index"": 9410}, {""tx_time_s"": 4.7727621146666666, ""vector_index"": 18821}, {""tx_time_s"": 7.138623624, ""vector_index"": 28232}, {""tx_time_s"": 9.490387368, ""vector_index"": 37643}, {""tx_time_s"": 11.829049101333334, ""vector_index"": 47053}, {""tx_time_s"": 14.154354066666667, ""vector_index"": 56464}, {""tx_time_s"": 16.466791981333333, ""vector_index"": 65875}, {""tx_time_s"": 18.767089154666667, ""vector_index"": 75286}], ""sampled_tx_time_monotonic"": true, ""sampled_tx_time_span_s"": 18.766557077333335, ""signal_block_read"": false, ""signal_block_size_bytes"": 22766788800, ""tx_time_offset_words"": 0, ""xml_sha256"": ""5da6b782a2be27847f681ca002d7c32dd383a909b1477314111f4db98ad049d4""}",18.766557077333335,22766788800,"{""azimuth_deg"": 319.92605264598467, ""collect_start"": ""2024-03-02T20:11:50.000000Z"", ""collector"": ""Umbra-06"", ""core_name"": ""2024-03-02-20-11-50_Umbra-06"", ""doppler_cone_deg"": 58.303051148889175, ""grid_col_delta_k1"": -1.8484895826027745, ""grid_col_delta_k2"": 1.8484895826027745, ""grid_col_ground_bearing_deg"": 46.72491502224743, ""grid_col_imp_resp_bw"": 3.696979165205549, ""grid_col_ss_m"": 0.21639096092186635, ""grid_image_plane"": ""SLANT"", ""grid_row_ground_bearing_deg"": 139.9260525067643, ""grid_row_imp_resp_bw"": 1.8039822018305958, ""grid_row_ss_m"": 0.44346335523055486, ""grid_type"": ""RGAZIM"", ""image_pixels_read"": false, ""incidence_deg"": 79.16130144773324, ""look_side"": ""L"", ""num_cols"": 56133, ""num_rows"": 26620, ""pixel_type"": ""RE32F_IM32F"", ""polarization"": ""V:V"", ""processing_software"": {""Application"": ""Umbra SAR Processor 4.31.2"", ""DateTime"": ""2025-12-30T16:18:11.269095Z"", ""Profile"": ""sarpy 1.3.58"", ""Site"": ""Goleta, CA""}, ""radar_mode"": ""SPOTLIGHT"", ""sicd_processed_aperture_s"": 15.150612734490002, ""t_end_proc_s"": 18.76969403303247, ""t_start_proc_s"": 3.6190812985424667, ""xml_sha256"": ""e20143ad58e639e12893215047f5274ee684e478ecdf4e6794a67739289bf0ff""}",15.150612734490002,True,0.0,139.9260525067643,46.72491502224743,79.16130144773324,1.3922033303970238e-07,preliminary_monotonic_TxTime_samples_only,complete,2151187
collect:140737c1-b3f0-4619-9720-917f18c35336,2024-03-02-18-38-32_UMBRA-06,48984174,"{""channel_count"": 1, ""channels"": [{""Identifier"": ""Primary"", ""NumSamples"": ""35574"", ""NumVectors"": ""71441"", ""PVPArrayByteOffset"": ""0"", ""SignalArrayByteOffset"": ""0""}], ""collect_start"": ""2024-03-02T18:38:24.000000Z"", ""collect_type"": ""MONOSTATIC"", ""collector"": ""Umbra-06"", ""core_name"": ""2024-03-02-18-38-24_Umbra-06"", ""expected_size"": 20359066864, ""file_format"": ""CPHD/1.1.0"", ""http_content_length"": 4096, ""num_bytes_pvp"": 376, ""radar_mode"": ""SPOTLIGHT"", ""sampled_pvp_tx_times"": [{""tx_time_s"": 1.8034666666666665e-05, ""vector_index"": 0}, {""tx_time_s"": 2.0998682746666666, ""vector_index"": 8930}, {""tx_time_s"": 4.19027148, ""vector_index"": 17860}, {""tx_time_s"": 6.270475837333334, ""vector_index"": 26790}, {""tx_time_s"": 8.341133741333334, ""vector_index"": 35720}, {""tx_time_s"": 10.402887933333334, ""vector_index"": 44650}, {""tx_time_s"": 12.454996189333333, ""vector_index"": 53580}, {""tx_time_s"": 14.498101160000001, ""vector_index"": 62510}, {""tx_time_s"": 16.532836365333335, ""vector_index"": 71440}], ""sampled_tx_time_monotonic"": true, ""sampled_tx_time_span_s"": 16.532818330666668, ""signal_block_read"": false, ""signal_block_size_bytes"": 20331537072, ""tx_time_offset_words"": 0, ""xml_sha256"": ""4d3cbe7d92a21d9720e8146dbba4f06426f46adce1f19395d05ab08426bc789c""}",16.532818330666668,20331537072,"{""azimuth_deg"": 67.90688822098618, ""collect_start"": ""2024-03-02T18:38:24.000000Z"", ""collector"": ""Umbra-06"", ""core_name"": ""2024-03-02-18-38-24_Umbra-06"", ""doppler_cone_deg"": 63.22191077845985, ""grid_col_delta_k1"": -1.8249094145944347, ""grid_col_delta_k2"": 1.8249094145944347, ""grid_col_ground_bearing_deg"": 160.89721172249543, ""grid_col_imp_resp_bw"": 3.6498188291888694, ""grid_col_ss_m"": 0.21918896181972708, ""grid_image_plane"": ""SLANT"", ""grid_row_ground_bearing_deg"": 247.90688836249456, ""grid_row_imp_resp_bw"": 1.81291820239059, ""grid_row_ss_m"": 0.44127749335027155, ""grid_type"": ""RGAZIM"", ""image_pixels_read"": false, ""incidence_deg"": 77.77384605850456, ""look_side"": ""R"", ""num_cols"": 56000, ""num_rows"": 26620, ""pixel_type"": ""RE32F_IM32F"", ""polarization"": ""V:V"", ""processing_software"": {""Application"": ""Umbra SAR Processor 4.31.2"", ""DateTime"": ""2025-12-30T17:38:57.751174Z"", ""Profile"": ""sarpy 1.3.58"", ""Site"": ""Goleta, CA""}, ""radar_mode"": ""SPOTLIGHT"", ""sicd_processed_aperture_s"": 13.538611837218708, ""t_end_proc_s"": 16.535378706205268, ""t_start_proc_s"": 2.9967668689865596, ""xml_sha256"": ""d57e6afed3499d687f04da997bffaf0bf03a5970782c35852df46e3c7b54bc59""}",13.538611837218708,True,0.0,247.90688836249456,160.89721172249543,77.77384605850456,1.4150839433568763e-07,preliminary_monotonic_TxTime_samples_only,complete,2151151
