transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
0,400.0,431768.4018519485,4007754.9659052575,False,5.526004791259766,3.1721324920654297,7.660412788391113,1.090000033378601,0.0,87.48622415019622,True,,,,,,,,,,,,,,
0,450.0,431815.1658152124,4007772.661434067,False,6.019972801208496,3.963409185409546,8.102352142333984,1.090000033378601,0.0,95.07601314665045,True,,,,,,,,,,,,,,
0,500.0,431861.92977847636,4007790.3569628764,False,6.537618637084961,4.722705841064453,8.52625560760498,1.090000033378601,0.0,95.07601314665045,True,,,,,,,,,,,,,,
0,550.0,431908.6937417403,4007808.052491686,False,7.0248847007751465,5.006582260131836,8.865177154541016,1.090000033378601,0.0,100.4114611907501,True,,,,,,,,,,,,,,
0,600.0,431955.45770500426,4007825.7480204953,False,7.459641456604004,5.426423072814941,9.147579193115234,1.090000033378601,0.0,98.08141160664577,True,,,,,,,,,,,,,,
0,650.0,432002.2216682682,4007843.443549305,True,7.8828840255737305,5.9893083572387695,9.427210807800293,0.9300000071525574,0.0,95.07601314665045,True,68.19859051364818,0.06355167627295036,0.062278578392457935,"[0.055223308363883145, 0.06749515466696829]",0.06041070486569788,0.06529639342965082,"[0.055223308363883145, 0.07976700097005343]",0.29585453854712856,0.26185276742523583,"[0.16566992509164943, 0.34974761963792655]",98.86856424323501,90.17592417059129,109.17511172061614,90.17592417059129
0,700.0,432048.9856315321,4007861.1390781146,True,8.284635543823242,6.5242600440979,9.693086624145508,0.9200000166893005,0.0,95.07601314665045,True,68.19859051364818,0.06587152119611484,0.05792195510465153,"[0.042951462060798, 0.06749515466696829]",0.05988465663013015,0.060816170985929445,"[0.055223308363883145, 0.06749515466696829]",0.29138250270466076,0.26629010225569055,"[0.17794177139473458, 0.34974761963792655]",100.2818433610238,91.44739663510066,110.75489086779572,91.44739663510066
0,750.0,432095.74959479604,4007878.834606924,True,8.680215835571289,7.123085975646973,9.935629844665527,0.8999999761581421,0.0,83.54738583865658,True,71.56505117707799,0.018407769454627715,0.022819278540235906,"[0.018407769454627715, 0.030679615757712858]",0.05873740321794018,0.060472355395681916,"[0.055223308363883145, 0.06749515466696829]",0.2948049242573303,0.250677144688658,"[0.17794177139473458, 0.3129320807286712]",103.50533205922672,94.33605853553759,114.3706014964177,94.33605853553759
0,800.0,432142.51355806,4007896.5301357335,True,9.04323673248291,7.646537780761719,10.210285186767578,0.8899999856948853,0.0,78.76923076923069,True,71.56505117707799,0.07829397334289068,0.07901302317873707,"[0.06749515466696829, 0.09203884727313857]",0.058084333913562575,0.06030310480386917,"[0.055223308363883145, 0.06749515466696829]",0.2945575103899068,0.2555815712322754,"[0.19021361769781972, 0.3129320807286712]",105.64595868614451,96.2526685032906,116.77351741586283,96.2526685032906
0,850.0,432189.27752132394,4007914.225664543,True,9.3328218460083,8.063661575317383,10.413169860839844,0.8799999952316284,0.0,78.76923076923069,True,71.56505117707799,0.07711923858752844,0.07444868623781732,"[0.055223308363883145, 0.09203884727313857]",0.05722824838439857,0.05999556412379926,"[0.055223308363883145, 0.06749515466696829]",0.29676737309512513,0.30025291026044265,"[0.2883883881225009, 0.3129320807286712]",107.42017510006505,97.83741387686075,118.76929043299296,97.83741387686075
