acq_utc,product_id,gauge,dt_min,waveHs,waveTp,waveTm,waveMeanDirection,wavePeakDirectionPeakFrequency,directionalPeakSpread
2021-06-30 10:54:50,1942455,waverider-17m,-29784.8,0.475,8.214,7.05,124.829,120.0,23.318
2021-06-30 10:54:50,1942455,awac-11m,5.2,0.398,6.645,6.902,93.754,85.0,34.494
2021-06-30 10:54:50,1942455,8m-array,5.2,0.371,7.687,7.477,89.743,90.0,18.379
2021-06-30 10:54:50,1942455,waverider-26m,5.2,0.597,6.897,5.939,135.464,120.0,26.538
2021-07-01 10:54:54,1942002,waverider-17m,5.1,0.393,7.533,5.879,131.917,110.0,25.708
2021-07-01 10:54:54,1942002,awac-11m,5.1,0.327,7.692,6.992,98.221,90.0,34.651
2021-07-01 10:54:54,1942002,8m-array,5.1,0.288,8.208,7.718,97.328,105.0,17.593
2021-07-01 10:54:54,1942002,waverider-26m,5.1,0.655,6.421,4.502,177.188,145.0,25.015
2021-10-13 22:45:03,2098202,waverider-17m,15.0,1.108,9.547,6.757,59.255,65.0,25.052
2021-10-13 22:45:03,2098202,awac-11m,15.0,1.101,8.316,6.629,64.312,70.0,28.057
2021-10-13 22:45:03,2098202,8m-array,15.0,1.039,10.579,7.97,63.656,70.0,20.201
2021-10-13 22:45:03,2098202,waverider-26m,15.0,1.302,10.811,7.397,56.357,75.0,23.169
