transect,distance_m,xFRF,yFRF,wavelength_m,wavelength_smoothed_m,axial_bearing_deg,near_pier,h_wr17,h_wr17_lo,h_wr17_hi,h_awac,h_awac_lo,h_awac_hi,z_p50,implied_eta_wr17,z_p95,survey_points,implied_eta_awac,z_p5
0,400.0,454.48301421696146,3877.5103204646293,68.88169410522232,81.03598793604101,70.34617594194658,False,5.086339579316508,7.4191318794713546,4.16052320766456,6.158511075520614,7.4191318794713546,5.086339579316508,,,,,,
0,450.0,504.47082073052223,3879.6413835868602,65.61466811264717,91.11590059298928,70.01689347809987,False,6.523686017986681,9.689734661750578,5.310016153200184,7.956153559466206,9.689734661750578,6.523686017986681,,,,,,
0,500.0,554.4587322765652,3881.7721501502824,108.61160159025353,96.45388493178262,81.86989764584371,False,7.373356709425085,11.079523351683399,5.983690703684057,9.03303611008303,11.079523351683399,7.373356709425085,,,,,,
0,550.0,604.4467488477761,3883.902620148997,121.35563856383405,108.07985975460801,95.44033203100507,False,9.45603984409272,14.667585486041936,7.61586342521633,11.722917949733725,14.667585486041936,9.45603984409272,,,,,,
0,600.0,654.4348704407563,3886.032793584948,117.80582228695603,118.69615766509823,94.39870535499512,False,11.66719048739922,18.841696774479487,9.317539946441027,14.669073357232788,18.841696774479487,11.66719048739922,,,,,,
0,650.0,704.4230970513438,3888.162670449543,127.01156821934933,122.05767635671315,97.12501634890134,False,12.436067260177468,20.408645397141342,9.901381964260462,15.718779261300162,20.408645397141342,12.436067260177468,,,,,,
0,850.0,904.3770535918269,3896.679212157678,82.78549334573489,83.26103277842257,75.96375653207332,False,5.385563666754748,7.884156163071001,4.400825709373522,6.530373780987013,7.884156163071001,5.385563666754748,,,,,,
0,900.0,954.3658052300215,3898.8076061288793,86.44505772200621,80.32559015551811,78.31063082456059,False,4.992894649351055,7.274685224080665,4.085372445258444,6.042626977633427,7.274685224080665,4.992894649351055,,,,,,
0,950.0,1004.3546618614496,3900.935703511822,80.55254726752665,82.64020098502857,77.27564431457748,False,5.301069992817488,7.752456033428348,4.333022890481401,6.425246516869637,7.752456033428348,5.301069992817488,,,,,,
0,1000.0,1054.343623479533,3903.0635043028537,71.51926228680472,85.09830494521168,77.90524292298771,False,5.640217273507321,8.282974750215967,4.604922344014498,6.847804426838364,8.282974750215967,5.640217273507321,,,,,,
0,1050.0,1104.3326900837812,3905.191008500478,91.89864430307038,86.55494526482866,68.96248897457802,False,5.847061363968477,8.609053836108668,4.7704203318999765,7.1063007883981975,8.609053836108668,5.847061363968477,,,,,,
0,1100.0,1154.321861666879,3907.3182160987926,95.07601314665045,89.19008767534153,68.19859051364803,False,6.232566718792253,9.222072750942159,5.078189567523193,7.58968956839281,9.222072750942159,6.232566718792253,,,,,,
0,1150.0,1204.3111382268748,3909.4451270959503,93.72825932009108,93.93797045088299,66.25050550713308,False,6.964939293941959,10.406715414420377,5.66042152461135,8.514017924438642,10.406715414420377,6.964939293941959,,,,,,
0,1200.0,1254.3005197581601,3911.571741487151,93.72825932009108,94.44780198783614,66.25050550713308,False,7.046544493614261,10.54042630567431,5.725095326960179,8.61751423905132,10.54042630567431,7.046544493614261,,,,,,
0,1250.0,1304.290006257323,3913.698059270195,95.25867616451193,94.34600707344994,60.255118703057654,False,7.030204208109977,10.513624166339788,5.7121485794611155,8.59678233264377,10.513624166339788,7.030204208109977,,,,,,
0,1350.0,1404.269294141499,3917.949805002704,94.66883348910568,104.37076630229323,56.309932474020115,False,8.75533422308726,13.428543459390722,7.069823912335098,10.809458234200987,13.428543459390722,8.75533422308726,,,,,,
0,1400.0,1454.2590955174776,3920.0752329410248,113.77777777777767,109.00054170560966,89.99999999999966,False,9.63549621707942,14.990709809579158,7.755193091751761,11.958332608597459,14.990709809579158,9.63549621707942,,,,,,
0,1450.0,1504.2490018445208,3922.200364260935,113.77777777777767,112.6027470083576,89.99999999999966,False,10.359478541841373,16.320358548791592,8.315125669870618,12.914441788193571,16.320358548791592,10.359478541841373,,,,,,
0,1500.0,1554.2390131192028,3924.32519895609,113.77777777777767,119.07129395440634,89.99999999999966,False,11.751269839035224,19.009742116837604,9.38158712102515,14.78318330237003,19.009742116837604,11.751269839035224,,,,,,
0,1550.0,1604.229129335192,3926.4497370235867,127.01156821934933,129.98465099898795,82.8749836510979,False,14.395069379239835,24.768777341129557,11.369747051312965,18.46190049563006,24.768777341129557,14.395069379239835,,,,,,
0,1600.0,1654.2193504905358,3928.5739784615757,127.01156821934933,134.0363693042905,82.8749836510979,False,15.482448629461821,27.490784249580546,12.172494867353738,20.032704598522884,27.490784249580546,15.482448629461821,,,,,,
0,1650.0,1704.2096765793808,3930.6979232645085,168.3445630006857,141.79579205659726,170.53767779197383,False,17.747987783398475,34.27638402693966,13.815532473100438,23.438401817524024,34.27638402693966,17.747987783398475,,,,,,
0,1750.0,1804.190643541974,3934.944922954554,144.8154687870047,140.2668406743701,98.13010235415544,False,17.281238986899243,32.71412501686568,13.480367433409949,22.72045492214408,32.71412501686568,17.281238986899243,,,,,,
0,1800.0,1854.181284406947,3937.0679778354156,107.64049023541985,130.56720069561734,93.01278750418298,False,14.547650189464346,25.135519769329935,11.482927358131326,18.680092060888178,25.135519769329935,14.547650189464346,,,,,,
0,1900.0,1954.1628808862058,3941.313197654819,139.2456430644275,127.20074835513564,45.0,False,13.682666426330387,23.11316131815442,10.83901277047587,17.452194672370048,23.11316131815442,13.682666426330387,,,,,,
0,1950.0,2004.153836491225,3943.4353625856115,134.7161117655596,nan,52.12501634890176,False,nan,nan,nan,nan,nan,nan,,,,,,
1,400.0,464.6909423345743,3651.2211686627047,87.48622415019622,94.54968245449591,70.01689347809987,False,7.062921879623986,10.567303643319898,5.738069827712427,8.638297365604155,10.567303643319898,7.062921879623986,,,,,,
1,450.0,514.6680050475758,3653.567428077254,98.08141160664577,96.74289713033029,73.30075576600615,False,7.421197774247179,11.158935081949828,6.021490408469161,9.094004511114644,11.158935081949828,7.421197774247179,,,,,,
1,500.0,564.6451747703184,3655.9133911743384,98.08141160664577,96.40952033359432,73.30075576600615,False,7.366029915987331,11.067372874065516,5.977900479892561,9.0237020990568,11.067372874065516,7.366029915987331,,,,,,
