collect_name,collect_id,acquisition_key,datetime_utc,station_id,station_km,water_body,current_risk,gebco_depth_m,ocean_fraction,coast_status,coast_distance_m,roi_m,roi_lat,roi_lon,duration_s,incidence_deg,view_azimuth_deg,local_range_axis_deg,sicd_bytes,cphd_bytes,min_complex_GB
2026-04-24-17-44-31_UMBRA-09,b76efc00-b348-4d91-9928-3badd6a08cee,collect:b76efc00-b348-4d91-9928-3badd6a08cee,2026-04-24T17:44:31.700000Z,42094,13.079979442850586,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,28.999988880350383,-89.99999614433833,5.4,35.65159169859855,280.61405190583275,100.61405190583275,9487419504.0,,9.487419504
2026-05-07-17-40-50_UMBRA-10,67135197-7f52-4c8b-a1e8-25ef3bd804cd,collect:67135197-7f52-4c8b-a1e8-25ef3bd804cd,2026-05-07T17:40:50.200000Z,42094,13.08050073776259,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0,lower_bound_beyond_footprint,,1500.0,28.999986800855112,-90.00000141473244,6.4,29.135424843351736,243.0048911081768,63.00489110817679,16529149335.0,,16.529149335
2026-06-04-02-43-54_UMBRA-07,8ff67960-48f6-4f6d-a8e9-f55bd3e931ef,collect:8ff67960-48f6-4f6d-a8e9-f55bd3e931ef,2026-06-04T02:43:54.100000Z,42094,13.08056038328297,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,28.9999846249497,-89.9999996991029,8.2,41.57185077463219,113.35341432937535,293.35341432937537,14087349962.0,,14.087349962
2026-06-11-04-56-21_UMBRA-09,23c96831-7ec8-49fe-9bd8-bc01f19b219b,collect:23c96831-7ec8-49fe-9bd8-bc01f19b219b,2026-06-11T04:56:21.200000Z,42094,13.08056377046755,"piattaforma aperta, delta del Mississippi",basso,-24.0,0.9999999999999998,lower_bound_beyond_footprint,,1500.0,28.99998459790985,-89.9999997171625,6.4,18.592932247585594,113.60579667975773,293.60579667975776,16637545942.0,,16.637545942
2026-05-21-02-52-11_UMBRA-07,a72f2c57-1c60-464d-993f-003bc0e0ca41,collect:a72f2c57-1c60-464d-993f-003bc0e0ca41,2026-05-21T02:52:11.800000Z,42094,13.080607440069118,"piattaforma aperta, delta del Mississippi",basso,-24.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,28.99998430485245,-90.00000001646885,7.600001,25.58250838481915,116.78393781344239,296.7839378134424,16791516045.0,,16.791516045
2025-03-22-02-27-54_UMBRA-08,5cc68dc4-f878-42dc-961a-41d900fd06cd,collect:5cc68dc4-f878-42dc-961a-41d900fd06cd,2025-03-22T02:27:54.800000Z,41052,8.749279671260663,"Isole Vergini, baia",medio,4.0,0.995862606347994,local_exact,2434.6930667077013,1500.0,18.300217667505052,-64.82590479491097,13.6,28.10875887938181,111.96335942509764,291.9633594250976,8693931015.0,34924000928.0,8.693931015
2023-07-05-15-30-48_UMBRA-04,5d3be8ac-cf8d-45e2-b7c1-a92cf70c3539,collect:5d3be8ac-cf8d-45e2-b7c1-a92cf70c3539,2023-07-05T15:30:48.400000Z,44087,3.5082997616147287,Hampton Roads,ALTO (marea),-10.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,36.99454981226093,-76.15215374310374,2.800001,59.782597406556846,304.9867514499614,124.98675144996139,248448406.0,4252671232.0,0.248448406
2023-07-05-15-30-28_UMBRA-05,d0ba7e43-1513-41f8-9ce5-85ea52e5d505,collect:d0ba7e43-1513-41f8-9ce5-85ea52e5d505,2023-07-05T15:30:28.500000Z,44064,3.69348159400845,Hampton Roads,ALTO (marea),-11.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,36.98243086009172,-76.12373473402296,2.999999,59.834443860205724,306.6302376680642,126.63023766806418,250492844.0,,0.250492844
2023-07-13-15-18-18_UMBRA-05,0d5b00f7-9e4e-4809-ba96-78196618351d,collect:0d5b00f7-9e4e-4809-ba96-78196618351d,2023-07-13T15:18:18.699999Z,44064,3.6936606921984216,Hampton Roads,ALTO (marea),-11.0,1.0000000000000002,lower_bound_beyond_footprint,,1500.0,36.98242970433439,-76.12373624875613,1.399998,43.05209197916125,281.0578927460796,101.05789274607957,238547157.0,1871838240.0,0.238547157
2023-07-05-15-30-42_UMBRA-05,1675384d-5bae-4402-8cf0-4c105074dbec,collect:1675384d-5bae-4402-8cf0-4c105074dbec,2023-07-05T15:30:42Z,44064,6.456262684032123,Hampton Roads,ALTO (marea),-11.0,1.0,lower_bound_beyond_footprint,,1500.0,36.957792292708454,-76.13943404199021,2.0,58.81445876833966,299.92652692871656,119.92652692871656,245361866.0,2380797160.0,0.245361866
