transect,distance_m,E,N,certified,depth_mean_m,depth_p10_m,depth_p90_m,uncertainty_max_m,frf_survey_fraction,legacy_fraction,bluetopo_modern_fraction,bluetopo_old_fraction,cudem_fraction,dominant_source_class,source_year_min,sar_paper_wavelength_m,sar_identifiable,sar_axial_deg,sar_sector_source,sar_max_axial_deg,sar_peak_k,sar_centroid_k,sar_band_k,pred_Ek_peak_k,pred_Ek_centroid_k,pred_Ek_band_k,pred_k2Ek_peak_k,pred_k2Ek_centroid_k,pred_k2Ek_band_k,lambda_Tpeak_waverider-17m_m,lambda_Tpeak_awac-11m_m,lambda_Tpeak_8m-array_m,lambda_Tpeak_waverider-26m_m
0,400.0,430286.97586246085,4012160.944569129,False,5.846071243286133,3.363185405731201,7.847445964813232,0.7262614965438843,0.0,0.0,1.0,0.0,0.0,3,2019.0,248.35648003720473,True,,,,,,,,,,,,,,,,
0,450.0,430334.5676899252,4012176.2748645796,False,6.348257541656494,4.45247745513916,8.21649169921875,0.7262614965438843,0.0,0.0,1.0,0.0,0.0,3,2019.0,72.40773439350238,True,,,,,,,,,,,,,,,,
0,500.0,430382.1595173896,4012191.60516003,False,6.805536270141602,4.876761436462402,8.562250137329102,0.7262614965438843,0.0,0.0,1.0,0.0,0.0,3,2019.0,76.41885620812705,True,,,,,,,,,,,,,,,,
0,550.0,430429.751344854,4012206.9354554806,True,7.2197184562683105,5.364443778991699,8.805976867675781,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,78.53721485797067,True,72.0,fixed,90.0,0.07874165127125128,0.07927503779465614,"[0.06749515466696829, 0.09203884727313857]",0.06073658518727757,0.0688305981552468,"[0.05905826033359725, 0.07900001057611061]",0.35253263692502856,0.35259327830443143,"[0.35204859081975504, 0.3535825716076407]",95.0873838848983,86.78105500128608,104.94090350568285,86.78105500128608
0,600.0,430477.3431723184,4012222.265750931,True,7.615625858306885,5.917253017425537,9.051691055297852,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,78.76923076923069,True,72.0,fixed,90.0,0.07577465930596063,0.07799167702815515,"[0.06749515466696829, 0.09203884727313857]",0.06558044013112443,0.06833590738992948,"[0.05905826033359725, 0.07900001057611061]",0.3524943202760421,0.35204859081975504,"[0.35204859081975504, 0.35204859081975504]",97.55982728828766,89.00482704740992,107.70527226471953,89.00482704740992
0,650.0,430524.9349997828,4012237.596046381,True,7.993690013885498,6.389703750610352,9.379095077514648,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,85.33333333333324,True,72.0,fixed,90.0,0.07296272311991184,0.06905719276901498,"[0.055223308363883145, 0.07976700097005343]",0.06430648306645087,0.06689824424435213,"[0.05752427954571161, 0.07746602978822498]",0.3522551663087057,0.35204859081975504,"[0.35204859081975504, 0.35204859081975504]",99.8325255405112,91.04583983971315,110.24970751190106,91.04583983971315
0,700.0,430572.52682724723,4012252.9263418317,True,8.349748611450195,6.805111885070801,9.714932441711426,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,85.33333333333324,True,72.0,fixed,90.0,0.06818841510196383,0.06760037192536,"[0.055223308363883145, 0.07976700097005343]",0.06382909275801103,0.06603145315034975,"[0.05752427954571161, 0.07593204900033931]",0.3520275220353424,0.35204859081975504,"[0.35204859081975504, 0.35204859081975504]",101.89695923760269,92.89697444741472,112.56409058793153,92.89697444741472
0,750.0,430620.11865471164,4012268.256637282,True,8.703218460083008,7.238662242889404,10.056410789489746,0.15355214476585388,0.0,0.0,1.0,0.0,0.0,3,2019.0,85.33333333333324,True,72.0,fixed,90.0,0.05776480940426782,0.061895000971956014,"[0.042951462060798, 0.07976700097005343]",0.061708802846091225,0.06291599832883862,"[0.05138835639416904, 0.07439806821245368]",0.3517821627906702,0.3514424504380754,"[0.3505146100318694, 0.35204859081975504]",103.88199727795383,94.6743581313524,114.79226710798872,94.6743581313524
0,800.0,430667.71048217604,4012283.5869327327,True,9.04483413696289,7.73292350769043,10.409969329833984,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,127.01156821934926,True,72.0,fixed,63.43494882292201,0.05192911677513463,0.05407009564215456,"[0.030679615757712858, 0.07976700097005343]",0.06086995354404857,0.06322573795193819,"[0.05445631796994033, 0.07286408742456804]",0.3336408213651273,0.3342349492786662,"[0.3336408213651273, 0.335174802153013]",105.74302136288463,96.33829571453032,116.88387514117423,96.33829571453032
0,850.0,430715.30230964045,4012298.9172281832,True,9.373822212219238,8.030501365661621,10.743522644042969,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,127.01156821934926,True,72.0,fixed,56.309932474020215,0.04756943343365556,0.04462554069845427,"[0.030679615757712858, 0.055223308363883145]",0.06078122966731153,0.06110520667611011,"[0.05445631796994033, 0.0682621450609111]",0.3336408213651273,0.3341742332895059,"[0.3336408213651273, 0.335174802153013]",107.48344492840403,97.89213248816367,118.84243087626102,97.89213248816367
0,900.0,430762.89413710486,4012314.2475236338,True,9.697121620178223,8.460081100463867,11.070831298828125,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,127.01156821934926,True,72.0,fixed,63.43494882292201,0.05033794330590637,0.053618882357807325,"[0.042951462060798, 0.06749515466696829]",0.06032024067323712,0.05825938889424181,"[0.05445631796994033, 0.062126221909368534]",0.3336408213651273,0.3336408213651273,"[0.3336408213651273, 0.3336408213651273]",109.14731652914858,99.3754868821895,120.71718481650841,99.3754868821895
0,950.0,430810.48596456926,4012329.5778190843,True,10.02316665649414,8.742055892944336,11.459660530090332,0.23201750218868256,0.0,0.0,1.0,0.0,0.0,3,2018.0,110.27837316368448,True,72.0,fixed,63.43494882292201,0.053843136841049515,0.05464016596689685,"[0.042951462060798, 0.06749515466696829]",0.05989339647933168,0.05696242011612541,"[0.05292233718205468, 0.0605922411214829]",0.3336408213651273,0.3336408213651273,"[0.3336408213651273, 0.3336408213651273]",110.78220947949045,100.83093257316295,122.56156413606199,100.83093257316295
