transect,distance_m,E,N,lon,lat,status,wavelength_smoothed_m,swath,burst,sample,line,n_samples,n_lines,ground_spacing_sample_m,ground_spacing_line_m,fp_E0,fp_N0,fp_E1,fp_N1,fp_E2,fp_N2,fp_E3,fp_N3,bright_fraction,affine_residual_max_m,spectrum_method,incidence_deg,n_spectra_averaged,peak_status,n_blobs,argmax_wavelength_m,argmax_axial_bearing_deg,wavelength_m,k_rad_m,axial_bearing_deg,blob_area_px,lobe_to_annulus,identifiable
0,250.0,430144.20038006763,4012114.9536827775,-75.7775447417337,36.25141515775712,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,300.0,430191.79220753204,4012130.283978228,-75.77701642314332,36.25155679817122,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,350.0,430239.38403499644,4012145.6142736785,-75.77648810260725,36.25169843627156,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,400.0,430286.97586246085,4012160.944569129,-75.77595978012558,36.251840072058116,ok,75.19287851826853,IW,0,22070.673256728096,2094.9681599907963,52,50,9.890591240683356,10.155657398631151,430076.9342641639,4011870.794230135,430575.1047199399,4011950.071189364,430496.5420236667,4012431.163799882,429998.3729166016,4012351.8944665496,0.0,0.08251501080084575,affine_dtft,44.08404583465884,4,identified,1,70.97872668063209,80.7773547435169,76.75204495317614,0.08186342541117632,77.0053832080833,2,6.938541600013391,True
0,450.0,430334.5676899252,4012176.2748645796,-75.77543145569828,36.25198170553083,ok,76.02896260319406,IW,0,22075.6724130238,2095.7224122947423,52,50,9.888684642622522,10.155669817406524,430124.18335407565,4011888.588801045,430622.25528823165,4011967.865091003,430543.6918945417,4012448.958630046,430045.6213035137,4012369.6899624984,0.0,0.08170691740020665,affine_dtft,44.08667823896046,5,identified,1,72.81834721401181,83.16946573417087,72.40773439350238,0.08677505738590569,81.86989764584384,1,7.175122463868268,True
0,500.0,430382.1595173896,4012191.60516003,-75.77490312932545,36.252123336689685,ok,76.57701623640139,IW,0,22080.672529573993,2096.476520932516,52,50,9.886797120890195,10.155682188966255,430173.05874537124,4011896.361223376,430671.0331870661,4011975.6370206075,430592.46966434515,4012456.729814191,430094.4965610735,4012377.4616360227,0.0,0.08090662333309488,affine_dtft,44.08931114963821,5,identified,1,74.93192740317686,84.29888838898768,76.41885620812705,0.08222035265834529,84.28940686250013,3,6.528160773113506,True
0,550.0,430429.751344854,4012206.9354554806,-75.77437480100713,36.25226496553463,ok,78.29327391243281,IW,0,22085.673597102137,2097.230487174785,52,50,9.884928688921168,10.15569452799825,430220.28769726335,4011914.1556695392,430718.1656188279,4011993.4308329453,430639.6014018303,4012474.5245529185,430141.7248129444,4012395.2570050936,0.0,0.08009854698098068,affine_dtft,44.09194456180208,5,identified,1,79.00362414267765,86.54347240480186,78.53721485797067,0.08000264993534988,85.60129464500427,4,5.510891081284295,True
0,600.0,430477.3431723184,4012222.265750931,-75.77384647074332,36.25240659206565,ok,82.42990885191412,IW,0,22090.67560631247,2097.98431229564,52,50,9.883079361730914,10.15570682577011,430267.50671958236,4011931.950066206,430765.28912181215,4012011.224613577,430686.7242130961,4012492.3192574643,430188.9431377179,4012413.0523221926,0.0,0.07929047437378776,affine_dtft,44.09457847055189,5,identified,1,82.01721982317643,88.74249639121075,78.76923076923069,0.07976700097005342,89.99999999999976,2,8.162682055874843,True
0,650.0,430524.9349997828,4012237.596046381,-75.7733181385341,36.25254821628268,ok,84.21280427695537,IW,0,22095.678547891705,2098.737997570425,52,50,9.881249151123518,10.155719083417086,430314.71591048694,4011949.744415056,430812.40379420144,4012029.018364207,430733.8381963267,4012510.113929532,430236.15163357125,4012430.847588999,0.0,0.07848241762800078,affine_dtft,44.097212870978254,5,identified,1,84.42147992314783,89.76676543293758,85.33333333333324,0.07363107781851086,89.99999999999974,1,8.490077305147835,True
0,700.0,430572.52682724723,4012252.9263418317,-75.77278980437947,36.25268983818572,ok,85.63170163170153,IW,0,22100.682412507398,2099.491544277795,52,50,9.879438075064003,10.155731299710045,430363.55184465717,4011957.516576019,430861.1462385439,4012036.790103298,430782.5805139823,4012517.8849245138,430284.9874360376,4012438.619002508,0.0,0.07768219470375531,affine_dtft,44.09984775816165,5,identified,1,86.08720514213528,90.5686330288365,93.09090909090897,0.0674951546669683,89.99999999999972,2,6.5681300481694604,True
0,750.0,430620.11865471164,4012268.256637282,-75.77226146827952,36.25283145777469,ok,97.39789968732501,IW,0,22105.68719081053,2100.2449536978143,52,50,9.877646143134069,10.155743480435946,430410.7416826337,4011975.3108138344,430908.2435594837,4012054.58377852,430829.67714896577,4012535.6795190373,430332.17658200953,4012456.414156148,0.0,0.07687416564679489,affine_dtft,44.10248312717385,5,identified,2,89.01403852270741,91.3754783302051,85.33333333333324,0.07363107781851086,89.99999999999974,3,4.129631671031703,True
0,800.0,430667.71048217604,4012283.5869327327,-75.77173313023425,36.25297307504959,ok,,IW,0,22110.692873434622,2100.998227113686,52,50,9.875873373056018,10.155755620576926,430457.92198366974,4011993.10500895,430955.33234428416,4012072.377428918,430876.7652504029,4012553.4740862604,430379.3561935411,4012474.2092646086,0.0,0.07606614251872106,affine_dtft,44.10511897307742,5,identified,2,126.83579654047709,55.71622592666286,113.60260018692681,0.05530846386298335,70.55996517182356,8,2.8748906215714998,False
0,850.0,430715.30230964045,4012298.9172281832,-75.77120479024371,36.253114690010364,ok,111.37796566245594,IW,0,22115.699450995107,2101.7513658101484,52,50,9.874119776756267,10.15576772194305,430505.0928459274,4012010.899163049,431002.41269111447,4012090.1710562115,430923.8449164551,4012571.2686279044,430426.52636881743,4012492.0043295827,0.0,0.07525813555722784,affine_dtft,44.10775529092536,5,identified,2,131.9727191126031,54.28005556822881,125.8340229917246,0.049932324802114895,55.00797980144126,3,3.591664345421156,True
0,900.0,430762.89413710486,4012314.2475236338,-75.77067644830795,36.253256302656986,ok,118.8266491865637,IW,0,22120.70691409046,2102.504371074765,52,50,9.872385374161878,10.155779782423508,430552.254367577,4012028.6932778335,431049.4846981484,4012107.9646621156,430970.9162453102,4012589.0631456813,430473.6872060128,4012509.799352763,0.0,0.07445014683338326,affine_dtft,44.11039207576176,5,identified,4,128.01730949458212,57.075280042937464,117.07636745728588,0.053667409090668465,59.03624346792638,4,3.215002198747789,True
0,950.0,430810.48596456926,4012329.5778190843,-75.77014810442702,36.25339791298941,ok,118.78881027229959,IW,0,22125.7152533023,2103.2572441968186,52,50,9.870670164688255,10.155791807721451,430601.04318720684,4012036.4651472536,431098.1850312179,4012115.7361987527,431019.6164548213,4012596.8339398997,430522.4758966713,4012517.5704764244,0.0,0.07365003230449944,affine_dtft,44.113029322621855,5,identified,4,118.13520332472858,65.051150073014,117.26813886748006,0.05357964548478046,66.37062226934299,4,3.2859500539801054,True
0,1000.0,430858.07779203367,4012344.908114535,-75.76961975860092,36.25353952100761,ok,117.34949659700328,IW,0,22130.724459195215,2104.0099864675176,52,50,9.868974173092832,10.155803790013929,430648.18633731955,4012054.259168229,431145.2406681833,4012133.529746699,431066.67141688836,4012614.62839758,430569.6183654441,4012535.365403664,0.0,0.07284207752772731,affine_dtft,44.11566702653182,5,identified,3,118.04688391413134,65.08846112562232,115.12806742976424,0.054575616940784194,77.00538320808323,3,3.476729198211496,True
0,1050.0,430905.6696194981,4012360.238409985,-75.76909141082974,36.25368112671154,ok,117.4953875629373,IW,0,22135.734522316598,2104.7625991810605,52,50,9.867297404786811,10.155815737029792,430695.3204412868,4012072.053155033,431192.2882598161,4012151.3232784667,431113.7183362439,4012632.4228366073,430616.7517906248,4012553.1602942543,0.0,0.07203414353775735,affine_dtft,44.11830518250884,5,identified,1,112.55542368104015,87.84100289001336,118.6374546152431,0.05296122820197706,79.99202019855836,4,3.248892338643069,True
