k_peak_cycles_per_m,wavelength_m,bearing_deg_mod_180,difference_from_frozen_bearing_deg,radial_fwhm_cycles_per_m,radial_fwhm_fraction_of_k,native_delta_f_parallel_cycles_per_m,zero_padding_factor,peak_power_arbitrary,roi,L_parallel_m,L_perpendicular_m,look_index,method,spatial_support
0.013521512792118846,73.9562218646763,96.36152008992563,16.52579638992563,0.003878231859883237,0.28681937587218087,0.001851851851851852,2,125131865.2698172,rot_k_0540x0650,540,650,1,mean_hann,nested_common_center
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0018651906892107068,0.2504539138981736,0.001851851851851852,2,1434608662.1092486,rot_k_0540x0650,540,650,1,plane_tukey10,nested_common_center
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0018651906892107068,0.2504539138981736,0.001851851851851852,2,1166014020.5854228,rot_k_0540x0650,540,650,1,quadratic_tukey25,nested_common_center
0.006526968528430236,153.21048288254948,73.0674441946608,6.768279505339208,0.0037417544923800134,0.5732760126054908,0.001851851851851852,2,1377413110.437411,nearshore_anchored_0540x0650,540,650,1,mean_hann,nearshore_edge_anchored
0.007407407407407408,135.0,79.8357237,0.0,0.003707635150504208,0.5005307453180681,0.001851851851851852,2,8001961830.232368,nearshore_anchored_0540x0650,540,650,1,plane_tukey10,nearshore_edge_anchored
0.0074472411318316735,134.27791343101666,73.90702815378485,5.9286955462151525,0.003730381378421412,0.5009078277963469,0.001851851851851852,2,6700593894.389088,nearshore_anchored_0540x0650,540,650,1,quadratic_tukey25,nearshore_edge_anchored
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.003730381378421412,0.500907827796347,0.001851851851851852,2,193330402.70584226,rot_k_0540x0650,540,650,2,mean_hann,nested_common_center
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0027977860338160594,0.3756808708472603,0.001851851851851852,2,1572474451.6023526,rot_k_0540x0650,540,650,2,plane_tukey10,nested_common_center
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0027977860338160594,0.3756808708472603,0.001851851851851852,2,1226063921.9052248,rot_k_0540x0650,540,650,2,quadratic_tukey25,nested_common_center
0.006526968528430236,153.21048288254948,73.0674441946608,6.768279505339208,0.0037417544923800134,0.5732760126054908,0.001851851851851852,2,1872450167.9343534,nearshore_anchored_0540x0650,540,650,2,mean_hann,nearshore_edge_anchored
0.006526968528430236,153.21048288254948,73.0674441946608,6.768279505339208,0.0037417544923800134,0.5732760126054908,0.001851851851851852,2,10170312698.43246,nearshore_anchored_0540x0650,540,650,2,plane_tukey10,nearshore_edge_anchored
0.0074472411318316735,134.27791343101666,73.90702815378485,5.9286955462151525,0.003730381378421412,0.5009078277963469,0.001851851851851852,2,8848902030.863201,nearshore_anchored_0540x0650,540,650,2,quadratic_tukey25,nearshore_edge_anchored
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0027977860338160594,0.3756808708472603,0.001851851851851852,2,40834558.481377035,rot_k_0540x0650,540,650,3,mean_hann,nested_common_center
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0027977860338160594,0.3756808708472603,0.001851851851851852,2,349944168.31735986,rot_k_0540x0650,540,650,3,plane_tukey10,nested_common_center
0.007447241131831673,134.27791343101669,85.76441924621516,5.9286955462151525,0.0027977860338160594,0.3756808708472603,0.001851851851851852,2,303874691.2210225,rot_k_0540x0650,540,650,3,quadratic_tukey25,nested_common_center
