k_peak_cycles_per_m,wavelength_m,bearing_deg_mod_180,difference_from_frozen_bearing_deg,radial_fwhm_cycles_per_m,radial_fwhm_fraction_of_k,native_delta_f_parallel_cycles_per_m,zero_padding_factor,peak_power_arbitrary,transect,coordinate_axis,center_coordinate_m,L_parallel_m,L_perpendicular_m
0.006297159357704979,158.80176174618097,86.85222544472292,7.016501744722916,0.0022859959056789753,0.3630201771663778,0.0020833333333333333,2,37348700.699832454,cross_shore_along_k,p,-480.0,480,650
0.007452198781775969,134.188583703035,91.74976473919148,11.914041039191474,0.003195845022367124,0.42884591728583854,0.0020833333333333333,2,64197052.588634774,cross_shore_along_k,p,0,480,650
0.006297159357704979,158.80176174618097,72.81922195527709,7.016501744722916,0.0031617256804913185,0.5020876082201643,0.0020833333333333333,2,500796118.8203007,cross_shore_along_k,p,480.0,480,650
0.005555555555555556,180.0,79.8357237,0.0,0.0010463264841913712,0.1883387671544468,0.0006944444444444445,2,939954221.8385849,alongshore_perpendicular_k,q,-162,1440,325
0.005555555555555556,180.0,79.8357237,0.0,0.0010463264841913712,0.1883387671544468,0.0006944444444444445,2,417480634.1909423,alongshore_perpendicular_k,q,0,1440,325
0.00763888888888889,130.90909090909088,79.8357237,0.0,0.0013988930169080297,0.18312781312250567,0.0006944444444444445,2,216171890.15385777,alongshore_perpendicular_k,q,162,1440,325
