transect,distance_m,E,N,lon,lat,status,wavelength_smoothed_m,swath,burst,sample,line,n_samples,n_lines,ground_spacing_sample_m,ground_spacing_line_m,bright_fraction,affine_residual_max_m,spectrum_method,incidence_deg,n_spectra_averaged,peak_status,n_blobs,argmax_wavelength_m,argmax_axial_bearing_deg,wavelength_m,k_rad_m,axial_bearing_deg,blob_area_px,lobe_to_annulus,identifiable,depth_T11.765_m,depth_T11.765_U-0.5_m,depth_T11.765_U+0.5_m
0,250.0,431628.1099621567,4007701.8793188287,-75.76064367560389,36.211738399388835,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,300.0,431674.87392542063,4007719.574847638,-75.76012500632315,36.21190122695541,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,350.0,431721.6378886846,4007737.2703764476,-75.75960633485843,36.21206405229503,touches_land_or_unmapped,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,400.0,431768.4018519485,4007754.9659052575,-75.75908766120978,36.21222687540767,ok,92.5460834811657,IW3,0,14167.102754163083,1071.1881073439922,153,37,3.343686004377347,13.899669466821745,0.0,0.007648654396556597,affine_dtft,44.12964390150615,5,identified,1,86.90571665134435,68.61286427293501,87.48622415019622,0.07181913916404283,70.01689347809987,2,8.410872900220756,True,6.744720315474157,7.790907049112348,5.8179101730703495
0,450.0,431815.1658152124,4007772.661434067,-75.75856898537722,36.21238969629327,ok,94.5124279085618,IW3,0,14181.748850312257,1071.9202881569427,153,37,3.3436790024922245,13.899667949409702,0.0,0.007648653947546626,affine_dtft,44.13223671431446,5,identified,1,90.40075551687407,68.12395784112587,95.07601314665045,0.06608591482993778,68.19859051364803,1,7.613811074106548,True,7.0565235342596235,8.135698547873549,6.100939901956349
0,500.0,431861.92977847636,4007790.3569628764,-75.75805030736079,36.212552514951824,ok,95.2262246481786,IW3,0,14196.394992122623,1072.6524491231505,153,37,3.3436719990501675,13.899666437344578,0.0,0.007648673484929513,affine_dtft,44.13482953526401,5,identified,1,95.5306650278403,68.19398069750454,95.07601314665045,0.06608591482993778,68.19859051364803,1,6.715153376469595,True,7.17185692595684,8.263240142938857,6.205653174403407
0,550.0,431908.6937417403,4007808.052491686,-75.7575316271605,36.21271533138326,ok,96.74418244746944,IW3,0,14211.041179592294,1073.3845902420449,153,37,3.3436649991072755,13.899664923048528,0.0,0.007648692007241523,affine_dtft,44.13742236435446,5,identified,1,100.68199994007686,68.402192946284,100.4114611907501,0.06257438376724263,78.69006752597954,3,5.975755169113824,True,7.4209797163306375,8.538754318988946,6.431869539736253
0,600.0,431955.45770500426,4007825.7480204953,-75.75701294477642,36.212878145587545,ok,96.74418244746944,IW3,0,14225.68741271982,1074.1167115134645,153,37,3.3436579984394537,13.899663411616432,0.0,0.007648713006020348,affine_dtft,44.140015201585555,5,identified,1,101.99851454178544,68.90818241978647,98.08141160664577,0.06406091841722486,73.30075576600615,2,6.850955212566683,True,7.4209797163306375,8.538754318988946,6.431869539736253
0,650.0,432002.2216682682,4007843.443549305,-75.75649426020854,36.21304095756465,ok,94.43845698587066,IW3,0,14240.333691505206,1074.84881293717,153,37,3.3436509975573605,13.899661900050031,0.0,0.0076487114604614995,affine_dtft,44.14260804695731,5,identified,1,98.38828366250105,67.9680202927915,95.07601314665045,0.06608591482993778,68.19859051364803,1,10.585007374504857,True,7.044637305859045,8.122554409683787,6.090148816061414
0,700.0,432048.9856315321,4007861.1390781146,-75.75597557345692,36.21320376731452,ok,90.11001090156678,IW3,0,14254.980015946516,1075.5808945127376,153,37,3.3436439983532455,13.89966038814729,0.0,0.007648731312771249,affine_dtft,44.14520090046936,5,identified,1,93.56956608624466,67.641784291441,95.07601314665045,0.06608591482993778,68.19859051364803,1,7.734794403800083,True,6.370267129468957,7.376832621762747,5.478164642633511
